"Date","Time","Open","High","Low","Close","Vol","OI"
12/31/2007,16:00,2.0084,2.0234,1.9947,1.9987,30262,78327
01/02/2008,16:00,1.9983,1.9998,1.9903,1.9934,50197,78661
01/03/2008,16:00,1.9950,1.9973,1.9838,1.9841,67990,80352
01/04/2008,16:00,1.9857,1.9985,1.9807,1.9868,77313,82125
01/07/2008,16:00,1.9870,1.9890,1.9784,1.9820,46948,84291
01/08/2008,16:00,1.9815,1.9977,1.9797,1.9858,51884,86333
01/09/2008,16:00,1.9858,1.9895,1.9684,1.9720,65000,86102
01/10/2008,16:00,1.9713,1.9798,1.9674,1.9748,104650,85022
01/11/2008,16:00,1.9748,1.9758,1.9608,1.9682,59126,81921
01/14/2008,16:00,1.9712,1.9771,1.9677,1.9680,54155,81286
01/15/2008,16:00,1.9651,1.9867,1.9646,1.9747,95257,83676
01/16/2008,16:00,1.9710,1.9847,1.9655,1.9754,105922,85031
01/17/2008,16:00,1.9750,1.9921,1.9733,1.9835,89738,86061
01/18/2008,16:00,1.9839,1.9856,1.9633,1.9671,86675,91828
01/22/2008,16:00,1.9692,1.9789,1.9453,1.9721,134093,92027
01/23/2008,16:00,1.9745,1.9756,1.9574,1.9662,81898,92972
01/24/2008,16:00,1.9671,1.9895,1.9614,1.9887,81698,90799
01/25/2008,16:00,1.9871,1.9968,1.9855,1.9941,61065,89048
01/28/2008,16:00,1.9957,2.0017,1.9843,1.9953,48594,88100
01/29/2008,16:00,1.9965,2.0046,1.9928,2.0019,50924,91263
01/30/2008,16:00,2.0009,2.0077,1.9958,1.9983,57956,92723
01/31/2008,16:00,1.9996,2.0065,1.9943,1.9994,64307,91508
02/01/2008,16:00,2.0007,2.0062,1.9770,1.9771,124878,89184
02/04/2008,16:00,1.9775,1.9914,1.9748,1.9863,70888,88637
02/05/2008,16:00,1.9859,1.9889,1.9729,1.9764,65193,91768
02/06/2008,16:00,1.9758,1.9787,1.9678,1.9737,44331,92029
02/07/2008,16:00,1.9752,1.9754,1.9516,1.9551,96708,95608
02/08/2008,16:00,1.9551,1.9643,1.9533,1.9585,43511,92222
02/11/2008,16:00,1.9587,1.9660,1.9528,1.9644,50785,95983
02/12/2008,16:00,1.9635,1.9767,1.9574,1.9732,68042,95099
02/13/2008,16:00,1.9728,1.9799,1.9683,1.9767,59163,93668
02/14/2008,16:00,1.9769,1.9878,1.9752,1.9833,58746,89333
02/15/2008,16:00,1.9838,1.9861,1.9718,1.9747,62772,89764
02/19/2008,16:00,1.9724,1.9779,1.9594,1.9624,89327,92469
02/20/2008,16:00,1.9625,1.9645,1.9504,1.9557,79821,94194
02/21/2008,16:00,1.9558,1.9791,1.9558,1.9771,100534,95223
02/22/2008,16:00,1.9771,1.9856,1.9757,1.9813,55569,92611
02/25/2008,16:00,1.9832,1.9850,1.9763,1.9824,53056,89508
02/26/2008,16:00,1.9824,2.0029,1.9783,2.0024,80872,91651
02/27/2008,16:00,2.0023,2.0122,1.9942,1.9964,86829,88543
02/28/2008,16:00,1.9968,2.0103,1.9916,2.0044,69473,88648
02/29/2008,16:00,2.0050,2.0077,1.9940,2.0058,73442,91024
03/03/2008,16:00,2.0048,2.0095,1.9967,1.9999,70570,93276
03/04/2008,16:00,1.9990,2.0050,1.9965,2.0018,55278,95787
03/05/2008,16:00,2.0009,2.0129,1.9879,2.0074,109983,97623
03/06/2008,16:00,2.0078,2.0298,2.0057,2.0255,85999,98364
03/07/2008,16:00,2.0273,2.0382,2.0261,2.0298,87191,94392
03/10/2008,16:00,2.0357,2.0406,2.0252,2.0265,23240,23078
03/11/2008,16:00,2.0236,2.0376,2.0168,2.0238,19863,28526
03/12/2008,16:00,2.0247,2.0451,2.0226,2.0438,46180,48277
03/13/2008,16:00,2.0432,2.0563,2.0425,2.0497,77881,71959
03/14/2008,16:00,2.0496,2.0562,2.0333,2.0383,115602,77414
03/17/2008,16:00,2.0357,2.0391,2.0073,2.0149,85698,83115
03/18/2008,16:00,2.0151,2.0436,2.0123,2.0227,114492,82988
03/19/2008,16:00,2.0232,2.0324,1.9980,2.0012,114118,85463
03/20/2008,16:00,2.0001,2.0059,1.9899,2.0024,69246,85281
03/24/2008,16:00,2.0010,2.0058,1.9938,2.0035,30631,88156
03/25/2008,16:00,2.0061,2.0251,2.0030,2.0245,76567,77296
03/26/2008,16:00,2.0236,2.0296,2.0113,2.0269,83881,80012
03/27/2008,16:00,2.0266,2.0388,2.0217,2.0257,91615,82663
03/28/2008,16:00,2.0260,2.0287,2.0076,2.0142,88101,88732
03/31/2008,16:00,2.0158,2.0174,2.0012,2.0040,72948,88751
04/01/2008,16:00,2.0025,2.0076,1.9929,1.9957,84871,97473
04/02/2008,16:00,1.9965,2.0107,1.9958,2.0080,65144,95109
04/03/2008,16:00,2.0081,2.0188,1.9970,2.0178,93894,95794
04/04/2008,16:00,2.0175,2.0285,2.0125,2.0152,76011,89424
04/07/2008,16:00,2.0121,2.0174,2.0051,2.0104,52436,90914
04/08/2008,16:00,2.0098,2.0143,1.9882,1.9911,89203,98134
04/09/2008,16:00,1.9894,2.0013,1.9869,1.9980,66406,96038
04/10/2008,16:00,1.9982,2.0074,1.9928,1.9930,97037,102129
04/11/2008,16:00,1.9931,1.9993,1.9907,1.9912,61577,104891
04/14/2008,16:00,1.9886,2.0122,1.9844,2.0017,92415,106082
04/15/2008,16:00,1.9997,1.9997,1.9826,1.9856,96667,112030
04/16/2008,16:00,1.9857,2.0039,1.9830,1.9957,94311,112102
04/17/2008,16:00,1.9961,2.0169,1.9930,2.0148,129005,109088
04/18/2008,16:00,2.0144,2.0243,2.0122,2.0218,88507,114010
04/21/2008,16:00,2.0204,2.0274,2.0018,2.0052,80793,109849
04/22/2008,16:00,2.0040,2.0255,1.9990,2.0197,101928,113711
04/23/2008,16:00,2.0206,2.0221,2.0015,2.0050,106746,111305
04/24/2008,16:00,2.0036,2.0067,1.9933,1.9986,89730,115058
04/25/2008,16:00,1.9977,2.0142,1.9927,2.0111,99258,122219
04/28/2008,16:00,2.0089,2.0217,2.0034,2.0163,69933,117421
04/29/2008,16:00,2.0165,2.0169,1.9920,1.9954,116929,129109
04/30/2008,16:00,1.9947,2.0152,1.9878,2.0130,124871,131313
05/01/2008,16:00,2.0139,2.0172,1.9973,2.0003,106478,132855
05/02/2008,16:00,2.0020,2.0162,1.9965,1.9979,119215,135836
05/05/2008,16:00,1.9992,2.0094,1.9914,1.9983,56374,140102
05/06/2008,16:00,1.9984,2.0036,1.9896,1.9997,72748,142150
05/07/2008,16:00,1.9989,1.9996,1.9765,1.9797,96155,158013
05/08/2008,16:00,1.9806,1.9894,1.9766,1.9802,85556,154850
05/09/2008,16:00,1.9810,1.9838,1.9725,1.9803,75178,158512
05/12/2008,16:00,1.9789,1.9903,1.9709,1.9849,59121,158150
05/13/2008,16:00,1.9837,1.9887,1.9684,1.9720,94107,163127
05/14/2008,16:00,1.9721,1.9747,1.9632,1.9723,66189,165530
05/15/2008,16:00,1.9738,1.9775,1.9678,1.9746,62214,165133
05/16/2008,16:00,1.9754,1.9874,1.9716,1.9857,83523,160251
05/19/2008,16:00,1.9839,1.9901,1.9729,1.9761,65783,163185
05/20/2008,16:00,1.9761,1.9996,1.9758,1.9956,99217,156610
05/21/2008,16:00,1.9950,2.0014,1.9890,2.0014,76735,155801
05/22/2008,16:00,2.0007,2.0137,1.9968,2.0087,80917,160465
05/23/2008,16:00,2.0080,2.0139,2.0041,2.0093,50769,155886
05/27/2008,16:00,2.0087,2.0134,2.0004,2.0059,63115,160468
05/28/2008,16:00,2.0048,2.0119,1.9995,2.0104,65384,160727
05/29/2008,16:00,2.0101,2.0116,1.9968,2.0055,72277,162411
05/30/2008,16:00,2.0059,2.0124,1.9980,2.0119,77371,160490
06/02/2008,16:00,2.0053,2.0076,1.9893,1.9967,105787,161044
06/03/2008,16:00,1.9961,2.0042,1.9906,1.9939,106399,158354
06/04/2008,16:00,1.9920,1.9937,1.9828,1.9858,75262,165412
06/05/2008,16:00,1.9849,1.9903,1.9766,1.9886,98332,163109
06/06/2008,16:00,1.9889,2.0044,1.9805,2.0013,102220,153930
06/09/2008,16:00,2.0030,2.0145,1.9984,2.0052,20721,21478
06/10/2008,16:00,2.0052,2.0059,1.9828,1.9855,21989,31474
06/11/2008,16:00,1.9845,1.9981,1.9800,1.9948,40850,48099
06/12/2008,16:00,1.9951,1.9963,1.9737,1.9791,70834,70981
06/13/2008,16:00,1.9776,1.9835,1.9731,1.9800,85647,82716
06/16/2008,16:00,1.9797,2.0012,1.9785,1.9956,86102,76892
06/17/2008,16:00,1.9955,2.0024,1.9794,1.9896,113534,87863
06/18/2008,16:00,1.9892,1.9935,1.9804,1.9923,58397,81509
06/19/2008,16:00,1.9921,2.0070,1.9908,2.0043,106356,84908
06/20/2008,16:00,2.0050,2.0117,2.0026,2.0091,62528,80484
06/23/2008,16:00,2.0086,2.0087,1.9913,1.9980,82895,78811
06/24/2008,16:00,1.9982,2.0058,1.9955,2.0037,62929,75183
06/25/2008,16:00,2.0045,2.0079,1.9985,2.0043,81029,77048
06/26/2008,16:00,2.0080,2.0237,2.0050,2.0226,102113,79259
06/27/2008,16:00,2.0228,2.0291,2.0142,2.0291,82034,88751
06/30/2008,16:00,2.0303,2.0321,2.0218,2.0265,71699,86679
