"Date","Time","Open","High","Low","Close","Vol","OI"
12/08/2017,16:00,39740,39740,39740,39740,0,0
12/11/2017,16:00,40955,40955,40955,40955,0,0
12/12/2017,16:00,41535,41535,41535,41535,0,0
12/13/2017,16:00,41705,41705,41705,41705,0,0
12/14/2017,16:00,41250,41250,41250,41250,0,0
12/15/2017,16:00,42340,43940,42340,43940,0,0
12/18/2017,16:00,45090,45090,42785,43540,1054,215
12/19/2017,16:00,43575,44165,41620,42640,559,231
12/20/2017,16:00,42185,42790,40875,41480,784,306
12/21/2017,16:00,40840,41710,39520,39770,879,407
12/22/2017,16:00,40035,40265,36705,38575,2374,489
12/26/2017,16:00,38340,40540,38140,40225,406,491
12/27/2017,16:00,40095,40985,38900,39130,507,493
12/28/2017,16:00,39590,39720,37800,38185,746,566
12/29/2017,16:00,38405,39445,38275,38910,1078,498
01/02/2018,16:00,38395,39685,37520,39295,734,596
01/03/2018,16:00,39340,39890,39090,39415,719,611
01/04/2018,16:00,39365,39910,38645,39340,760,642
01/05/2018,16:00,39525,41285,39310,41030,814,671
01/08/2018,16:00,40865,40895,38310,39345,958,642
01/09/2018,16:00,39115,39805,38625,39190,863,665
01/10/2018,16:00,38845,39160,37920,38890,887,690
01/11/2018,16:00,38940,39350,37260,37825,1298,727
01/12/2018,16:00,37440,38520,37290,38385,787,748
01/16/2018,16:00,38040,38720,35600,35600,2552,730
01/17/2018,16:00,35630,36240,33665,35385,2657,696
01/18/2018,16:00,35565,36515,35085,36255,1708,618
01/19/2018,16:00,35775,36470,35430,35800,979,560
01/22/2018,16:00,35740,36270,34395,34795,1137,509
01/23/2018,16:00,35065,35790,34305,35535,1241,410
01/24/2018,16:00,35230,35895,34875,35555,838,283
01/25/2018,16:00,35850,36060,35230,35600,380,830
01/26/2018,16:00,35460,36020,34650,35365,573,820
01/29/2018,16:00,35910,36175,35370,35570,463,867
01/30/2018,16:00,35520,35645,34120,34340,1137,849
01/31/2018,16:00,34400,34675,33900,34400,842,866
02/01/2018,16:00,34420,34575,32880,33490,2535,1082
02/02/2018,16:00,33290,33475,32150,32985,2535,1010
02/05/2018,16:00,32705,32715,31270,31660,2186,1228
02/06/2018,16:00,31250,32320,30370,31950,2234,1315
02/07/2018,16:00,32020,32940,31635,32645,1379,1402
02/08/2018,16:00,32190,33090,32045,32725,764,1277
02/09/2018,16:00,32565,33170,32115,33010,764,1277
02/12/2018,16:00,32780,33320,32475,33260,679,1170
02/13/2018,16:00,33325,33400,32735,33100,550,1104
02/14/2018,16:00,32905,33790,32905,33690,944,1159
02/15/2018,16:00,33800,34580,33775,34490,1783,940
02/16/2018,16:00,34490,34665,34075,34420,1101,877
02/20/2018,16:00,35460,36160,35460,36135,2080,594
02/21/2018,16:00,35640,35740,34620,34770,1326,459
02/22/2018,16:00,34900,35265,34160,34495,530,1284
02/23/2018,16:00,34280,34740,33930,34350,1473,1407
02/26/2018,16:00,34080,34790,33670,34650,745,1441
02/27/2018,16:00,34705,35275,34500,35060,761,1469
02/28/2018,16:00,35065,35405,34730,35045,1130,1387
03/01/2018,16:00,34850,35500,34620,35465,748,1332
03/02/2018,16:00,35435,35615,35160,35460,748,1332
03/05/2018,16:00,35750,36100,35740,36015,990,1479
03/06/2018,16:00,35995,36055,34970,35050,1580,1449
03/07/2018,16:00,35135,35280,33785,34190,1888,1460
03/08/2018,16:00,34370,34500,33505,33800,2524,1410
03/09/2018,16:00,33750,33845,32790,33415,2742,1436
03/12/2018,16:00,33890,34340,33135,33310,2732,1395
03/13/2018,16:00,33565,33915,33225,33470,3375,1361
03/14/2018,16:00,33305,33795,32585,32675,2638,1268
03/15/2018,16:00,32405,32850,32100,32635,3065,1280
03/16/2018,16:00,32740,33040,32285,32955,3065,1274
03/19/2018,16:00,32675,33120,32500,32800,2746,1246
03/20/2018,16:00,32820,33425,32720,33345,2050,1170
03/21/2018,16:00,33390,33585,33175,33290,1829,1130
03/22/2018,16:00,33305,33495,32900,33030,2123,1039
03/23/2018,16:00,33050,33170,32670,33015,2895,1012
03/26/2018,16:00,33050,33050,32240,32310,2433,742
03/27/2018,16:00,32280,32670,32160,32295,3738,494
03/28/2018,16:00,32300,32470,32125,32280,493,1148
03/29/2018,16:00,32275,32390,31450,31715,1684,1295
04/02/2018,16:00,31285,31530,31155,31370,3539,1369
04/03/2018,16:00,31355,31900,31345,31840,2274,1489
04/04/2018,16:00,31810,31820,31105,31240,2951,1500
04/05/2018,16:00,31170,31305,30930,31140,2415,1503
04/06/2018,16:00,31140,31270,30865,31010,2415,1503
04/09/2018,16:00,31405,31605,30985,31055,3348,1527
04/10/2018,16:00,31085,31260,31020,31220,1882,1486
04/11/2018,16:00,31240,31350,31165,31300,1746,1582
04/12/2018,16:00,31300,32485,31040,32060,4825,1662
04/13/2018,16:00,32170,32615,32140,32485,3045,1744
04/16/2018,16:00,32385,32825,32260,32360,3858,1676
04/17/2018,16:00,32395,32560,32185,32265,2676,1573
04/18/2018,16:00,32250,32620,32240,32505,2826,1574
04/19/2018,16:00,32570,32695,32480,32640,2318,1512
04/20/2018,16:00,32680,32965,32615,32920,2318,1511
04/23/2018,16:00,33290,33395,33155,33225,2952,1117
04/24/2018,16:00,33345,33845,33300,33835,4681,944
04/25/2018,16:00,33860,34145,33135,33350,10346,588
04/26/2018,16:00,33540,33615,33020,33245,447,1482
04/27/2018,16:00,33485,33770,33290,33430,2190,1588
04/30/2018,16:00,33725,33845,33490,33715,2999,1723
05/01/2018,16:00,33635,33665,33165,33335,3143,1654
05/02/2018,16:00,33420,33560,33335,33500,2093,1709
05/03/2018,16:00,33595,34155,33530,34025,3762,2063
05/04/2018,16:00,34060,34190,33890,34020,3762,2060
05/07/2018,16:00,33955,34055,33510,33785,4705,2043
05/08/2018,16:00,33760,33840,33360,33585,4435,1995
05/09/2018,16:00,33535,33725,33305,33630,3015,1964
05/10/2018,16:00,33605,33765,33390,33440,3063,2015
05/11/2018,16:00,33460,33475,32730,32975,4980,2064
05/14/2018,16:00,33010,33250,32635,33105,5754,1984
05/15/2018,16:00,33085,33200,32785,32905,4222,1872
05/16/2018,16:00,32825,32895,32465,32600,4978,1852
05/17/2018,16:00,32640,32810,32465,32530,2872,1698
05/18/2018,16:00,32575,32625,32265,32580,3390,1596
05/21/2018,16:00,32875,33030,32670,32725,2701,1239
05/22/2018,16:00,32695,32770,32420,32530,2341,992
05/23/2018,16:00,32400,32425,31775,31940,4586,791
05/24/2018,16:00,31840,32070,31615,31940,2069,2009
05/25/2018,16:00,31865,32015,31670,31780,2069,2009
05/29/2018,16:00,31825,31920,31770,31835,5052,2218
05/30/2018,16:00,31845,31960,31610,31660,2471,2211
05/31/2018,16:00,31675,32000,31675,31885,2102,2328
06/01/2018,16:00,31890,31960,31640,31780,2197,2223
06/04/2018,16:00,32055,32240,31800,31840,1625,2290
06/05/2018,16:00,31855,32010,31700,31965,2069,2363
06/06/2018,16:00,31945,32035,31825,31880,1450,2345
06/07/2018,16:00,32035,32120,31980,32045,1437,2460
06/08/2018,16:00,32010,32045,31880,31995,1301,2432
06/11/2018,16:00,31460,31460,30950,31090,3861,2351
06/12/2018,16:00,31110,31230,30765,30840,3875,2305
06/13/2018,16:00,30810,30960,30440,30610,5146,2428
06/14/2018,16:00,30615,31045,30590,30975,4461,2294
06/15/2018,16:00,31010,31010,30780,30870,2485,2348
06/18/2018,16:00,30835,31125,30680,31035,2794,2258
06/19/2018,16:00,31050,31180,30990,31075,1563,2135
06/20/2018,16:00,31045,31155,30885,31085,2108,2123
06/21/2018,16:00,31045,31120,31010,31050,1135,2036
06/22/2018,16:00,31045,31075,30300,30505,3832,1950
06/25/2018,16:00,30490,30685,30405,30585,4762,1420
06/26/2018,16:00,30595,30615,30460,30500,3173,1029
06/27/2018,16:00,30550,30550,30315,30500,3229,725
06/28/2018,16:00,30505,30545,30350,30430,521,1712
06/29/2018,16:00,30260,30295,30120,30230,2512,1997
07/02/2018,16:00,30640,31045,30625,30990,3977,1956
07/03/2018,16:00,31010,31025,30895,30945,1627,2075
07/05/2018,16:00,30960,31160,30765,30870,6739,2208
07/06/2018,16:00,30855,31005,30795,30930,2038,2253
07/09/2018,16:00,31110,31125,31010,31060,1765,2172
07/10/2018,16:00,31060,31150,30660,30720,3084,2092
07/11/2018,16:00,30720,30745,30610,30695,2719,1998
07/12/2018,16:00,30720,30730,30475,30525,3076,2023
07/13/2018,16:00,30520,30705,30425,30530,3558,2076
07/16/2018,16:00,30735,31075,30685,31040,3171,2168
07/17/2018,16:00,31030,31835,31020,31670,5582,2106
07/18/2018,16:00,31750,31960,31605,31760,6956,2127
07/19/2018,16:00,31690,31875,31640,31815,4580,2156
07/20/2018,16:00,31800,32065,31635,31705,6978,2134
07/23/2018,16:00,31745,32185,31700,32100,8545,2024
07/24/2018,16:00,32105,32730,32045,32625,11464,1433
07/25/2018,16:00,32620,32855,32390,32510,11553,943
07/26/2018,16:00,32625,32675,32485,32630,9284,2193
07/27/2018,16:00,32355,32635,32150,32575,9284,2184
07/30/2018,16:00,32515,32640,32220,32475,8136,2312
07/31/2018,16:00,32495,32575,32015,32105,9415,2338
08/01/2018,16:00,32070,32135,31815,31920,9125,2316
08/02/2018,16:00,31835,32075,31805,31900,5700,2148
08/03/2018,16:00,31900,31935,31645,31745,5700,2144
08/06/2018,16:00,31455,31515,31245,31295,5117,2155
08/07/2018,16:00,31220,31530,31200,31365,5037,1993
08/08/2018,16:00,31130,31160,30480,30705,8099,2057
08/09/2018,16:00,30675,30920,30545,30835,6827,2013
08/10/2018,16:00,30930,30980,30480,30765,6444,2017
08/13/2018,16:00,30780,30930,30510,30605,7804,2035
08/14/2018,16:00,30615,30655,30225,30450,6904,2122
08/15/2018,16:00,30480,30975,30450,30750,6993,2117
08/16/2018,16:00,30775,30850,30560,30780,4378,2071
08/17/2018,16:00,30640,30920,30620,30855,4288,2123
08/20/2018,16:00,30865,30890,30735,30805,2381,2075
08/21/2018,16:00,30770,30845,30580,30800,3319,2051
08/22/2018,16:00,30815,31245,30625,30780,5379,1905
