"Date","Time","Open","High","Low","Close","Vol","OI"
12/31/2007,16:00,1.67745,1.67975,1.66185,1.66405,72563,163552
01/02/2008,16:00,1.67165,1.67975,1.66915,1.67625,110704,169851
01/03/2008,16:00,1.67695,1.68265,1.67315,1.67915,135924,172396
01/04/2008,16:00,1.67865,1.68685,1.67385,1.67875,187828,173346
01/07/2008,16:00,1.67905,1.67995,1.66985,1.67335,107872,173864
01/08/2008,16:00,1.67305,1.67925,1.67195,1.67465,101773,176419
01/09/2008,16:00,1.67495,1.67805,1.66765,1.67015,131038,173465
01/10/2008,16:00,1.66965,1.68515,1.66785,1.68375,221810,183383
01/11/2008,16:00,1.68425,1.68525,1.67955,1.68045,130632,174508
01/14/2008,16:00,1.68395,1.69465,1.68125,1.68985,129807,172240
01/15/2008,16:00,1.68955,1.69545,1.68305,1.68345,189779,173644
01/16/2008,16:00,1.68125,1.68915,1.66255,1.66835,302395,166760
01/17/2008,16:00,1.66845,1.67485,1.66195,1.66685,194283,165106
01/18/2008,16:00,1.66725,1.67275,1.66345,1.66455,156011,164815
01/22/2008,16:00,1.66375,1.66775,1.63935,1.66485,413877,180437
01/23/2008,16:00,1.66905,1.66925,1.65235,1.66485,231322,177859
01/24/2008,16:00,1.66525,1.68015,1.66095,1.67755,206831,182516
01/25/2008,16:00,1.67775,1.67985,1.66805,1.67075,164776,177093
01/28/2008,16:00,1.67105,1.68195,1.66815,1.68025,120652,178664
01/29/2008,16:00,1.68105,1.68145,1.67575,1.67995,107022,180741
01/30/2008,16:00,1.67925,1.69285,1.67765,1.68835,143607,184424
01/31/2008,16:00,1.68755,1.69345,1.68215,1.68835,167648,187318
02/01/2008,16:00,1.68685,1.69845,1.68065,1.68225,216503,191143
02/04/2008,16:00,1.68215,1.68715,1.68155,1.68545,103979,194621
02/05/2008,16:00,1.68545,1.68555,1.66455,1.66665,209752,192332
02/06/2008,16:00,1.66695,1.66945,1.66135,1.66505,142182,189830
02/07/2008,16:00,1.66465,1.66765,1.64625,1.65085,241908,191081
02/08/2008,16:00,1.65155,1.65725,1.64745,1.65285,114884,186309
02/11/2008,16:00,1.65475,1.66015,1.65045,1.65405,124316,194897
02/12/2008,16:00,1.65435,1.66415,1.65215,1.66125,162640,200176
02/13/2008,16:00,1.66035,1.66255,1.65565,1.66015,115724,196418
02/14/2008,16:00,1.66005,1.66755,1.65765,1.66675,164287,198435
02/15/2008,16:00,1.66685,1.67365,1.66585,1.67075,121762,197350
02/19/2008,16:00,1.67075,1.67855,1.66385,1.67555,200508,202197
02/20/2008,16:00,1.67555,1.67605,1.66425,1.67415,184230,201842
02/21/2008,16:00,1.67455,1.68685,1.67325,1.68445,182821,204084
02/22/2008,16:00,1.68495,1.68935,1.68195,1.68555,131394,200856
02/25/2008,16:00,1.68635,1.68755,1.68255,1.68595,102093,196115
02/26/2008,16:00,1.68595,1.70165,1.68095,1.70015,200818,208300
02/27/2008,16:00,1.70285,1.71755,1.70135,1.71535,238082,210196
02/28/2008,16:00,1.71515,1.72615,1.71055,1.72255,168931,210169
02/29/2008,16:00,1.72245,1.72725,1.71765,1.72155,178908,203244
03/03/2008,16:00,1.72215,1.73105,1.71895,1.72395,199910,206688
03/04/2008,16:00,1.72345,1.72845,1.72065,1.72525,168295,211666
03/05/2008,16:00,1.72375,1.73375,1.71785,1.72985,220616,216391
03/06/2008,16:00,1.73095,1.74285,1.73015,1.74165,221492,218638
03/07/2008,16:00,1.74265,1.74985,1.73485,1.73895,237966,210944
03/10/2008,16:00,1.73915,1.74405,1.73455,1.73745,43732,50070
03/11/2008,16:00,1.73815,1.75285,1.73195,1.73745,65172,60326
03/12/2008,16:00,1.73735,1.76075,1.73705,1.75855,125074,85344
03/13/2008,16:00,1.76005,1.76785,1.75585,1.76665,208392,132373
03/14/2008,16:00,1.76625,1.77215,1.75665,1.76975,292542,163759
03/17/2008,16:00,1.77035,1.79235,1.76945,1.77585,250130,157225
03/18/2008,16:00,1.77585,1.78605,1.76445,1.76465,251839,160339
03/19/2008,16:00,1.76505,1.78195,1.76175,1.76585,246508,168453
03/20/2008,16:00,1.76745,1.76815,1.74335,1.74485,212770,158840
03/24/2008,16:00,1.74505,1.74915,1.73765,1.74595,96880,156960
03/25/2008,16:00,1.74705,1.76975,1.74435,1.76895,160322,161114
03/26/2008,16:00,1.76725,1.79005,1.76245,1.78855,207089,162251
03/27/2008,16:00,1.78835,1.78915,1.77705,1.78265,182881,159884
03/28/2008,16:00,1.78265,1.78865,1.77885,1.78455,148124,159639
03/31/2008,16:00,1.78455,1.79465,1.78085,1.78335,184774,165367
04/01/2008,16:00,1.78135,1.78355,1.76135,1.76655,220910,163103
04/02/2008,16:00,1.76725,1.77535,1.75855,1.77355,196644,166380
04/03/2008,16:00,1.77415,1.77415,1.75645,1.77325,222417,169663
04/04/2008,16:00,1.77355,1.78305,1.76925,1.77835,160552,166856
04/07/2008,16:00,1.77845,1.77955,1.76805,1.77595,122834,171611
04/08/2008,16:00,1.77595,1.78555,1.77275,1.77705,128837,171489
