"Date","Time","Open","High","Low","Close","Up","Down"
01/02/2008,06:00,1991.00,1995.00,1990.75,1994.75,9356,7094
01/02/2008,07:00,1994.50,1994.75,1990.50,1991.00,5896,7800
01/02/2008,08:00,1991.00,1991.50,1988.25,1991.00,8697,7739
01/02/2008,09:00,1991.25,1992.75,1987.25,1989.75,65929,63744
01/02/2008,10:00,1989.75,1990.00,1976.50,1977.25,128752,155978
01/02/2008,11:00,1977.25,1978.75,1968.50,1972.75,110725,132543
01/02/2008,12:00,1972.75,1972.75,1965.25,1967.75,64557,76451
01/02/2008,13:00,1967.75,1970.25,1963.50,1968.50,68263,64306
01/02/2008,14:00,1968.75,1977.75,1966.00,1966.25,142918,137575
01/02/2008,15:00,1966.25,1968.75,1961.25,1967.25,130936,144226
01/02/2008,16:00,1967.50,1972.50,1967.25,1971.50,47346,34461
01/02/2008,18:00,1972.50,1974.00,1972.00,1972.25,4267,3366
01/02/2008,19:00,1972.25,1973.75,1972.00,1973.75,932,301
01/02/2008,20:00,1973.75,1973.75,1972.75,1973.00,857,619
01/02/2008,21:00,1973.25,1974.00,1973.00,1973.75,772,125
01/02/2008,22:00,1974.00,1974.50,1973.50,1974.00,926,613
01/02/2008,23:00,1974.25,1974.75,1973.75,1974.75,1377,675
01/03/2008,00:00,1974.75,1975.25,1974.50,1974.75,1651,465
01/03/2008,01:00,1975.00,1976.25,1974.75,1975.50,1872,509
01/03/2008,02:00,1975.25,1975.75,1971.75,1973.00,1589,2997
01/03/2008,03:00,1972.75,1975.00,1970.75,1971.75,6037,8475
01/03/2008,04:00,1972.00,1972.75,1969.00,1969.75,3934,5636
01/03/2008,05:00,1969.75,1970.25,1967.50,1968.00,6477,7468
01/03/2008,06:00,1968.25,1969.50,1967.25,1968.25,3701,5044
01/03/2008,07:00,1968.00,1973.25,1967.75,1969.25,10009,9098
01/03/2008,08:00,1969.25,1975.75,1967.75,1973.50,28295,22256
01/03/2008,09:00,1973.25,1974.00,1966.75,1970.00,77108,79483
01/03/2008,10:00,1970.00,1976.00,1967.75,1969.75,120367,118212
01/03/2008,11:00,1969.75,1975.25,1969.50,1973.50,75259,69678
01/03/2008,12:00,1973.25,1977.00,1972.25,1973.75,54825,52593
01/03/2008,13:00,1974.00,1974.00,1969.50,1970.00,32128,46033
01/03/2008,14:00,1970.25,1972.25,1968.00,1969.75,50397,53007
01/03/2008,15:00,1969.75,1970.25,1963.25,1966.50,104209,121745
01/03/2008,16:00,1966.50,1971.25,1966.50,1970.25,36413,25146
01/03/2008,18:00,1970.50,1971.50,1970.00,1971.00,1069,541
01/03/2008,19:00,1971.00,1971.75,1968.00,1968.25,1566,2242
01/03/2008,20:00,1968.25,1968.75,1967.25,1968.00,1142,1718
01/03/2008,21:00,1968.00,1968.75,1967.50,1968.75,1022,796
01/03/2008,22:00,1968.75,1971.75,1968.25,1971.25,1451,535
01/03/2008,23:00,1971.25,1975.25,1971.25,1974.25,2890,1474
01/04/2008,00:00,1974.25,1975.00,1974.00,1974.50,885,1273
01/04/2008,01:00,1974.75,1975.25,1974.25,1974.75,495,430
01/04/2008,02:00,1974.75,1975.00,1972.75,1972.75,800,2334
01/04/2008,03:00,1973.00,1974.00,1972.00,1973.25,4919,4183
01/04/2008,04:00,1973.25,1975.25,1973.00,1974.50,4019,3092
01/04/2008,05:00,1974.75,1975.50,1973.75,1974.75,4008,2871
01/04/2008,06:00,1974.50,1975.25,1973.75,1974.50,2138,2308
01/04/2008,07:00,1974.50,1974.50,1972.00,1973.75,4872,6703
01/04/2008,08:00,1974.00,1975.50,1954.50,1955.75,75508,88277
01/04/2008,09:00,1956.00,1956.25,1948.25,1951.25,130081,132142
01/04/2008,10:00,1951.00,1953.50,1939.75,1940.75,166147,187922
01/04/2008,11:00,1940.75,1946.25,1938.50,1944.50,131997,116739
01/04/2008,12:00,1944.75,1948.50,1940.50,1942.75,75084,79297
01/04/2008,13:00,1942.75,1943.50,1936.25,1941.50,90898,90893
01/04/2008,14:00,1941.25,1941.50,1930.75,1936.00,126932,160684
01/04/2008,15:00,1936.00,1939.00,1930.00,1930.25,173975,186583
01/04/2008,16:00,1930.00,1935.50,1929.75,1934.75,72485,43013
01/06/2008,18:00,1934.75,1936.25,1933.25,1935.75,2909,2330
01/06/2008,19:00,1935.75,1938.00,1934.25,1937.50,2517,1718
01/06/2008,20:00,1937.50,1940.00,1937.00,1938.50,2318,2138
01/06/2008,21:00,1938.50,1939.50,1938.00,1939.00,1305,873
01/06/2008,22:00,1939.00,1940.50,1937.75,1938.75,1579,1177
01/06/2008,23:00,1938.75,1939.00,1937.75,1938.25,460,644
01/07/2008,00:00,1938.25,1940.25,1937.00,1937.25,1211,1393
01/07/2008,01:00,1937.25,1937.50,1935.75,1936.00,4609,1597
01/07/2008,02:00,1936.25,1940.00,1935.75,1939.00,7493,4659
01/07/2008,03:00,1939.00,1941.00,1934.00,1935.25,7975,10765
01/07/2008,04:00,1935.25,1942.00,1935.25,1941.00,9278,4943
01/07/2008,05:00,1941.00,1943.25,1940.50,1942.50,8919,8001
01/07/2008,06:00,1942.50,1943.50,1941.75,1943.00,4214,5005
01/07/2008,07:00,1943.00,1944.50,1939.50,1940.75,9586,10434
01/07/2008,08:00,1940.75,1942.25,1940.00,1941.00,12832,15469
01/07/2008,09:00,1940.75,1941.75,1934.50,1938.00,109468,111083
01/07/2008,10:00,1938.00,1938.25,1922.25,1927.50,231571,258482
01/07/2008,11:00,1927.75,1940.00,1927.50,1937.25,185379,148668
01/07/2008,12:00,1937.25,1943.75,1931.50,1941.75,133561,121439
01/07/2008,13:00,1941.75,1942.00,1932.50,1934.75,87983,103289
