"Date","Time","Open","High","Low","Close","Vol","OI"
12/31/2007,16:00,1.15965,1.16795,1.15765,1.16745,40241,156380
01/02/2008,16:00,1.16615,1.18575,1.16535,1.18195,113631,159954
01/03/2008,16:00,1.18155,1.19395,1.18105,1.18465,100447,157845
01/04/2008,16:00,1.18325,1.19685,1.18235,1.19015,143380,162930
01/07/2008,16:00,1.19045,1.19245,1.18105,1.18545,116697,160037
01/08/2008,16:00,1.18515,1.18825,1.17995,1.18805,140125,167935
01/09/2008,16:00,1.18735,1.18825,1.17735,1.17775,122769,167433
01/10/2008,16:00,1.17835,1.18545,1.17705,1.18365,143900,175334
01/11/2008,16:00,1.18265,1.18935,1.18005,1.18685,132314,168848
01/14/2008,16:00,1.18785,1.19985,1.18625,1.19315,107099,170506
01/15/2008,16:00,1.19215,1.20645,1.19135,1.20495,150474,175205
01/16/2008,16:00,1.20375,1.21245,1.19455,1.19715,189837,176706
01/17/2008,16:00,1.19825,1.20675,1.19495,1.20675,178760,178586
01/18/2008,16:00,1.20615,1.20805,1.19715,1.20465,139190,174679
01/22/2008,16:00,1.20375,1.21455,1.20115,1.20675,264428,165464
01/23/2008,16:00,1.20455,1.21945,1.19805,1.20325,201089,167320
01/24/2008,16:00,1.20415,1.21035,1.19945,1.19985,146661,172117
01/25/2008,16:00,1.19985,1.20355,1.19335,1.20355,139763,171866
01/28/2008,16:00,1.20305,1.20995,1.20075,1.20235,98732,171975
01/29/2008,16:00,1.20055,1.20635,1.19865,1.20025,85179,177695
01/30/2008,16:00,1.20055,1.20785,1.19675,1.20725,111286,182406
01/31/2008,16:00,1.20765,1.21215,1.20165,1.20575,178887,183874
02/01/2008,16:00,1.20555,1.21155,1.20215,1.20495,145393,189309
02/04/2008,16:00,1.20485,1.20495,1.19975,1.20335,68907,184819
02/05/2008,16:00,1.20325,1.20365,1.19395,1.20215,165802,196732
02/06/2008,16:00,1.20215,1.20775,1.20205,1.20375,105996,194883
02/07/2008,16:00,1.20495,1.20975,1.19275,1.19555,188713,202122
02/08/2008,16:00,1.19655,1.19865,1.19355,1.19745,90225,196918
02/11/2008,16:00,1.19545,1.20585,1.19415,1.20005,106803,204682
02/12/2008,16:00,1.20075,1.20195,1.19515,1.19685,101228,202506
02/13/2008,16:00,1.19755,1.20005,1.18785,1.18835,124218,203608
02/14/2008,16:00,1.18955,1.19305,1.18575,1.19255,97792,201685
02/15/2008,16:00,1.19215,1.19745,1.18825,1.19285,90091,202900
02/19/2008,16:00,1.19225,1.19795,1.18805,1.19305,159613,207794
02/20/2008,16:00,1.19225,1.19545,1.18755,1.18965,160578,209752
02/21/2008,16:00,1.19015,1.19815,1.18775,1.19595,145595,208417
02/22/2008,16:00,1.19635,1.20175,1.19425,1.19755,106572,209500
02/25/2008,16:00,1.19655,1.19775,1.18845,1.18975,143742,206823
02/26/2008,16:00,1.18975,1.19745,1.18915,1.19665,110989,204619
02/27/2008,16:00,1.19655,1.20825,1.19555,1.20345,155247,211658
02/28/2008,16:00,1.20435,1.21585,1.20185,1.21335,131458,219806
02/29/2008,16:00,1.21355,1.22885,1.21295,1.22885,151124,220355
03/03/2008,16:00,1.22905,1.23885,1.22825,1.23065,169758,220224
03/04/2008,16:00,1.23075,1.23815,1.22955,1.23165,132847,221881
03/05/2008,16:00,1.23035,1.23235,1.22365,1.22535,142920,222725
03/06/2008,16:00,1.22605,1.23905,1.22515,1.23775,109144,223374
03/07/2008,16:00,1.23865,1.24985,1.23225,1.23715,196054,203080
