"Date","Time","Open","High","Low","Close","Vol","OI"
12/31/2007,17:00,21.816,22.007,21.750,21.950,25592,113865
01/02/2008,17:00,22.039,22.342,22.031,22.317,62506,106692
01/03/2008,17:00,22.340,22.447,22.077,22.141,68436,103564
01/04/2008,17:00,22.119,22.326,21.968,22.308,65474,101413
01/07/2008,17:00,22.270,22.407,22.168,22.346,58487,96218
01/08/2008,17:00,22.376,22.464,22.347,22.434,49300,89632
01/09/2008,17:00,22.403,22.667,22.382,22.566,55042,80324
01/10/2008,17:00,22.602,22.770,22.455,22.726,60304,75902
01/11/2008,17:00,22.766,22.872,22.550,22.677,63262,70222
01/14/2008,17:00,22.868,22.948,22.694,22.820,55441,65808
01/15/2008,17:00,22.847,22.882,22.545,22.663,54975,60011
01/16/2008,17:00,22.625,22.713,22.517,22.600,51390,58493
01/17/2008,17:00,22.547,22.639,22.400,22.548,47710,56733
01/18/2008,17:00,22.577,22.687,22.385,22.460,1604,53969
01/22/2008,17:00,22.407,22.457,22.093,22.137,52742,47372
01/23/2008,17:00,22.152,22.218,22.037,22.088,38653,46984
01/24/2008,17:00,22.167,22.331,22.129,22.269,41521,40450
01/25/2008,17:00,22.297,22.473,22.238,22.450,35638,34093
01/28/2008,17:00,22.449,22.553,22.361,22.538,32444,34093
01/29/2008,17:00,22.557,22.570,22.344,22.439,49439,167315
01/30/2008,17:00,22.411,22.619,22.402,22.541,54354,165902
01/31/2008,17:00,22.552,22.619,22.436,22.570,56821,166330
02/01/2008,17:00,22.561,22.562,22.187,22.236,71405,165541
02/04/2008,17:00,22.121,22.507,22.076,22.365,71725,163348
02/05/2008,17:00,22.386,22.500,22.359,22.438,50489,159773
02/06/2008,17:00,22.458,22.576,22.412,22.490,43095,155388
02/07/2008,17:00,22.528,22.690,22.467,22.598,58189,143879
02/08/2008,17:00,22.691,22.825,22.555,22.797,83421,134918
02/11/2008,17:00,22.901,23.123,22.891,23.027,77045,122727
02/12/2008,17:00,23.058,23.115,22.856,22.932,78818,109951
02/13/2008,17:00,22.906,23.051,22.832,22.884,62966,98688
02/14/2008,17:00,22.891,23.298,22.851,23.268,70141,93586
02/15/2008,17:00,23.247,23.343,23.132,23.156,59825,86529
02/19/2008,17:00,23.251,23.566,23.230,23.473,56652,79875
02/20/2008,17:00,23.519,23.616,23.394,23.461,55927,78049
02/21/2008,17:00,23.435,23.545,23.336,23.387,59960,70295
02/22/2008,17:00,23.365,23.735,23.267,23.642,77476,56615
02/25/2008,17:00,23.831,23.856,23.557,23.682,64730,48411
02/26/2008,17:00,23.654,23.844,23.625,23.716,45156,161078
02/27/2008,17:00,23.689,23.743,23.445,23.524,58138,151442
