"Date","Time","Open","High","Low","Close","Vol","OI"
12/31/2007,16:00,71.68750,72.56250,71.62500,72.21875,88996,917788
01/02/2008,16:00,72.25000,73.93750,71.84375,73.75000,267629,949027
01/03/2008,16:00,73.59375,73.96875,73.03125,73.59375,256771,961916
01/04/2008,16:00,73.71875,74.40625,73.25000,73.93750,374593,985813
01/07/2008,16:00,73.75000,74.34375,73.40625,74.25000,292333,975107
01/08/2008,16:00,74.15625,74.81250,73.50000,74.12500,342312,996951
01/09/2008,16:00,74.65625,75.06250,74.21875,74.65625,375925,992525
01/10/2008,16:00,74.37500,74.68750,73.15625,73.28125,459450,1003428
01/11/2008,16:00,73.28125,74.34375,73.03125,74.09375,423399,1010069
01/14/2008,16:00,74.12500,74.56250,73.93750,74.34375,301115,1028034
01/15/2008,16:00,74.43750,75.65625,74.37500,75.37500,430539,1036763
01/16/2008,16:00,75.68750,76.21875,74.68750,75.03125,535259,1029304
01/17/2008,16:00,74.71875,76.28125,74.65625,75.93750,456670,1045107
01/18/2008,16:00,75.93750,76.03125,75.25000,75.43750,304853,1055204
01/22/2008,16:00,76.40625,77.40625,75.37500,76.62500,642893,1068821
01/23/2008,16:00,77.18750,78.71875,75.15625,77.28125,810381,1059883
01/24/2008,16:00,75.53125,76.65625,74.03125,74.81250,653888,1049095
01/25/2008,16:00,74.18750,76.00000,74.03125,75.71875,486852,1015700
01/28/2008,16:00,75.81250,76.34375,75.46875,75.81250,308436,1033159
01/29/2008,16:00,75.71875,75.96875,74.59375,75.15625,333539,1022651
01/30/2008,16:00,74.84375,75.62500,73.68750,74.15625,392628,1011468
01/31/2008,16:00,74.93750,75.81250,74.62500,75.15625,518642,1009984
02/01/2008,16:00,75.43750,76.12500,74.84375,75.62500,542227,1014551
02/04/2008,16:00,75.81250,75.81250,74.81250,75.03125,274493,997164
02/05/2008,16:00,75.00000,76.46875,74.62500,75.62500,453825,1011374
02/06/2008,16:00,75.81250,76.15625,75.06250,75.21875,360885,1000820
02/07/2008,16:00,75.50000,75.78125,72.87500,73.65625,599094,1007207
02/08/2008,16:00,73.31250,74.81250,73.31250,74.56250,405727,1016333
02/11/2008,16:00,74.71875,75.62500,74.46875,75.12500,312159,1014432
02/12/2008,16:00,75.12500,75.25000,73.81250,74.34375,353698,1002311
02/13/2008,16:00,74.56250,74.71875,73.43750,73.90625,415580,1005143
02/14/2008,16:00,73.53125,73.78125,71.71875,72.25000,564644,1007696
02/15/2008,16:00,72.37500,73.09375,72.00000,72.84375,293714,1018211
02/19/2008,16:00,72.87500,72.93750,71.46875,71.90625,402184,1002632
02/20/2008,16:00,71.68750,72.21875,70.93750,71.75000,562001,998484
02/21/2008,16:00,72.12500,73.56250,71.87500,73.09375,526360,965566
02/22/2008,16:00,73.18750,73.90625,72.71875,72.90625,411078,909232
02/25/2008,16:00,72.78125,72.90625,71.34375,71.68750,448625,850850
02/26/2008,16:00,71.78125,72.15625,71.28125,71.84375,546998,1049095
02/27/2008,16:00,71.90625,72.78125,71.40625,72.06250,650958,1049095
02/28/2008,16:00,72.06250,74.18750,72.06250,73.56250,696311,1049095
02/29/2008,16:00,74.03125,75.84375,74.03125,75.56250,569154,823483
03/03/2008,16:00,75.84375,75.90625,74.90625,75.50000,467622,1049095
03/04/2008,16:00,75.28125,75.65625,74.15625,74.81250,585316,909165
03/05/2008,16:00,74.40625,74.87500,73.06250,73.25000,626751,921402
03/06/2008,16:00,73.21875,74.00000,73.12500,73.53125,489098,923127
03/07/2008,16:00,73.78125,75.31250,73.09375,74.03125,548780,914709
03/10/2008,16:00,73.96875,75.78125,73.90625,75.46875,495722,903638
03/11/2008,16:00,75.28125,75.50000,73.40625,73.93750,520439,904190
03/12/2008,16:00,74.03125,76.25000,73.87500,75.71875,441529,934706
03/13/2008,16:00,75.84375,76.71875,74.62500,75.12500,513508,937089
03/14/2008,16:00,75.15625,77.34375,75.06250,76.46875,505763,943139
03/17/2008,16:00,76.34375,77.43750,76.00000,77.18750,344999,940351
03/18/2008,16:00,77.12500,77.21875,75.90625,76.34375,357818,933651
03/19/2008,16:00,75.90625,77.43750,75.71875,77.09375,440695,929526
03/20/2008,16:00,77.34375,77.96875,76.81250,77.90625,272667,936330
03/24/2008,16:00,77.78125,77.78125,75.00000,75.75000,218703,923493
03/25/2008,16:00,75.12500,76.15625,75.09375,76.00000,261561,923685
03/26/2008,16:00,75.90625,76.56250,75.46875,75.75000,268208,925219
03/27/2008,16:00,76.03125,76.12500,74.65625,75.12500,324076,925847
03/28/2008,16:00,74.93750,75.96875,74.59375,75.46875,224528,928184
03/31/2008,16:00,75.81250,76.53125,75.46875,75.75000,336283,925331
04/01/2008,16:00,75.96875,75.96875,74.00000,74.59375,455146,904876
04/02/2008,16:00,74.43750,75.09375,74.00000,74.40625,296878,879446
04/03/2008,16:00,74.28125,75.06250,74.15625,74.50000,231262,868905
04/04/2008,16:00,74.53125,76.40625,74.43750,76.06250,355594,885921
04/07/2008,16:00,76.12500,76.15625,74.53125,75.28125,224078,877674
04/08/2008,16:00,75.46875,76.18750,75.06250,75.21875,219600,874346
04/09/2008,16:00,75.09375,76.56250,74.81250,76.37500,245662,885927
04/10/2008,16:00,76.18750,76.71875,75.46875,75.96875,260194,886238
04/11/2008,16:00,75.87500,76.93750,75.68750,76.62500,215160,899458
04/14/2008,16:00,76.68750,77.09375,76.06250,76.25000,215496,902077
04/15/2008,16:00,76.15625,76.53125,74.90625,75.37500,278261,903425
04/16/2008,16:00,74.93750,75.37500,73.71875,73.93750,343723,898786
04/17/2008,16:00,74.06250,74.40625,73.34375,73.62500,269993,890109
04/18/2008,16:00,73.65625,73.96875,72.37500,73.37500,294581,880839
04/21/2008,16:00,73.71875,74.09375,73.06250,74.03125,211895,877755
04/22/2008,16:00,73.93750,74.53125,73.46875,74.09375,244169,888524
04/23/2008,16:00,74.37500,74.56250,73.25000,73.93750,235935,900674
04/24/2008,16:00,73.84375,74.12500,72.53125,73.06250,281087,901526
04/25/2008,16:00,73.00000,73.03125,72.18750,72.53125,246625,890057
04/28/2008,16:00,72.40625,73.12500,72.09375,72.96875,188869,905766
04/29/2008,16:00,73.00000,73.78125,72.87500,73.06250,229574,900830
04/30/2008,16:00,73.12500,74.18750,72.62500,73.84375,279992,903892
05/01/2008,16:00,74.12500,74.87500,73.59375,74.09375,318502,908605
05/02/2008,16:00,73.84375,74.68750,72.65625,73.18750,372480,902018
05/05/2008,16:00,73.06250,73.71875,72.21875,73.06250,183314,906145
05/06/2008,16:00,72.84375,73.59375,72.03125,72.37500,245169,906859
