"Date","Time","Open","High","Low","Close","Vol","OI"
12/31/2007,13:20,2140.000,2156.500,2134.250,2142.000,18904,203170
01/02/2008,13:20,2149.500,2172.000,2145.250,2172.000,19795,203914
01/03/2008,13:20,2177.000,2202.000,2176.000,2202.000,35847,204182
01/04/2008,13:20,2204.000,2215.000,2173.250,2188.500,43772,204123
01/07/2008,13:20,2183.750,2191.000,2159.000,2160.000,37282,202407
01/08/2008,13:20,2160.750,2186.750,2152.500,2164.500,49999,202087
01/09/2008,13:20,2169.250,2173.500,2146.250,2146.500,41809,196719
01/10/2008,13:20,2144.000,2164.000,2135.500,2139.500,51394,192901
01/11/2008,13:20,2147.000,2169.500,2142.000,2166.250,51757,192901
01/14/2008,13:20,2169.500,2196.250,2159.750,2174.000,38512,192901
01/15/2008,13:20,2171.000,2200.500,2158.000,2189.000,55215,192901
01/16/2008,13:20,2188.750,2199.750,2159.000,2183.500,46772,192901
01/17/2008,13:20,2185.500,2213.500,2184.250,2197.500,36150,192901
01/18/2008,13:20,2197.250,2224.500,2180.500,2219.500,39898,192901
01/22/2008,13:20,2206.750,2243.500,2189.500,2191.000,61524,192901
01/23/2008,13:20,2192.000,2208.750,2161.250,2162.000,51882,192901
01/24/2008,13:20,2171.750,2186.000,2159.250,2166.000,47088,192901
01/25/2008,13:20,2169.000,2195.500,2160.250,2190.000,44034,192901
01/28/2008,13:20,2196.750,2220.000,2190.000,2220.000,41941,192901
01/29/2008,13:20,2231.500,2250.000,2196.250,2201.000,65551,192901
01/30/2008,13:20,2205.250,2207.500,2178.500,2179.500,37488,192901
01/31/2008,13:20,2180.000,2199.250,2166.500,2186.500,37606,192901
02/01/2008,13:20,2191.000,2214.250,2190.500,2200.000,57817,192901
02/04/2008,13:20,2205.500,2230.000,2205.000,2230.000,33631,192901
02/05/2008,13:20,2234.750,2260.000,2229.250,2260.000,44097,192901
02/06/2008,13:20,2274.500,2290.000,2273.000,2290.000,45234,192901
02/07/2008,13:20,2317.000,2320.000,2291.000,2320.000,66447,192901
02/08/2008,13:20,2336.000,2350.000,2336.000,2350.000,36204,192901
02/11/2008,13:20,2410.000,2410.000,2305.000,2305.000,87394,192901
02/12/2008,13:20,2305.000,2321.250,2246.000,2264.000,68259,192901
02/13/2008,13:20,2262.250,2271.750,2237.000,2248.500,48181,192901
02/14/2008,13:20,2266.500,2301.750,2259.750,2289.000,42296,192901
02/15/2008,13:20,2296.250,2307.500,2268.500,2284.500,33840,68518
02/19/2008,13:20,2283.750,2317.250,2275.250,2293.000,36143,192901
02/20/2008,13:20,2299.000,2299.000,2265.250,2277.000,38718,50489
02/21/2008,13:20,2277.750,2289.500,2264.750,2286.500,16248,192901
02/22/2008,13:20,2291.250,2309.000,2272.000,2306.500,20416,32235
02/25/2008,13:20,2308.000,2366.500,2308.000,2366.500,13269,23824
02/26/2008,13:20,2456.500,2456.500,2363.500,2456.500,19792,17011
02/27/2008,13:20,2505.000,2591.500,2322.250,2537.000,22235,10485
02/28/2008,13:20,2486.000,2517.750,2419.000,2426.000,10902,6228
02/29/2008,13:20,2433.750,2440.750,2347.000,2347.000,49261,166525
03/03/2008,13:20,2346.500,2407.000,2341.500,2363.500,36194,192901
03/04/2008,13:20,2365.750,2389.500,2313.000,2348.500,36305,166666
03/05/2008,13:20,2357.500,2398.500,2340.500,2366.000,35463,165575
03/06/2008,13:20,2370.000,2401.250,2354.250,2386.000,33923,164669
03/07/2008,13:20,2390.000,2396.000,2352.000,2366.000,27457,163765
03/10/2008,13:20,2359.000,2426.000,2341.750,2424.000,38842,165398
03/11/2008,13:20,2431.000,2484.000,2408.750,2484.000,32564,163590
03/12/2008,13:20,2500.750,2574.000,2452.000,2543.500,52568,163639
03/13/2008,13:20,2537.750,2578.750,2499.500,2505.000,38470,161185
03/14/2008,13:20,2500.500,2510.750,2416.000,2452.500,38180,159409
03/17/2008,13:20,2445.250,2483.000,2392.500,2392.500,31590,157659
03/18/2008,13:20,2391.000,2431.000,2380.750,2425.000,27167,155294
03/19/2008,13:20,2425.500,2431.000,2335.000,2335.000,31925,151341
03/20/2008,13:20,2338.750,2355.000,2237.000,2248.500,63257,147288
03/24/2008,13:20,2248.500,2323.250,2248.500,2281.000,33587,144386
03/25/2008,13:20,2287.750,2379.750,2276.000,2328.500,39963,142162
03/26/2008,13:20,2345.000,2352.250,2291.250,2294.000,36431,139732
03/27/2008,13:20,2300.000,2313.000,2261.000,2275.000,27510,138946
03/28/2008,13:20,2273.500,2283.000,2228.750,2250.000,28804,135826
03/31/2008,13:20,2259.000,2276.000,2190.000,2190.000,28532,132762
04/01/2008,13:20,2190.000,2193.750,2152.500,2156.000,51718,120766
04/02/2008,13:20,2161.250,2200.750,2159.000,2197.500,39522,115639
04/03/2008,13:20,2202.000,2215.500,2189.250,2198.000,25464,112224
04/04/2008,13:20,2201.250,2246.500,2191.500,2235.250,36027,106260
04/07/2008,13:20,2235.250,2241.500,2182.250,2182.250,44211,99252
04/08/2008,13:20,2184.500,2205.250,2178.750,2195.000,39306,87081
04/09/2008,13:20,2200.000,2222.000,2159.500,2195.000,61248,76813
04/10/2008,13:20,2198.750,2213.000,2179.750,2184.000,37289,69749
04/11/2008,13:20,2186.000,2196.500,2157.500,2157.500,53899,57150
04/14/2008,13:20,2159.000,2176.000,2139.000,2157.000,30662,45874
04/15/2008,13:20,2158.000,2188.750,2154.500,2156.750,26743,39029
04/16/2008,13:20,2159.250,2186.500,2153.500,2185.500,14911,36645
04/17/2008,13:20,2185.000,2206.250,2161.000,2174.000,10833,33015
04/18/2008,13:20,2174.250,2179.750,2124.000,2131.000,12723,29954
04/21/2008,13:20,2133.500,2133.500,2088.250,2106.750,16407,25563
04/22/2008,13:20,2111.000,2121.750,2092.000,2112.750,8594,23706
04/23/2008,13:20,2113.250,2114.000,2069.500,2078.750,10058,21941
04/24/2008,13:20,2078.250,2083.500,2062.500,2070.250,8207,20297
04/25/2008,13:20,2070.500,2083.000,2061.000,2061.500,10394,12174
04/28/2008,13:20,2066.500,2087.000,2061.000,2087.000,9179,11029
04/29/2008,13:20,2086.000,2091.750,2048.250,2055.000,10405,6325
