Date,Time,Open,High,Low,Close,Tick volume
2012.01.16,00:00:00,1290.9,1296.9,1285.9,1295.6,4453
2012.01.18,00:00:00,1296.4,1308.9,1291.1,1307.6,6182
2012.01.19,00:00:00,1312.16,1315.49,1311.8,1314.5,2643
2012.01.20,00:00:00,1314.1,1316.4,1309.6,1315.1,5690
2012.01.23,00:00:00,1315.38,1322,1309.89,1316,2530
2012.01.24,00:00:00,1316,1316,1306.16,1314.65,2480
2012.01.25,00:00:00,1314.65,1328.3,1307.81,1326.06,2539
2012.01.26,00:00:00,1326.06,1333.47,1313.67,1318.43,3348
2012.01.27,00:00:00,1318.43,1320.06,1311.72,1319.27,3381
2012.01.30,00:00:00,1316.33,1316.33,1300.54,1313.01,3650
2012.01.31,00:00:00,1313.01,1321.34,1306.69,1312.41,3372
2012.02.01,00:00:00,1312.41,1330.52,1312.41,1324.09,3495
2012.02.02,00:00:00,1324.09,1329.19,1321.57,1325.54,3816
2012.02.03,00:00:00,1325.54,1345.34,1325.54,1344.9,3703
2012.02.06,00:00:00,1344.9,1344.9,1337.52,1344.33,3421
2012.02.07,00:00:00,1344.33,1349.24,1335.92,1347.05,3775
2012.02.08,00:00:00,1347.05,1351,1342.12,1349.96,2095
2012.02.09,00:00:00,1349.96,1354.2,1344.63,1351.95,2094
2012.02.10,00:00:00,1351.95,1351.95,1337.35,1342.64,3870
2012.02.13,00:00:00,1342.64,1353.35,1342.64,1351.77,2602
2012.02.14,00:00:00,1351.77,1351.77,1340.83,1350.5,3711
2012.02.15,00:00:00,1350.5,1355.87,1340.85,1343.23,3574
2012.02.16,00:00:00,1343.23,1359.02,1341.22,1358.04,3876
2012.02.17,00:00:00,1358.04,1363.4,1357.24,1361.23,3594
2012.02.20,00:00:00,1371.4,1371.4,1364.6,1365.1,2133
2012.02.21,00:00:00,1363.36,1367.76,1358.11,1362.21,2145
2012.02.22,00:00:00,1362.21,1362.7,1355.53,1357.66,3661
2012.02.23,00:00:00,1357.66,1364.24,1352.28,1363.46,3872
2012.02.24,00:00:00,1363.46,1368.92,1363.46,1365.74,3696
2012.02.27,00:00:00,1365.74,1371.94,1354.99,1367.59,3662
2012.02.28,00:00:00,1367.59,1373.09,1365.97,1372.18,3820
2012.02.29,00:00:00,1372.18,1378.04,1364.51,1365.68,741
2012.03.01,00:00:00,1365.68,1376.17,1365.68,1374.09,3524
2012.03.02,00:00:00,1374.09,1374.53,1366.42,1369.63,3693
2012.03.05,00:00:00,1369.63,1369.63,1359.13,1364.33,3876
2012.03.06,00:00:00,1364.33,1364.33,1340.05,1343.36,3040
2012.03.07,00:00:00,1343.36,1354.85,1343.36,1352.63,3418
2012.03.08,00:00:00,1352.63,1368.72,1352.63,1365.91,3475
2012.03.09,00:00:00,1365.91,1374.76,1365.91,1370.87,3676
2012.03.12,00:00:00,1370.87,1372.95,1366.69,1371.09,3700
2012.03.13,00:00:00,1371.09,1396.13,1371.09,1395.95,2323
2012.03.15,00:00:00,1394.28,1402.63,1392.78,1402.6,3965
2012.03.16,00:00:00,1402.55,1405.88,1401.47,1404.17,3832
2012.03.19,00:00:00,1404.17,1414,1402.43,1409.75,3940
2012.03.20,00:00:00,1409.75,1409.75,1397.68,1405.52,3969
2012.03.21,00:00:00,1405.52,1407.75,1400.64,1402.89,3665
2012.03.22,00:00:00,1402.89,1402.89,1388.77,1392.78,3628
2012.03.23,00:00:00,1392.78,1399.18,1386.87,1397.11,3675
2012.03.26,00:00:00,1397.11,1416.58,1397.11,1416.51,3411
