strategy_name,filter_count,filters,filter_class_names,total_trades,trades_per_year,passes_trade_filter,net_pnl,profit_factor,average_trade,max_drawdown,is_trades,oos_trades,is_pf,oos_pf,recent_12m_trades,recent_12m_pf,quality_flag,quality_score,pct_profitable_years,max_consecutive_losing_years,consistency_flag,filter_classes
ComboMR_DownClose_LowVolatilityRegime_StretchFromLongTermSMA,3,"DownCloseFilter,LowVolatilityRegimeFilter,StretchFromLongTermSMAFilter","DownCloseFilter,LowVolatilityRegimeFilter,StretchFromLongTermSMAFilter",282,15.49,True,348357.0,1.59,1235.31,-113928.0,164,118,1.29,1.99,13,1.36,ROBUST,0.7043,0.6842,1,CONSISTENT,"[<class 'modules.filters.DownCloseFilter'>, <class 'modules.filters.LowVolatilityRegimeFilter'>, <class 'modules.filters.StretchFromLongTermSMAFilter'>]"
ComboMR_DownClose_ReversalUpBar_StretchFromLongTermSMA,3,"DownCloseFilter,ReversalUpBarFilter,StretchFromLongTermSMAFilter","DownCloseFilter,ReversalUpBarFilter,StretchFromLongTermSMAFilter",28,1.54,False,265653.0,6.48,9487.61,-16968.0,11,17,3.33,8.18,3,0.0,ROBUST,0.556,0.4375,3,MIXED,"[<class 'modules.filters.DownCloseFilter'>, <class 'modules.filters.ReversalUpBarFilter'>, <class 'modules.filters.StretchFromLongTermSMAFilter'>]"
ComboMR_DownClose_ReversalUpBar_LowVolatilityRegime_StretchFromLongTermSMA,4,"DownCloseFilter,ReversalUpBarFilter,LowVolatilityRegimeFilter,StretchFromLongTermSMAFilter","DownCloseFilter,ReversalUpBarFilter,LowVolatilityRegimeFilter,StretchFromLongTermSMAFilter",17,0.93,False,263517.0,10.88,15501.0,-7272.0,8,9,2.23,21.26,4,10.69,ROBUST,0.5614,0.4167,3,MIXED,"[<class 'modules.filters.DownCloseFilter'>, <class 'modules.filters.ReversalUpBarFilter'>, <class 'modules.filters.LowVolatilityRegimeFilter'>, <class 'modules.filters.StretchFromLongTermSMAFilter'>]"
ComboMR_BelowFastSMA_ReversalUpBar_StretchFromLongTermSMA,3,"BelowFastSMAFilter,ReversalUpBarFilter,StretchFromLongTermSMAFilter","BelowFastSMAFilter,ReversalUpBarFilter,StretchFromLongTermSMAFilter",206,11.31,True,257931.0,1.59,1252.09,-92133.0,127,79,1.09,2.35,13,2.12,STABLE,0.6928,0.5789,3,MIXED,"[<class 'modules.filters.BelowFastSMAFilter'>, <class 'modules.filters.ReversalUpBarFilter'>, <class 'modules.filters.StretchFromLongTermSMAFilter'>]"
ComboMR_BelowFastSMA_LowVolatilityRegime_AboveLongTermSMA,3,"BelowFastSMAFilter,LowVolatilityRegimeFilter,AboveLongTermSMAFilter","BelowFastSMAFilter,LowVolatilityRegimeFilter,AboveLongTermSMAFilter",382,20.98,True,256032.0,1.34,670.24,-121485.0,214,168,0.98,1.75,24,1.43,REGIME_DEPENDENT,0.5927,0.5263,3,MIXED,"[<class 'modules.filters.BelowFastSMAFilter'>, <class 'modules.filters.LowVolatilityRegimeFilter'>, <class 'modules.filters.AboveLongTermSMAFilter'>]"
ComboMR_DownClose_ReversalUpBar_LowVolatilityRegime,3,"DownCloseFilter,ReversalUpBarFilter,LowVolatilityRegimeFilter","DownCloseFilter,ReversalUpBarFilter,LowVolatilityRegimeFilter",62,3.41,True,233862.0,2.93,3771.97,-33936.0,31,31,1.3,4.43,10,3.56,ROBUST,0.6717,0.2778,6,INCONSISTENT,"[<class 'modules.filters.DownCloseFilter'>, <class 'modules.filters.ReversalUpBarFilter'>, <class 'modules.filters.LowVolatilityRegimeFilter'>]"
ComboMR_BelowFastSMA_DownClose_LowVolatilityRegime,3,"BelowFastSMAFilter,DownCloseFilter,LowVolatilityRegimeFilter","BelowFastSMAFilter,DownCloseFilter,LowVolatilityRegimeFilter",573,31.47,True,233223.0,1.2,407.02,-85803.0,334,239,1.02,1.43,30,1.35,STABLE_BORDERLINE,0.6309,0.6842,1,CONSISTENT,"[<class 'modules.filters.BelowFastSMAFilter'>, <class 'modules.filters.DownCloseFilter'>, <class 'modules.filters.LowVolatilityRegimeFilter'>]"
ComboMR_BelowFastSMA_DistanceBelowSMA_ReversalUpBar,3,"BelowFastSMAFilter,DistanceBelowSMAFilter,ReversalUpBarFilter","BelowFastSMAFilter,DistanceBelowSMAFilter,ReversalUpBarFilter",223,12.25,True,208548.0,1.44,935.19,-89691.0,111,112,0.98,1.88,19,2.09,REGIME_DEPENDENT,0.6163,0.5263,5,INCONSISTENT,"[<class 'modules.filters.BelowFastSMAFilter'>, <class 'modules.filters.DistanceBelowSMAFilter'>, <class 'modules.filters.ReversalUpBarFilter'>]"
ComboMR_BelowFastSMA_DownClose_AboveLongTermSMA,3,"BelowFastSMAFilter,DownCloseFilter,AboveLongTermSMAFilter","BelowFastSMAFilter,DownCloseFilter,AboveLongTermSMAFilter",430,23.62,True,207630.0,1.24,482.86,-98583.0,236,194,1.08,1.42,32,1.14,STABLE,0.6036,0.5789,2,MIXED,"[<class 'modules.filters.BelowFastSMAFilter'>, <class 'modules.filters.DownCloseFilter'>, <class 'modules.filters.AboveLongTermSMAFilter'>]"
ComboMR_BelowFastSMA_DistanceBelowSMA_LowVolatilityRegime,3,"BelowFastSMAFilter,DistanceBelowSMAFilter,LowVolatilityRegimeFilter","BelowFastSMAFilter,DistanceBelowSMAFilter,LowVolatilityRegimeFilter",458,25.16,True,205233.0,1.21,448.11,-100305.0,241,217,1.01,1.42,31,2.04,STABLE_BORDERLINE,0.6378,0.5263,3,MIXED,"[<class 'modules.filters.BelowFastSMAFilter'>, <class 'modules.filters.DistanceBelowSMAFilter'>, <class 'modules.filters.LowVolatilityRegimeFilter'>]"
