strategy_name,filter_count,filters,filter_class_names,total_trades,trades_per_year,passes_trade_filter,net_pnl,profit_factor,average_trade,max_drawdown,is_trades,oos_trades,is_pf,oos_pf,recent_12m_trades,recent_12m_pf,quality_flag,quality_score,pct_profitable_years,max_consecutive_losing_years,consistency_flag,filter_classes
ComboMR_ReversalUpBar_LowVolatilityRegime_CloseNearLow_StretchFromLongTermSMA,4,"ReversalUpBarFilter,LowVolatilityRegimeFilter,CloseNearLowFilter,StretchFromLongTermSMAFilter","ReversalUpBarFilter,LowVolatilityRegimeFilter,CloseNearLowFilter,StretchFromLongTermSMAFilter",2,29.22,False,7523.5,3.6,3761.75,-2894.0,2,0,3.6,0.0,2,3.6,BROKEN_IN_OOS,0.4922,0.0,0,INSUFFICIENT_DATA,"[<class 'modules.filters.ReversalUpBarFilter'>, <class 'modules.filters.LowVolatilityRegimeFilter'>, <class 'modules.filters.CloseNearLowFilter'>, <class 'modules.filters.StretchFromLongTermSMAFilter'>]"
ComboMR_ReversalUpBar_LowVolatilityRegime_CloseNearLow,3,"ReversalUpBarFilter,LowVolatilityRegimeFilter,CloseNearLowFilter","ReversalUpBarFilter,LowVolatilityRegimeFilter,CloseNearLowFilter",3,43.83,False,4723.0,1.83,1574.33,-5694.5,3,0,1.83,0.0,3,1.83,BROKEN_IN_OOS,0.265,0.0,0,INSUFFICIENT_DATA,"[<class 'modules.filters.ReversalUpBarFilter'>, <class 'modules.filters.LowVolatilityRegimeFilter'>, <class 'modules.filters.CloseNearLowFilter'>]"
ComboMR_ReversalUpBar_CloseNearLow_StretchFromLongTermSMA,3,"ReversalUpBarFilter,CloseNearLowFilter,StretchFromLongTermSMAFilter","ReversalUpBarFilter,CloseNearLowFilter,StretchFromLongTermSMAFilter",5,73.05,False,2180.0,1.26,436.0,-5895.87,5,0,1.26,0.0,5,1.26,BROKEN_IN_OOS,0.2094,0.0,0,INSUFFICIENT_DATA,"[<class 'modules.filters.ReversalUpBarFilter'>, <class 'modules.filters.CloseNearLowFilter'>, <class 'modules.filters.StretchFromLongTermSMAFilter'>]"
ComboMR_DownClose_ThreeBarDown_AboveLongTermSMA,3,"DownCloseFilter,ThreeBarDownFilter,AboveLongTermSMAFilter","DownCloseFilter,ThreeBarDownFilter,AboveLongTermSMAFilter",1,14.61,False,1547.0,1547.0,1547.0,0.0,1,0,1547.0,0.0,1,1547.0,BROKEN_IN_OOS,0.5232,0.0,0,INSUFFICIENT_DATA,"[<class 'modules.filters.DownCloseFilter'>, <class 'modules.filters.ThreeBarDownFilter'>, <class 'modules.filters.AboveLongTermSMAFilter'>]"
ComboMR_TwoBarDown_ThreeBarDown_AboveLongTermSMA,3,"TwoBarDownFilter,ThreeBarDownFilter,AboveLongTermSMAFilter","TwoBarDownFilter,ThreeBarDownFilter,AboveLongTermSMAFilter",1,14.61,False,1547.0,1547.0,1547.0,0.0,1,0,1547.0,0.0,1,1547.0,BROKEN_IN_OOS,0.5232,0.0,0,INSUFFICIENT_DATA,"[<class 'modules.filters.TwoBarDownFilter'>, <class 'modules.filters.ThreeBarDownFilter'>, <class 'modules.filters.AboveLongTermSMAFilter'>]"
ComboMR_ThreeBarDown_LowVolatilityRegime_AboveLongTermSMA,3,"ThreeBarDownFilter,LowVolatilityRegimeFilter,AboveLongTermSMAFilter","ThreeBarDownFilter,LowVolatilityRegimeFilter,AboveLongTermSMAFilter",1,14.61,False,1547.0,1547.0,1547.0,0.0,1,0,1547.0,0.0,1,1547.0,BROKEN_IN_OOS,0.5232,0.0,0,INSUFFICIENT_DATA,"[<class 'modules.filters.ThreeBarDownFilter'>, <class 'modules.filters.LowVolatilityRegimeFilter'>, <class 'modules.filters.AboveLongTermSMAFilter'>]"
ComboMR_ThreeBarDown_AboveLongTermSMA_CloseNearLow,3,"ThreeBarDownFilter,AboveLongTermSMAFilter,CloseNearLowFilter","ThreeBarDownFilter,AboveLongTermSMAFilter,CloseNearLowFilter",1,14.61,False,1547.0,1547.0,1547.0,0.0,1,0,1547.0,0.0,1,1547.0,BROKEN_IN_OOS,0.5232,0.0,0,INSUFFICIENT_DATA,"[<class 'modules.filters.ThreeBarDownFilter'>, <class 'modules.filters.AboveLongTermSMAFilter'>, <class 'modules.filters.CloseNearLowFilter'>]"
ComboMR_DownClose_TwoBarDown_ThreeBarDown_AboveLongTermSMA,4,"DownCloseFilter,TwoBarDownFilter,ThreeBarDownFilter,AboveLongTermSMAFilter","DownCloseFilter,TwoBarDownFilter,ThreeBarDownFilter,AboveLongTermSMAFilter",1,14.61,False,1547.0,1547.0,1547.0,0.0,1,0,1547.0,0.0,1,1547.0,BROKEN_IN_OOS,0.5232,0.0,0,INSUFFICIENT_DATA,"[<class 'modules.filters.DownCloseFilter'>, <class 'modules.filters.TwoBarDownFilter'>, <class 'modules.filters.ThreeBarDownFilter'>, <class 'modules.filters.AboveLongTermSMAFilter'>]"
ComboMR_DownClose_ThreeBarDown_LowVolatilityRegime_AboveLongTermSMA,4,"DownCloseFilter,ThreeBarDownFilter,LowVolatilityRegimeFilter,AboveLongTermSMAFilter","DownCloseFilter,ThreeBarDownFilter,LowVolatilityRegimeFilter,AboveLongTermSMAFilter",1,14.61,False,1547.0,1547.0,1547.0,0.0,1,0,1547.0,0.0,1,1547.0,BROKEN_IN_OOS,0.5232,0.0,0,INSUFFICIENT_DATA,"[<class 'modules.filters.DownCloseFilter'>, <class 'modules.filters.ThreeBarDownFilter'>, <class 'modules.filters.LowVolatilityRegimeFilter'>, <class 'modules.filters.AboveLongTermSMAFilter'>]"
ComboMR_DownClose_ThreeBarDown_AboveLongTermSMA_CloseNearLow,4,"DownCloseFilter,ThreeBarDownFilter,AboveLongTermSMAFilter,CloseNearLowFilter","DownCloseFilter,ThreeBarDownFilter,AboveLongTermSMAFilter,CloseNearLowFilter",1,14.61,False,1547.0,1547.0,1547.0,0.0,1,0,1547.0,0.0,1,1547.0,BROKEN_IN_OOS,0.5232,0.0,0,INSUFFICIENT_DATA,"[<class 'modules.filters.DownCloseFilter'>, <class 'modules.filters.ThreeBarDownFilter'>, <class 'modules.filters.AboveLongTermSMAFilter'>, <class 'modules.filters.CloseNearLowFilter'>]"
ComboMR_TwoBarDown_ThreeBarDown_LowVolatilityRegime_AboveLongTermSMA,4,"TwoBarDownFilter,ThreeBarDownFilter,LowVolatilityRegimeFilter,AboveLongTermSMAFilter","TwoBarDownFilter,ThreeBarDownFilter,LowVolatilityRegimeFilter,AboveLongTermSMAFilter",1,14.61,False,1547.0,1547.0,1547.0,0.0,1,0,1547.0,0.0,1,1547.0,BROKEN_IN_OOS,0.5232,0.0,0,INSUFFICIENT_DATA,"[<class 'modules.filters.TwoBarDownFilter'>, <class 'modules.filters.ThreeBarDownFilter'>, <class 'modules.filters.LowVolatilityRegimeFilter'>, <class 'modules.filters.AboveLongTermSMAFilter'>]"
ComboMR_TwoBarDown_ThreeBarDown_AboveLongTermSMA_CloseNearLow,4,"TwoBarDownFilter,ThreeBarDownFilter,AboveLongTermSMAFilter,CloseNearLowFilter","TwoBarDownFilter,ThreeBarDownFilter,AboveLongTermSMAFilter,CloseNearLowFilter",1,14.61,False,1547.0,1547.0,1547.0,0.0,1,0,1547.0,0.0,1,1547.0,BROKEN_IN_OOS,0.5232,0.0,0,INSUFFICIENT_DATA,"[<class 'modules.filters.TwoBarDownFilter'>, <class 'modules.filters.ThreeBarDownFilter'>, <class 'modules.filters.AboveLongTermSMAFilter'>, <class 'modules.filters.CloseNearLowFilter'>]"
