strategy_name,filters,year,trades,net_pnl,profit_factor,rolling_3y_pnl
RefinedMR_HB12_ATR0.5_DIST1.2_MOM0,"DistanceBelowSMAFilter,TwoBarDownFilter,ReversalUpBarFilter",2008,4,-6338.19,0.25,
RefinedMR_HB12_ATR0.5_DIST1.2_MOM0,"DistanceBelowSMAFilter,TwoBarDownFilter,ReversalUpBarFilter",2009,1,-2689.75,0.0,
RefinedMR_HB12_ATR0.5_DIST1.2_MOM0,"DistanceBelowSMAFilter,TwoBarDownFilter,ReversalUpBarFilter",2010,9,33503.13,3.47,24475.19
RefinedMR_HB12_ATR0.5_DIST1.2_MOM0,"DistanceBelowSMAFilter,TwoBarDownFilter,ReversalUpBarFilter",2011,3,-10334.13,0.0,20479.25
RefinedMR_HB12_ATR0.5_DIST1.2_MOM0,"DistanceBelowSMAFilter,TwoBarDownFilter,ReversalUpBarFilter",2012,1,2338.0,2338.0,25507.0
RefinedMR_HB12_ATR0.5_DIST1.2_MOM0,"DistanceBelowSMAFilter,TwoBarDownFilter,ReversalUpBarFilter",2013,1,-3977.37,0.0,-11973.5
RefinedMR_HB12_ATR0.5_DIST1.2_MOM0,"DistanceBelowSMAFilter,TwoBarDownFilter,ReversalUpBarFilter",2014,1,-3261.69,0.0,-4901.0599999999995
RefinedMR_HB12_ATR0.5_DIST1.2_MOM0,"DistanceBelowSMAFilter,TwoBarDownFilter,ReversalUpBarFilter",2015,3,-9877.31,0.0,-17116.37
RefinedMR_HB12_ATR0.5_DIST1.2_MOM0,"DistanceBelowSMAFilter,TwoBarDownFilter,ReversalUpBarFilter",2016,3,-2356.25,0.64,-15495.25
RefinedMR_HB12_ATR0.5_DIST1.2_MOM0,"DistanceBelowSMAFilter,TwoBarDownFilter,ReversalUpBarFilter",2017,1,-3338.0,0.0,-15571.56
RefinedMR_HB12_ATR0.5_DIST1.2_MOM0,"DistanceBelowSMAFilter,TwoBarDownFilter,ReversalUpBarFilter",2018,3,38640.75,14.91,32946.5
RefinedMR_HB12_ATR0.5_DIST1.2_MOM0,"DistanceBelowSMAFilter,TwoBarDownFilter,ReversalUpBarFilter",2019,3,14378.5,5.45,49681.25
RefinedMR_HB12_ATR0.5_DIST1.2_MOM0,"DistanceBelowSMAFilter,TwoBarDownFilter,ReversalUpBarFilter",2020,3,2652.44,1.44,55671.69
RefinedMR_HB12_ATR0.5_DIST1.2_MOM0,"DistanceBelowSMAFilter,TwoBarDownFilter,ReversalUpBarFilter",2022,3,-8278.0,0.0,8752.94
RefinedMR_HB12_ATR0.5_DIST1.2_MOM0,"DistanceBelowSMAFilter,TwoBarDownFilter,ReversalUpBarFilter",2023,3,2040.38,1.6,-3585.1799999999994
RefinedMR_HB12_ATR0.5_DIST1.2_MOM0,"DistanceBelowSMAFilter,TwoBarDownFilter,ReversalUpBarFilter",2024,4,-11857.06,0.0,-18094.68
RefinedMR_HB12_ATR0.5_DIST1.2_MOM0,"DistanceBelowSMAFilter,TwoBarDownFilter,ReversalUpBarFilter",2025,7,4350.38,1.37,-5466.299999999998
RefinedMR_HB12_ATR0.5_DIST1.2_MOM0,"DistanceBelowSMAFilter,TwoBarDownFilter,ReversalUpBarFilter",2026,1,7497.0,7497.0,-9.679999999998472
