strategy_name,filter_count,filters,filter_class_names,total_trades,trades_per_year,passes_trade_filter,net_pnl,profit_factor,average_trade,is_trades,oos_trades,is_pf,oos_pf,recent_12m_trades,recent_12m_pf,quality_flag,quality_score,pct_profitable_years,max_consecutive_losing_years,consistency_flag,filter_classes
ComboMR_BelowFastSMA_TwoBarDown_ReversalUpBar,3,"BelowFastSMAFilter,TwoBarDownFilter,ReversalUpBarFilter","BelowFastSMAFilter,TwoBarDownFilter,ReversalUpBarFilter",101,5.55,True,31831.5,1.39,315.16,57,44,0.57,1.93,14,2.7,REGIME_DEPENDENT,0.5515,0.4444,4,MIXED,"[<class 'modules.filters.BelowFastSMAFilter'>, <class 'modules.filters.TwoBarDownFilter'>, <class 'modules.filters.ReversalUpBarFilter'>]"
ComboMR_DownClose_ReversalUpBar_LowVolatilityRegime_StretchFromLongTermSMA,4,"DownCloseFilter,ReversalUpBarFilter,LowVolatilityRegimeFilter,StretchFromLongTermSMAFilter","DownCloseFilter,ReversalUpBarFilter,LowVolatilityRegimeFilter,StretchFromLongTermSMAFilter",112,6.15,True,16512.0,1.2,147.43,76,36,0.98,1.38,7,3.14,REGIME_DEPENDENT,0.611,0.3889,5,INCONSISTENT,"[<class 'modules.filters.DownCloseFilter'>, <class 'modules.filters.ReversalUpBarFilter'>, <class 'modules.filters.LowVolatilityRegimeFilter'>, <class 'modules.filters.StretchFromLongTermSMAFilter'>]"
ComboMR_ReversalUpBar_CloseNearLow_StretchFromLongTermSMA,3,"ReversalUpBarFilter,CloseNearLowFilter,StretchFromLongTermSMAFilter","ReversalUpBarFilter,CloseNearLowFilter,StretchFromLongTermSMAFilter",1400,76.91,True,-124330.0,0.84,-88.81,810,590,0.71,1.03,73,1.52,MARGINAL_BORDERLINE,0.4929,0.3684,5,INCONSISTENT,"[<class 'modules.filters.ReversalUpBarFilter'>, <class 'modules.filters.CloseNearLowFilter'>, <class 'modules.filters.StretchFromLongTermSMAFilter'>]"
ComboMR_DownClose_ThreeBarDown_ReversalUpBar,3,"DownCloseFilter,ThreeBarDownFilter,ReversalUpBarFilter","DownCloseFilter,ThreeBarDownFilter,ReversalUpBarFilter",85,4.67,True,10260.0,1.16,120.71,48,37,0.88,1.32,11,2.52,REGIME_DEPENDENT,0.5977,0.4211,3,MIXED,"[<class 'modules.filters.DownCloseFilter'>, <class 'modules.filters.ThreeBarDownFilter'>, <class 'modules.filters.ReversalUpBarFilter'>]"
ComboMR_BelowFastSMA_TwoBarDown_ReversalUpBar_LowVolatilityRegime,4,"BelowFastSMAFilter,TwoBarDownFilter,ReversalUpBarFilter,LowVolatilityRegimeFilter","BelowFastSMAFilter,TwoBarDownFilter,ReversalUpBarFilter,LowVolatilityRegimeFilter",75,4.12,True,19125.0,1.33,255.0,43,32,0.38,2.04,8,3.44,REGIME_DEPENDENT,0.4937,0.3889,6,INCONSISTENT,"[<class 'modules.filters.BelowFastSMAFilter'>, <class 'modules.filters.TwoBarDownFilter'>, <class 'modules.filters.ReversalUpBarFilter'>, <class 'modules.filters.LowVolatilityRegimeFilter'>]"
ComboMR_ReversalUpBar_LowVolatilityRegime_CloseNearLow_StretchFromLongTermSMA,4,"ReversalUpBarFilter,LowVolatilityRegimeFilter,CloseNearLowFilter,StretchFromLongTermSMAFilter","ReversalUpBarFilter,LowVolatilityRegimeFilter,CloseNearLowFilter,StretchFromLongTermSMAFilter",1031,56.64,True,-123587.0,0.81,-119.87,609,422,0.68,1.0,50,1.85,MARGINAL_BORDERLINE,0.5183,0.3684,4,INCONSISTENT,"[<class 'modules.filters.ReversalUpBarFilter'>, <class 'modules.filters.LowVolatilityRegimeFilter'>, <class 'modules.filters.CloseNearLowFilter'>, <class 'modules.filters.StretchFromLongTermSMAFilter'>]"
ComboMR_DistanceBelowSMA_DownClose_ReversalUpBar_LowVolatilityRegime,4,"DistanceBelowSMAFilter,DownCloseFilter,ReversalUpBarFilter,LowVolatilityRegimeFilter","DistanceBelowSMAFilter,DownCloseFilter,ReversalUpBarFilter,LowVolatilityRegimeFilter",75,4.12,True,21237.0,1.32,283.16,38,37,0.53,1.73,10,3.05,REGIME_DEPENDENT,0.526,0.5294,4,MIXED,"[<class 'modules.filters.DistanceBelowSMAFilter'>, <class 'modules.filters.DownCloseFilter'>, <class 'modules.filters.ReversalUpBarFilter'>, <class 'modules.filters.LowVolatilityRegimeFilter'>]"
ComboMR_DownClose_TwoBarDown_ReversalUpBar,3,"DownCloseFilter,TwoBarDownFilter,ReversalUpBarFilter","DownCloseFilter,TwoBarDownFilter,ReversalUpBarFilter",184,10.11,True,4636.5,1.04,25.2,122,62,0.55,1.57,14,2.66,REGIME_DEPENDENT,0.5107,0.3158,9,INCONSISTENT,"[<class 'modules.filters.DownCloseFilter'>, <class 'modules.filters.TwoBarDownFilter'>, <class 'modules.filters.ReversalUpBarFilter'>]"
ComboMR_TwoBarDown_ReversalUpBar_LowVolatilityRegime,3,"TwoBarDownFilter,ReversalUpBarFilter,LowVolatilityRegimeFilter","TwoBarDownFilter,ReversalUpBarFilter,LowVolatilityRegimeFilter",153,8.4,True,-3874.0,0.96,-25.32,105,48,0.49,1.54,8,3.49,REGIME_DEPENDENT,0.5174,0.4211,4,MIXED,"[<class 'modules.filters.TwoBarDownFilter'>, <class 'modules.filters.ReversalUpBarFilter'>, <class 'modules.filters.LowVolatilityRegimeFilter'>]"
ComboMR_TwoBarDown_ReversalUpBar_StretchFromLongTermSMA,3,"TwoBarDownFilter,ReversalUpBarFilter,StretchFromLongTermSMAFilter","TwoBarDownFilter,ReversalUpBarFilter,StretchFromLongTermSMAFilter",67,3.68,True,19677.0,1.3,293.69,32,35,0.96,1.43,11,1.61,REGIME_DEPENDENT,0.5392,0.4706,4,MIXED,"[<class 'modules.filters.TwoBarDownFilter'>, <class 'modules.filters.ReversalUpBarFilter'>, <class 'modules.filters.StretchFromLongTermSMAFilter'>]"
ComboMR_BelowFastSMA_ReversalUpBar_CloseNearLow_StretchFromLongTermSMA,4,"BelowFastSMAFilter,ReversalUpBarFilter,CloseNearLowFilter,StretchFromLongTermSMAFilter","BelowFastSMAFilter,ReversalUpBarFilter,CloseNearLowFilter,StretchFromLongTermSMAFilter",881,48.4,True,-68427.5,0.9,-77.67,519,362,0.78,1.03,42,1.11,MARGINAL_BORDERLINE,0.484,0.4211,5,INCONSISTENT,"[<class 'modules.filters.BelowFastSMAFilter'>, <class 'modules.filters.ReversalUpBarFilter'>, <class 'modules.filters.CloseNearLowFilter'>, <class 'modules.filters.StretchFromLongTermSMAFilter'>]"
ComboMR_DownClose_ReversalUpBar_StretchFromLongTermSMA,3,"DownCloseFilter,ReversalUpBarFilter,StretchFromLongTermSMAFilter","DownCloseFilter,ReversalUpBarFilter,StretchFromLongTermSMAFilter",155,8.51,True,-1121.5,0.99,-7.24,98,57,0.89,1.07,16,1.61,MARGINAL,0.5553,0.4444,3,MIXED,"[<class 'modules.filters.DownCloseFilter'>, <class 'modules.filters.ReversalUpBarFilter'>, <class 'modules.filters.StretchFromLongTermSMAFilter'>]"
ComboMR_DistanceBelowSMA_ReversalUpBar_CloseNearLow_StretchFromLongTermSMA,4,"DistanceBelowSMAFilter,ReversalUpBarFilter,CloseNearLowFilter,StretchFromLongTermSMAFilter","DistanceBelowSMAFilter,ReversalUpBarFilter,CloseNearLowFilter,StretchFromLongTermSMAFilter",533,29.28,True,3381.0,1.01,6.34,253,280,0.83,1.12,35,1.16,MARGINAL_BORDERLINE,0.5051,0.3684,4,INCONSISTENT,"[<class 'modules.filters.DistanceBelowSMAFilter'>, <class 'modules.filters.ReversalUpBarFilter'>, <class 'modules.filters.CloseNearLowFilter'>, <class 'modules.filters.StretchFromLongTermSMAFilter'>]"
