strategy_name,filter_count,filters,filter_class_names,total_trades,trades_per_year,passes_trade_filter,net_pnl,profit_factor,average_trade,is_trades,oos_trades,is_pf,oos_pf,recent_12m_trades,recent_12m_pf,quality_flag,quality_score,pct_profitable_years,max_consecutive_losing_years,consistency_flag,filter_classes
ComboTrend_Pullback_RecoveryTrigger_Volatility_Momentum_TwoBarUp_TrendSlope,6,"PullbackFilter,RecoveryTriggerFilter,VolatilityFilter,MomentumFilter,TwoBarUpFilter,TrendSlopeFilter","PullbackFilter,RecoveryTriggerFilter,VolatilityFilter,MomentumFilter,TwoBarUpFilter,TrendSlopeFilter",354,19.45,True,10283.5,1.05,29.05,210,144,0.61,1.35,31,1.95,REGIME_DEPENDENT,0.4866,0.3158,8,INCONSISTENT,"[<class 'modules.filters.PullbackFilter'>, <class 'modules.filters.RecoveryTriggerFilter'>, <class 'modules.filters.VolatilityFilter'>, <class 'modules.filters.MomentumFilter'>, <class 'modules.filters.TwoBarUpFilter'>, <class 'modules.filters.TrendSlopeFilter'>]"
ComboTrend_Pullback_Volatility_Momentum_TwoBarUp_TrendSlope_CloseAboveFastSMA,6,"PullbackFilter,VolatilityFilter,MomentumFilter,TwoBarUpFilter,TrendSlopeFilter,CloseAboveFastSMAFilter","PullbackFilter,VolatilityFilter,MomentumFilter,TwoBarUpFilter,TrendSlopeFilter,CloseAboveFastSMAFilter",354,19.45,True,10283.5,1.05,29.05,210,144,0.61,1.35,31,1.95,REGIME_DEPENDENT,0.4866,0.3158,8,INCONSISTENT,"[<class 'modules.filters.PullbackFilter'>, <class 'modules.filters.VolatilityFilter'>, <class 'modules.filters.MomentumFilter'>, <class 'modules.filters.TwoBarUpFilter'>, <class 'modules.filters.TrendSlopeFilter'>, <class 'modules.filters.CloseAboveFastSMAFilter'>]"
ComboTrend_Pullback_RecoveryTrigger_Momentum_TwoBarUp_TrendSlope,5,"PullbackFilter,RecoveryTriggerFilter,MomentumFilter,TwoBarUpFilter,TrendSlopeFilter","PullbackFilter,RecoveryTriggerFilter,MomentumFilter,TwoBarUpFilter,TrendSlopeFilter",438,24.06,True,9227.0,1.04,21.07,250,188,0.75,1.24,34,1.92,REGIME_DEPENDENT,0.5189,0.3158,10,INCONSISTENT,"[<class 'modules.filters.PullbackFilter'>, <class 'modules.filters.RecoveryTriggerFilter'>, <class 'modules.filters.MomentumFilter'>, <class 'modules.filters.TwoBarUpFilter'>, <class 'modules.filters.TrendSlopeFilter'>]"
ComboTrend_Pullback_Momentum_TwoBarUp_TrendSlope_CloseAboveFastSMA,5,"PullbackFilter,MomentumFilter,TwoBarUpFilter,TrendSlopeFilter,CloseAboveFastSMAFilter","PullbackFilter,MomentumFilter,TwoBarUpFilter,TrendSlopeFilter,CloseAboveFastSMAFilter",438,24.06,True,9227.0,1.04,21.07,250,188,0.75,1.24,34,1.92,REGIME_DEPENDENT,0.5189,0.3158,10,INCONSISTENT,"[<class 'modules.filters.PullbackFilter'>, <class 'modules.filters.MomentumFilter'>, <class 'modules.filters.TwoBarUpFilter'>, <class 'modules.filters.TrendSlopeFilter'>, <class 'modules.filters.CloseAboveFastSMAFilter'>]"
ComboTrend_Pullback_RecoveryTrigger_Momentum_UpClose_TwoBarUp_TrendSlope,6,"PullbackFilter,RecoveryTriggerFilter,MomentumFilter,UpCloseFilter,TwoBarUpFilter,TrendSlopeFilter","PullbackFilter,RecoveryTriggerFilter,MomentumFilter,UpCloseFilter,TwoBarUpFilter,TrendSlopeFilter",438,24.06,True,9227.0,1.04,21.07,250,188,0.75,1.24,34,1.92,REGIME_DEPENDENT,0.5189,0.3158,10,INCONSISTENT,"[<class 'modules.filters.PullbackFilter'>, <class 'modules.filters.RecoveryTriggerFilter'>, <class 'modules.filters.MomentumFilter'>, <class 'modules.filters.UpCloseFilter'>, <class 'modules.filters.TwoBarUpFilter'>, <class 'modules.filters.TrendSlopeFilter'>]"
ComboTrend_Pullback_RecoveryTrigger_Momentum_TwoBarUp_TrendSlope_CloseAboveFastSMA,6,"PullbackFilter,RecoveryTriggerFilter,MomentumFilter,TwoBarUpFilter,TrendSlopeFilter,CloseAboveFastSMAFilter","PullbackFilter,RecoveryTriggerFilter,MomentumFilter,TwoBarUpFilter,TrendSlopeFilter,CloseAboveFastSMAFilter",438,24.06,True,9227.0,1.04,21.07,250,188,0.75,1.24,34,1.92,REGIME_DEPENDENT,0.5189,0.3158,10,INCONSISTENT,"[<class 'modules.filters.PullbackFilter'>, <class 'modules.filters.RecoveryTriggerFilter'>, <class 'modules.filters.MomentumFilter'>, <class 'modules.filters.TwoBarUpFilter'>, <class 'modules.filters.TrendSlopeFilter'>, <class 'modules.filters.CloseAboveFastSMAFilter'>]"
ComboTrend_Pullback_Momentum_UpClose_TwoBarUp_TrendSlope_CloseAboveFastSMA,6,"PullbackFilter,MomentumFilter,UpCloseFilter,TwoBarUpFilter,TrendSlopeFilter,CloseAboveFastSMAFilter","PullbackFilter,MomentumFilter,UpCloseFilter,TwoBarUpFilter,TrendSlopeFilter,CloseAboveFastSMAFilter",438,24.06,True,9227.0,1.04,21.07,250,188,0.75,1.24,34,1.92,REGIME_DEPENDENT,0.5189,0.3158,10,INCONSISTENT,"[<class 'modules.filters.PullbackFilter'>, <class 'modules.filters.MomentumFilter'>, <class 'modules.filters.UpCloseFilter'>, <class 'modules.filters.TwoBarUpFilter'>, <class 'modules.filters.TrendSlopeFilter'>, <class 'modules.filters.CloseAboveFastSMAFilter'>]"
ComboTrend_Pullback_RecoveryTrigger_Volatility_Momentum_TrendSlope,5,"PullbackFilter,RecoveryTriggerFilter,VolatilityFilter,MomentumFilter,TrendSlopeFilter","PullbackFilter,RecoveryTriggerFilter,VolatilityFilter,MomentumFilter,TrendSlopeFilter",706,38.78,True,-15581.5,0.95,-22.07,421,285,0.52,1.28,53,2.12,REGIME_DEPENDENT,0.4748,0.2632,8,INCONSISTENT,"[<class 'modules.filters.PullbackFilter'>, <class 'modules.filters.RecoveryTriggerFilter'>, <class 'modules.filters.VolatilityFilter'>, <class 'modules.filters.MomentumFilter'>, <class 'modules.filters.TrendSlopeFilter'>]"
ComboTrend_Pullback_Volatility_Momentum_TrendSlope_CloseAboveFastSMA,5,"PullbackFilter,VolatilityFilter,MomentumFilter,TrendSlopeFilter,CloseAboveFastSMAFilter","PullbackFilter,VolatilityFilter,MomentumFilter,TrendSlopeFilter,CloseAboveFastSMAFilter",706,38.78,True,-15581.5,0.95,-22.07,421,285,0.52,1.28,53,2.12,REGIME_DEPENDENT,0.4748,0.2632,8,INCONSISTENT,"[<class 'modules.filters.PullbackFilter'>, <class 'modules.filters.VolatilityFilter'>, <class 'modules.filters.MomentumFilter'>, <class 'modules.filters.TrendSlopeFilter'>, <class 'modules.filters.CloseAboveFastSMAFilter'>]"
ComboTrend_Pullback_RecoveryTrigger_Volatility_Momentum_UpClose_TrendSlope,6,"PullbackFilter,RecoveryTriggerFilter,VolatilityFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter","PullbackFilter,RecoveryTriggerFilter,VolatilityFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter",706,38.78,True,-15581.5,0.95,-22.07,421,285,0.52,1.28,53,2.12,REGIME_DEPENDENT,0.4748,0.2632,8,INCONSISTENT,"[<class 'modules.filters.PullbackFilter'>, <class 'modules.filters.RecoveryTriggerFilter'>, <class 'modules.filters.VolatilityFilter'>, <class 'modules.filters.MomentumFilter'>, <class 'modules.filters.UpCloseFilter'>, <class 'modules.filters.TrendSlopeFilter'>]"
ComboTrend_Pullback_RecoveryTrigger_Volatility_Momentum_TrendSlope_CloseAboveFastSMA,6,"PullbackFilter,RecoveryTriggerFilter,VolatilityFilter,MomentumFilter,TrendSlopeFilter,CloseAboveFastSMAFilter","PullbackFilter,RecoveryTriggerFilter,VolatilityFilter,MomentumFilter,TrendSlopeFilter,CloseAboveFastSMAFilter",706,38.78,True,-15581.5,0.95,-22.07,421,285,0.52,1.28,53,2.12,REGIME_DEPENDENT,0.4748,0.2632,8,INCONSISTENT,"[<class 'modules.filters.PullbackFilter'>, <class 'modules.filters.RecoveryTriggerFilter'>, <class 'modules.filters.VolatilityFilter'>, <class 'modules.filters.MomentumFilter'>, <class 'modules.filters.TrendSlopeFilter'>, <class 'modules.filters.CloseAboveFastSMAFilter'>]"
ComboTrend_Pullback_Volatility_Momentum_UpClose_TrendSlope_CloseAboveFastSMA,6,"PullbackFilter,VolatilityFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter,CloseAboveFastSMAFilter","PullbackFilter,VolatilityFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter,CloseAboveFastSMAFilter",706,38.78,True,-15581.5,0.95,-22.07,421,285,0.52,1.28,53,2.12,REGIME_DEPENDENT,0.4748,0.2632,8,INCONSISTENT,"[<class 'modules.filters.PullbackFilter'>, <class 'modules.filters.VolatilityFilter'>, <class 'modules.filters.MomentumFilter'>, <class 'modules.filters.UpCloseFilter'>, <class 'modules.filters.TrendSlopeFilter'>, <class 'modules.filters.CloseAboveFastSMAFilter'>]"
ComboTrend_Pullback_RecoveryTrigger_Momentum_TrendSlope,4,"PullbackFilter,RecoveryTriggerFilter,MomentumFilter,TrendSlopeFilter","PullbackFilter,RecoveryTriggerFilter,MomentumFilter,TrendSlopeFilter",876,48.12,True,-31061.0,0.92,-35.46,510,366,0.58,1.24,62,1.76,REGIME_DEPENDENT,0.4613,0.3684,10,INCONSISTENT,"[<class 'modules.filters.PullbackFilter'>, <class 'modules.filters.RecoveryTriggerFilter'>, <class 'modules.filters.MomentumFilter'>, <class 'modules.filters.TrendSlopeFilter'>]"
ComboTrend_Pullback_Momentum_TrendSlope_CloseAboveFastSMA,4,"PullbackFilter,MomentumFilter,TrendSlopeFilter,CloseAboveFastSMAFilter","PullbackFilter,MomentumFilter,TrendSlopeFilter,CloseAboveFastSMAFilter",876,48.12,True,-31061.0,0.92,-35.46,510,366,0.58,1.24,62,1.76,REGIME_DEPENDENT,0.4613,0.3684,10,INCONSISTENT,"[<class 'modules.filters.PullbackFilter'>, <class 'modules.filters.MomentumFilter'>, <class 'modules.filters.TrendSlopeFilter'>, <class 'modules.filters.CloseAboveFastSMAFilter'>]"
