strategy_name,filters,year,trades,net_pnl,profit_factor,rolling_3y_pnl
RefinedTrend_HB24_ATR1.25_VOL0.8_MOM20,"PullbackFilter,RecoveryTriggerFilter,VolatilityFilter,MomentumFilter,TwoBarUpFilter,TrendSlopeFilter",2008,26,-38542.97,0.25,
RefinedTrend_HB24_ATR1.25_VOL0.8_MOM20,"PullbackFilter,RecoveryTriggerFilter,VolatilityFilter,MomentumFilter,TwoBarUpFilter,TrendSlopeFilter",2009,23,-14354.12,0.58,
RefinedTrend_HB24_ATR1.25_VOL0.8_MOM20,"PullbackFilter,RecoveryTriggerFilter,VolatilityFilter,MomentumFilter,TwoBarUpFilter,TrendSlopeFilter",2010,26,-35713.03,0.17,-88610.12
RefinedTrend_HB24_ATR1.25_VOL0.8_MOM20,"PullbackFilter,RecoveryTriggerFilter,VolatilityFilter,MomentumFilter,TwoBarUpFilter,TrendSlopeFilter",2011,25,-12505.88,0.58,-62573.03
RefinedTrend_HB24_ATR1.25_VOL0.8_MOM20,"PullbackFilter,RecoveryTriggerFilter,VolatilityFilter,MomentumFilter,TwoBarUpFilter,TrendSlopeFilter",2012,26,-8116.97,0.7,-56335.88
RefinedTrend_HB24_ATR1.25_VOL0.8_MOM20,"PullbackFilter,RecoveryTriggerFilter,VolatilityFilter,MomentumFilter,TwoBarUpFilter,TrendSlopeFilter",2013,29,1750.69,1.07,-18872.16
RefinedTrend_HB24_ATR1.25_VOL0.8_MOM20,"PullbackFilter,RecoveryTriggerFilter,VolatilityFilter,MomentumFilter,TwoBarUpFilter,TrendSlopeFilter",2014,27,-21557.22,0.26,-27923.5
RefinedTrend_HB24_ATR1.25_VOL0.8_MOM20,"PullbackFilter,RecoveryTriggerFilter,VolatilityFilter,MomentumFilter,TwoBarUpFilter,TrendSlopeFilter",2015,26,-314.5,0.98,-20121.03
RefinedTrend_HB24_ATR1.25_VOL0.8_MOM20,"PullbackFilter,RecoveryTriggerFilter,VolatilityFilter,MomentumFilter,TwoBarUpFilter,TrendSlopeFilter",2016,24,-8499.22,0.61,-30370.940000000002
RefinedTrend_HB24_ATR1.25_VOL0.8_MOM20,"PullbackFilter,RecoveryTriggerFilter,VolatilityFilter,MomentumFilter,TwoBarUpFilter,TrendSlopeFilter",2017,24,-13396.44,0.37,-22210.16
RefinedTrend_HB24_ATR1.25_VOL0.8_MOM20,"PullbackFilter,RecoveryTriggerFilter,VolatilityFilter,MomentumFilter,TwoBarUpFilter,TrendSlopeFilter",2018,14,5652.44,1.81,-16243.220000000001
RefinedTrend_HB24_ATR1.25_VOL0.8_MOM20,"PullbackFilter,RecoveryTriggerFilter,VolatilityFilter,MomentumFilter,TwoBarUpFilter,TrendSlopeFilter",2019,28,-2158.91,0.89,-9902.91
RefinedTrend_HB24_ATR1.25_VOL0.8_MOM20,"PullbackFilter,RecoveryTriggerFilter,VolatilityFilter,MomentumFilter,TwoBarUpFilter,TrendSlopeFilter",2020,22,-4875.53,0.65,-1382.0
RefinedTrend_HB24_ATR1.25_VOL0.8_MOM20,"PullbackFilter,RecoveryTriggerFilter,VolatilityFilter,MomentumFilter,TwoBarUpFilter,TrendSlopeFilter",2021,28,14571.47,2.1,7537.03
RefinedTrend_HB24_ATR1.25_VOL0.8_MOM20,"PullbackFilter,RecoveryTriggerFilter,VolatilityFilter,MomentumFilter,TwoBarUpFilter,TrendSlopeFilter",2022,24,-4013.16,0.76,5682.779999999999
RefinedTrend_HB24_ATR1.25_VOL0.8_MOM20,"PullbackFilter,RecoveryTriggerFilter,VolatilityFilter,MomentumFilter,TwoBarUpFilter,TrendSlopeFilter",2023,13,-1965.91,0.74,8592.4
RefinedTrend_HB24_ATR1.25_VOL0.8_MOM20,"PullbackFilter,RecoveryTriggerFilter,VolatilityFilter,MomentumFilter,TwoBarUpFilter,TrendSlopeFilter",2024,15,-507.22,0.94,-6486.29
RefinedTrend_HB24_ATR1.25_VOL0.8_MOM20,"PullbackFilter,RecoveryTriggerFilter,VolatilityFilter,MomentumFilter,TwoBarUpFilter,TrendSlopeFilter",2025,28,-3172.69,0.81,-5645.82
RefinedTrend_HB24_ATR1.25_VOL0.8_MOM20,"PullbackFilter,RecoveryTriggerFilter,VolatilityFilter,MomentumFilter,TwoBarUpFilter,TrendSlopeFilter",2026,3,-1984.75,0.24,-5664.66
