strategy_name,filter_count,filters,filter_class_names,total_trades,trades_per_year,passes_trade_filter,net_pnl,profit_factor,average_trade,is_trades,oos_trades,is_pf,oos_pf,recent_12m_trades,recent_12m_pf,quality_flag,quality_score,pct_profitable_years,max_consecutive_losing_years,consistency_flag,filter_classes
ComboBreakout_Compression_PriorRangePosition_TightRange,3,"CompressionFilter,PriorRangePositionFilter,TightRangeFilter","CompressionFilter,PriorRangePositionFilter,TightRangeFilter",331,18.18,True,131553.0,1.24,397.44,173,158,0.98,1.39,24,2.05,REGIME_DEPENDENT,0.6564,0.6667,2,CONSISTENT,"[<class 'modules.filters.CompressionFilter'>, <class 'modules.filters.PriorRangePositionFilter'>, <class 'modules.filters.TightRangeFilter'>]"
ComboBreakout_ExpansionBar_BreakoutTrend_RisingBase,3,"ExpansionBarFilter,BreakoutTrendFilter,RisingBaseFilter","ExpansionBarFilter,BreakoutTrendFilter,RisingBaseFilter",292,16.04,True,80107.5,1.15,274.34,161,131,1.33,1.03,22,1.29,STABLE_BORDERLINE,0.604,0.5789,2,MIXED,"[<class 'modules.filters.ExpansionBarFilter'>, <class 'modules.filters.BreakoutTrendFilter'>, <class 'modules.filters.RisingBaseFilter'>]"
ComboBreakout_ExpansionBar_BreakoutTrend_PriorRangePosition,3,"ExpansionBarFilter,BreakoutTrendFilter,PriorRangePositionFilter","ExpansionBarFilter,BreakoutTrendFilter,PriorRangePositionFilter",365,20.05,True,70146.0,1.1,192.18,198,167,1.34,0.93,29,0.49,BROKEN_IN_OOS,0.52,0.5789,2,MIXED,"[<class 'modules.filters.ExpansionBarFilter'>, <class 'modules.filters.BreakoutTrendFilter'>, <class 'modules.filters.PriorRangePositionFilter'>]"
ComboBreakout_Compression_ExpansionBar_BreakoutCloseStrength,3,"CompressionFilter,ExpansionBarFilter,BreakoutCloseStrengthFilter","CompressionFilter,ExpansionBarFilter,BreakoutCloseStrengthFilter",113,6.21,True,34147.5,1.19,302.19,62,51,1.13,1.22,9,2.27,STABLE_BORDERLINE,0.6759,0.5263,2,MIXED,"[<class 'modules.filters.CompressionFilter'>, <class 'modules.filters.ExpansionBarFilter'>, <class 'modules.filters.BreakoutCloseStrengthFilter'>]"
ComboBreakout_Compression_BreakoutTrend_PriorRangePosition_TightRange,4,"CompressionFilter,BreakoutTrendFilter,PriorRangePositionFilter,TightRangeFilter","CompressionFilter,BreakoutTrendFilter,PriorRangePositionFilter,TightRangeFilter",230,12.63,True,28220.0,1.09,122.7,117,113,0.91,1.21,16,2.3,REGIME_DEPENDENT,0.6202,0.4444,3,MIXED,"[<class 'modules.filters.CompressionFilter'>, <class 'modules.filters.BreakoutTrendFilter'>, <class 'modules.filters.PriorRangePositionFilter'>, <class 'modules.filters.TightRangeFilter'>]"
ComboBreakout_Compression_RangeBreakout_ExpansionBar_BreakoutCloseStrength,4,"CompressionFilter,RangeBreakoutFilter,ExpansionBarFilter,BreakoutCloseStrengthFilter","CompressionFilter,RangeBreakoutFilter,ExpansionBarFilter,BreakoutCloseStrengthFilter",62,3.41,True,27999.5,1.3,451.6,31,31,1.45,1.22,5,0.0,ROBUST_BORDERLINE,0.5457,0.5556,2,MIXED,"[<class 'modules.filters.CompressionFilter'>, <class 'modules.filters.RangeBreakoutFilter'>, <class 'modules.filters.ExpansionBarFilter'>, <class 'modules.filters.BreakoutCloseStrengthFilter'>]"
ComboBreakout_Compression_ExpansionBar_BreakoutRetest_BreakoutCloseStrength,4,"CompressionFilter,ExpansionBarFilter,BreakoutRetestFilter,BreakoutCloseStrengthFilter","CompressionFilter,ExpansionBarFilter,BreakoutRetestFilter,BreakoutCloseStrengthFilter",62,3.41,True,27999.5,1.3,451.6,31,31,1.45,1.22,5,0.0,ROBUST_BORDERLINE,0.5457,0.5556,2,MIXED,"[<class 'modules.filters.CompressionFilter'>, <class 'modules.filters.ExpansionBarFilter'>, <class 'modules.filters.BreakoutRetestFilter'>, <class 'modules.filters.BreakoutCloseStrengthFilter'>]"
ComboBreakout_Compression_RangeBreakout_ExpansionBar_BreakoutRetest_BreakoutCloseStrength,5,"CompressionFilter,RangeBreakoutFilter,ExpansionBarFilter,BreakoutRetestFilter,BreakoutCloseStrengthFilter","CompressionFilter,RangeBreakoutFilter,ExpansionBarFilter,BreakoutRetestFilter,BreakoutCloseStrengthFilter",62,3.41,True,27999.5,1.3,451.6,31,31,1.45,1.22,5,0.0,ROBUST_BORDERLINE,0.5457,0.5556,2,MIXED,"[<class 'modules.filters.CompressionFilter'>, <class 'modules.filters.RangeBreakoutFilter'>, <class 'modules.filters.ExpansionBarFilter'>, <class 'modules.filters.BreakoutRetestFilter'>, <class 'modules.filters.BreakoutCloseStrengthFilter'>]"
ComboBreakout_ExpansionBar_BreakoutTrend_PriorRangePosition_RisingBase,4,"ExpansionBarFilter,BreakoutTrendFilter,PriorRangePositionFilter,RisingBaseFilter","ExpansionBarFilter,BreakoutTrendFilter,PriorRangePositionFilter,RisingBaseFilter",239,13.13,True,26482.5,1.07,110.81,132,107,1.28,0.91,18,0.75,BROKEN_IN_OOS,0.5273,0.5789,2,MIXED,"[<class 'modules.filters.ExpansionBarFilter'>, <class 'modules.filters.BreakoutTrendFilter'>, <class 'modules.filters.PriorRangePositionFilter'>, <class 'modules.filters.RisingBaseFilter'>]"
ComboBreakout_Compression_ExpansionBar_BreakoutTrend_RisingBase,4,"CompressionFilter,ExpansionBarFilter,BreakoutTrendFilter,RisingBaseFilter","CompressionFilter,ExpansionBarFilter,BreakoutTrendFilter,RisingBaseFilter",91,5.0,True,23294.0,1.16,255.98,44,47,2.16,0.72,9,0.0,BROKEN_IN_OOS,0.484,0.6111,2,CONSISTENT,"[<class 'modules.filters.CompressionFilter'>, <class 'modules.filters.ExpansionBarFilter'>, <class 'modules.filters.BreakoutTrendFilter'>, <class 'modules.filters.RisingBaseFilter'>]"
ComboBreakout_Compression_ExpansionBar_BreakoutCloseStrength_BreakoutDistance,4,"CompressionFilter,ExpansionBarFilter,BreakoutCloseStrengthFilter,BreakoutDistanceFilter","CompressionFilter,ExpansionBarFilter,BreakoutCloseStrengthFilter,BreakoutDistanceFilter",62,3.41,True,23199.5,1.24,374.19,31,31,1.28,1.22,5,0.0,ROBUST_BORDERLINE,0.5503,0.5556,2,MIXED,"[<class 'modules.filters.CompressionFilter'>, <class 'modules.filters.ExpansionBarFilter'>, <class 'modules.filters.BreakoutCloseStrengthFilter'>, <class 'modules.filters.BreakoutDistanceFilter'>]"
ComboBreakout_Compression_RangeBreakout_ExpansionBar_BreakoutCloseStrength_BreakoutDistance,5,"CompressionFilter,RangeBreakoutFilter,ExpansionBarFilter,BreakoutCloseStrengthFilter,BreakoutDistanceFilter","CompressionFilter,RangeBreakoutFilter,ExpansionBarFilter,BreakoutCloseStrengthFilter,BreakoutDistanceFilter",62,3.41,True,23199.5,1.24,374.19,31,31,1.28,1.22,5,0.0,ROBUST_BORDERLINE,0.5503,0.5556,2,MIXED,"[<class 'modules.filters.CompressionFilter'>, <class 'modules.filters.RangeBreakoutFilter'>, <class 'modules.filters.ExpansionBarFilter'>, <class 'modules.filters.BreakoutCloseStrengthFilter'>, <class 'modules.filters.BreakoutDistanceFilter'>]"
