strategy_name,filter_count,filters,filter_class_names,total_trades,trades_per_year,passes_trade_filter,net_pnl,profit_factor,average_trade,is_trades,oos_trades,is_pf,oos_pf,recent_12m_trades,recent_12m_pf,quality_flag,quality_score,pct_profitable_years,max_consecutive_losing_years,consistency_flag,filter_classes
ComboMR_DownClose_LowVolatilityRegime_StretchFromLongTermSMA,3,"DownCloseFilter,LowVolatilityRegimeFilter,StretchFromLongTermSMAFilter","DownCloseFilter,LowVolatilityRegimeFilter,StretchFromLongTermSMAFilter",282,15.49,True,507606.5,1.58,1800.02,164,118,1.23,1.84,13,1.23,ROBUST_BORDERLINE,0.6767,0.6842,1,CONSISTENT,"[<class 'modules.filters.DownCloseFilter'>, <class 'modules.filters.LowVolatilityRegimeFilter'>, <class 'modules.filters.StretchFromLongTermSMAFilter'>]"
ComboMR_DownClose_ReversalUpBar_LowVolatilityRegime_StretchFromLongTermSMA,4,"DownCloseFilter,ReversalUpBarFilter,LowVolatilityRegimeFilter,StretchFromLongTermSMAFilter","DownCloseFilter,ReversalUpBarFilter,LowVolatilityRegimeFilter,StretchFromLongTermSMAFilter",17,0.93,False,408168.5,10.02,24009.91,8,9,2.06,14.27,4,8.87,ROBUST,0.5693,0.4167,3,MIXED,"[<class 'modules.filters.DownCloseFilter'>, <class 'modules.filters.ReversalUpBarFilter'>, <class 'modules.filters.LowVolatilityRegimeFilter'>, <class 'modules.filters.StretchFromLongTermSMAFilter'>]"
ComboMR_DownClose_ReversalUpBar_StretchFromLongTermSMA,3,"DownCloseFilter,ReversalUpBarFilter,StretchFromLongTermSMAFilter","DownCloseFilter,ReversalUpBarFilter,StretchFromLongTermSMAFilter",28,1.54,False,394861.0,5.32,14102.18,11,17,3.32,5.84,3,0.0,ROBUST,0.5883,0.4375,3,MIXED,"[<class 'modules.filters.DownCloseFilter'>, <class 'modules.filters.ReversalUpBarFilter'>, <class 'modules.filters.StretchFromLongTermSMAFilter'>]"
ComboMR_BelowFastSMA_LowVolatilityRegime_AboveLongTermSMA,3,"BelowFastSMAFilter,LowVolatilityRegimeFilter,AboveLongTermSMAFilter","BelowFastSMAFilter,LowVolatilityRegimeFilter,AboveLongTermSMAFilter",382,20.98,True,337773.0,1.31,884.22,214,168,0.96,1.6,24,1.31,REGIME_DEPENDENT,0.5748,0.5263,3,MIXED,"[<class 'modules.filters.BelowFastSMAFilter'>, <class 'modules.filters.LowVolatilityRegimeFilter'>, <class 'modules.filters.AboveLongTermSMAFilter'>]"
ComboMR_DownClose_ReversalUpBar_LowVolatilityRegime,3,"DownCloseFilter,ReversalUpBarFilter,LowVolatilityRegimeFilter","DownCloseFilter,ReversalUpBarFilter,LowVolatilityRegimeFilter",62,3.41,True,314226.5,2.57,5068.17,31,31,1.27,3.12,10,2.77,ROBUST,0.6946,0.2778,6,INCONSISTENT,"[<class 'modules.filters.DownCloseFilter'>, <class 'modules.filters.ReversalUpBarFilter'>, <class 'modules.filters.LowVolatilityRegimeFilter'>]"
ComboMR_BelowFastSMA_ReversalUpBar_StretchFromLongTermSMA,3,"BelowFastSMAFilter,ReversalUpBarFilter,StretchFromLongTermSMAFilter","BelowFastSMAFilter,ReversalUpBarFilter,StretchFromLongTermSMAFilter",206,11.31,True,295520.0,1.5,1434.56,127,79,1.01,1.82,13,1.87,STABLE_BORDERLINE,0.6308,0.5789,3,MIXED,"[<class 'modules.filters.BelowFastSMAFilter'>, <class 'modules.filters.ReversalUpBarFilter'>, <class 'modules.filters.StretchFromLongTermSMAFilter'>]"
ComboMR_DistanceBelowSMA_DownClose_ReversalUpBar,3,"DistanceBelowSMAFilter,DownCloseFilter,ReversalUpBarFilter","DistanceBelowSMAFilter,DownCloseFilter,ReversalUpBarFilter",27,1.48,False,260569.0,3.75,9650.7,8,19,3.43,3.81,5,0.0,ROBUST,0.6217,0.2857,6,INCONSISTENT,"[<class 'modules.filters.DistanceBelowSMAFilter'>, <class 'modules.filters.DownCloseFilter'>, <class 'modules.filters.ReversalUpBarFilter'>]"
ComboMR_BelowFastSMA_DistanceBelowSMA_DownClose_ReversalUpBar,4,"BelowFastSMAFilter,DistanceBelowSMAFilter,DownCloseFilter,ReversalUpBarFilter","BelowFastSMAFilter,DistanceBelowSMAFilter,DownCloseFilter,ReversalUpBarFilter",27,1.48,False,260569.0,3.75,9650.7,8,19,3.43,3.81,5,0.0,ROBUST,0.6217,0.2857,6,INCONSISTENT,"[<class 'modules.filters.BelowFastSMAFilter'>, <class 'modules.filters.DistanceBelowSMAFilter'>, <class 'modules.filters.DownCloseFilter'>, <class 'modules.filters.ReversalUpBarFilter'>]"
ComboMR_TwoBarDown_ReversalUpBar_LowVolatilityRegime_StretchFromLongTermSMA,4,"TwoBarDownFilter,ReversalUpBarFilter,LowVolatilityRegimeFilter,StretchFromLongTermSMAFilter","TwoBarDownFilter,ReversalUpBarFilter,LowVolatilityRegimeFilter,StretchFromLongTermSMAFilter",9,0.49,False,258971.0,14.94,28774.56,4,5,3.11,24.03,1,0.0,ROBUST,0.4114,0.4286,2,MIXED,"[<class 'modules.filters.TwoBarDownFilter'>, <class 'modules.filters.ReversalUpBarFilter'>, <class 'modules.filters.LowVolatilityRegimeFilter'>, <class 'modules.filters.StretchFromLongTermSMAFilter'>]"
ComboMR_DownClose_TwoBarDown_ReversalUpBar_LowVolatilityRegime_StretchFromLongTermSMA,5,"DownCloseFilter,TwoBarDownFilter,ReversalUpBarFilter,LowVolatilityRegimeFilter,StretchFromLongTermSMAFilter","DownCloseFilter,TwoBarDownFilter,ReversalUpBarFilter,LowVolatilityRegimeFilter,StretchFromLongTermSMAFilter",9,0.49,False,258971.0,14.94,28774.56,4,5,3.11,24.03,1,0.0,ROBUST,0.4114,0.4286,2,MIXED,"[<class 'modules.filters.DownCloseFilter'>, <class 'modules.filters.TwoBarDownFilter'>, <class 'modules.filters.ReversalUpBarFilter'>, <class 'modules.filters.LowVolatilityRegimeFilter'>, <class 'modules.filters.StretchFromLongTermSMAFilter'>]"
