strategy_name,filter_count,filters,filter_class_names,total_trades,trades_per_year,passes_trade_filter,net_pnl,profit_factor,average_trade,is_trades,oos_trades,is_pf,oos_pf,recent_12m_trades,recent_12m_pf,quality_flag,quality_score,pct_profitable_years,max_consecutive_losing_years,consistency_flag,filter_classes
ComboTrend_Pullback_Volatility_UpClose_HigherLow,4,"PullbackFilter,VolatilityFilter,UpCloseFilter,HigherLowFilter","PullbackFilter,VolatilityFilter,UpCloseFilter,HigherLowFilter",374,20.54,True,116894.0,1.12,312.55,227,147,1.25,1.03,22,0.18,STABLE_BORDERLINE,0.5517,0.6316,2,CONSISTENT,"[<class 'modules.filters.PullbackFilter'>, <class 'modules.filters.VolatilityFilter'>, <class 'modules.filters.UpCloseFilter'>, <class 'modules.filters.HigherLowFilter'>]"
ComboTrend_Pullback_Volatility_Momentum_UpClose,4,"PullbackFilter,VolatilityFilter,MomentumFilter,UpCloseFilter","PullbackFilter,VolatilityFilter,MomentumFilter,UpCloseFilter",382,20.98,True,110626.5,1.14,289.6,233,149,1.11,1.17,20,0.91,STABLE_BORDERLINE,0.5843,0.5263,3,MIXED,"[<class 'modules.filters.PullbackFilter'>, <class 'modules.filters.VolatilityFilter'>, <class 'modules.filters.MomentumFilter'>, <class 'modules.filters.UpCloseFilter'>]"
ComboTrend_TrendDirection_Pullback_Volatility_Momentum,4,"TrendDirectionFilter,PullbackFilter,VolatilityFilter,MomentumFilter","TrendDirectionFilter,PullbackFilter,VolatilityFilter,MomentumFilter",223,12.25,True,110130.5,1.28,493.86,130,93,0.85,1.67,16,1.89,REGIME_DEPENDENT,0.6045,0.5789,2,MIXED,"[<class 'modules.filters.TrendDirectionFilter'>, <class 'modules.filters.PullbackFilter'>, <class 'modules.filters.VolatilityFilter'>, <class 'modules.filters.MomentumFilter'>]"
ComboTrend_Pullback_RecoveryTrigger_UpClose_TrendSlope,4,"PullbackFilter,RecoveryTriggerFilter,UpCloseFilter,TrendSlopeFilter","PullbackFilter,RecoveryTriggerFilter,UpCloseFilter,TrendSlopeFilter",185,10.16,True,109067.0,1.34,589.55,106,79,0.98,1.63,13,1.02,REGIME_DEPENDENT,0.5457,0.5263,3,MIXED,"[<class 'modules.filters.PullbackFilter'>, <class 'modules.filters.RecoveryTriggerFilter'>, <class 'modules.filters.UpCloseFilter'>, <class 'modules.filters.TrendSlopeFilter'>]"
ComboTrend_Pullback_RecoveryTrigger_TrendSlope_CloseAboveFastSMA,4,"PullbackFilter,RecoveryTriggerFilter,TrendSlopeFilter,CloseAboveFastSMAFilter","PullbackFilter,RecoveryTriggerFilter,TrendSlopeFilter,CloseAboveFastSMAFilter",185,10.16,True,109067.0,1.34,589.55,106,79,0.98,1.63,13,1.02,REGIME_DEPENDENT,0.5457,0.5263,3,MIXED,"[<class 'modules.filters.PullbackFilter'>, <class 'modules.filters.RecoveryTriggerFilter'>, <class 'modules.filters.TrendSlopeFilter'>, <class 'modules.filters.CloseAboveFastSMAFilter'>]"
ComboTrend_Pullback_UpClose_TrendSlope_CloseAboveFastSMA,4,"PullbackFilter,UpCloseFilter,TrendSlopeFilter,CloseAboveFastSMAFilter","PullbackFilter,UpCloseFilter,TrendSlopeFilter,CloseAboveFastSMAFilter",185,10.16,True,109067.0,1.34,589.55,106,79,0.98,1.63,13,1.02,REGIME_DEPENDENT,0.5457,0.5263,3,MIXED,"[<class 'modules.filters.PullbackFilter'>, <class 'modules.filters.UpCloseFilter'>, <class 'modules.filters.TrendSlopeFilter'>, <class 'modules.filters.CloseAboveFastSMAFilter'>]"
ComboTrend_Pullback_RecoveryTrigger_UpClose_TrendSlope_CloseAboveFastSMA,5,"PullbackFilter,RecoveryTriggerFilter,UpCloseFilter,TrendSlopeFilter,CloseAboveFastSMAFilter","PullbackFilter,RecoveryTriggerFilter,UpCloseFilter,TrendSlopeFilter,CloseAboveFastSMAFilter",185,10.16,True,109067.0,1.34,589.55,106,79,0.98,1.63,13,1.02,REGIME_DEPENDENT,0.5457,0.5263,3,MIXED,"[<class 'modules.filters.PullbackFilter'>, <class 'modules.filters.RecoveryTriggerFilter'>, <class 'modules.filters.UpCloseFilter'>, <class 'modules.filters.TrendSlopeFilter'>, <class 'modules.filters.CloseAboveFastSMAFilter'>]"
ComboTrend_Pullback_Momentum_UpClose_TrendSlope,4,"PullbackFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter","PullbackFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter",165,9.06,True,107770.0,1.41,653.15,96,69,0.85,1.98,9,4.12,REGIME_DEPENDENT,0.6365,0.4737,3,MIXED,"[<class 'modules.filters.PullbackFilter'>, <class 'modules.filters.MomentumFilter'>, <class 'modules.filters.UpCloseFilter'>, <class 'modules.filters.TrendSlopeFilter'>]"
ComboTrend_TrendDirection_Pullback_RecoveryTrigger_TwoBarUp,4,"TrendDirectionFilter,PullbackFilter,RecoveryTriggerFilter,TwoBarUpFilter","TrendDirectionFilter,PullbackFilter,RecoveryTriggerFilter,TwoBarUpFilter",86,4.72,True,105172.5,1.7,1222.94,49,37,1.04,2.37,7,0.71,STABLE_BORDERLINE,0.5377,0.4737,4,MIXED,"[<class 'modules.filters.TrendDirectionFilter'>, <class 'modules.filters.PullbackFilter'>, <class 'modules.filters.RecoveryTriggerFilter'>, <class 'modules.filters.TwoBarUpFilter'>]"
ComboTrend_TrendDirection_Pullback_TwoBarUp_CloseAboveFastSMA,4,"TrendDirectionFilter,PullbackFilter,TwoBarUpFilter,CloseAboveFastSMAFilter","TrendDirectionFilter,PullbackFilter,TwoBarUpFilter,CloseAboveFastSMAFilter",86,4.72,True,105172.5,1.7,1222.94,49,37,1.04,2.37,7,0.71,STABLE_BORDERLINE,0.5377,0.4737,4,MIXED,"[<class 'modules.filters.TrendDirectionFilter'>, <class 'modules.filters.PullbackFilter'>, <class 'modules.filters.TwoBarUpFilter'>, <class 'modules.filters.CloseAboveFastSMAFilter'>]"
