strategy_name,hold_bars,stop_distance_points,min_avg_range,momentum_lookback,total_trades,trades_per_year,passes_trade_filter,reject_reason,net_pnl,gross_profit,gross_loss,average_trade,profit_factor,max_drawdown,win_rate,average_mae_points,average_mfe_points,is_trades,oos_trades,is_pf,oos_pf,recent_12m_trades,recent_12m_pf,quality_flag,quality_score,pct_profitable_years,max_consecutive_losing_years,consistency_flag,strategy_type,combo_filters,combo_filter_class_names
RefinedMR_HB12_ATR1.25_DIST1.2_MOM0,12,1.25,1.2,0,206,11.316212964355541,True,ACCEPT,35931.5,201441.5,-165510.0,174.42,1.22,-31010.5,49.03,-8.88,11.11,25,181,0.74,1.25,32,3.11,LOW_IS_SAMPLE,0.5805,0.5294,4,MIXED,mean_reversion,"DistanceBelowSMAFilter,ReversalUpBarFilter,LowVolatilityRegimeFilter,AboveLongTermSMAFilter,CloseNearLowFilter","DistanceBelowSMAFilter,ReversalUpBarFilter,LowVolatilityRegimeFilter,AboveLongTermSMAFilter,CloseNearLowFilter"
RefinedMR_HB12_ATR1.0_DIST1.4_MOM0,12,1.0,1.4,0,175,9.61328771243796,True,ACCEPT,32265.0,220251.0,-187986.0,184.37,1.17,-27007.5,41.71,-8.88,11.79,15,160,0.35,1.23,31,2.37,LOW_IS_SAMPLE,0.4522,0.5333,5,INCONSISTENT,mean_reversion,"DistanceBelowSMAFilter,ReversalUpBarFilter,LowVolatilityRegimeFilter,AboveLongTermSMAFilter,CloseNearLowFilter","DistanceBelowSMAFilter,ReversalUpBarFilter,LowVolatilityRegimeFilter,AboveLongTermSMAFilter,CloseNearLowFilter"
RefinedMR_HB12_ATR1.5_DIST1.2_MOM0,12,1.5,1.2,0,206,11.316212964355541,True,ACCEPT,28990.5,175864.5,-146874.0,140.73,1.2,-26590.5,50.49,-9.15,11.37,25,181,0.73,1.23,32,2.86,LOW_IS_SAMPLE,0.5818,0.5882,4,MIXED,mean_reversion,"DistanceBelowSMAFilter,ReversalUpBarFilter,LowVolatilityRegimeFilter,AboveLongTermSMAFilter,CloseNearLowFilter","DistanceBelowSMAFilter,ReversalUpBarFilter,LowVolatilityRegimeFilter,AboveLongTermSMAFilter,CloseNearLowFilter"
RefinedMR_HB12_ATR1.0_DIST1.2_MOM0,12,1.0,1.2,0,209,11.481012182283049,True,ACCEPT,27120.0,224268.5,-197148.5,129.76,1.14,-43357.0,44.5,-8.3,10.51,25,184,0.7,1.17,32,2.97,LOW_IS_SAMPLE,0.5668,0.4706,4,MIXED,mean_reversion,"DistanceBelowSMAFilter,ReversalUpBarFilter,LowVolatilityRegimeFilter,AboveLongTermSMAFilter,CloseNearLowFilter","DistanceBelowSMAFilter,ReversalUpBarFilter,LowVolatilityRegimeFilter,AboveLongTermSMAFilter,CloseNearLowFilter"
RefinedMR_HB12_ATR1.5_DIST1.4_MOM0,12,1.5,1.4,0,172,9.448488494510453,True,ACCEPT,27073.5,168916.5,-141843.0,157.4,1.19,-19129.5,48.26,-10.04,12.76,15,157,0.46,1.24,31,2.17,LOW_IS_SAMPLE,0.4701,0.4,4,MIXED,mean_reversion,"DistanceBelowSMAFilter,ReversalUpBarFilter,LowVolatilityRegimeFilter,AboveLongTermSMAFilter,CloseNearLowFilter","DistanceBelowSMAFilter,ReversalUpBarFilter,LowVolatilityRegimeFilter,AboveLongTermSMAFilter,CloseNearLowFilter"
RefinedMR_HB12_ATR1.25_DIST1.4_MOM0,12,1.25,1.4,0,172,9.448488494510453,True,ACCEPT,25206.0,175646.5,-150440.5,146.55,1.17,-21173.0,45.93,-9.65,12.38,15,157,0.3,1.23,31,2.32,LOW_IS_SAMPLE,0.4379,0.4667,5,INCONSISTENT,mean_reversion,"DistanceBelowSMAFilter,ReversalUpBarFilter,LowVolatilityRegimeFilter,AboveLongTermSMAFilter,CloseNearLowFilter","DistanceBelowSMAFilter,ReversalUpBarFilter,LowVolatilityRegimeFilter,AboveLongTermSMAFilter,CloseNearLowFilter"
RefinedMR_HB8_ATR1.5_DIST1.2_MOM0,8,1.5,1.2,0,211,11.590878327568054,True,ACCEPT,19818.0,135270.0,-115452.0,93.92,1.17,-22728.0,54.5,-7.95,9.27,25,186,0.63,1.22,33,2.42,LOW_IS_SAMPLE,0.5461,0.5294,4,MIXED,mean_reversion,"DistanceBelowSMAFilter,ReversalUpBarFilter,LowVolatilityRegimeFilter,AboveLongTermSMAFilter,CloseNearLowFilter","DistanceBelowSMAFilter,ReversalUpBarFilter,LowVolatilityRegimeFilter,AboveLongTermSMAFilter,CloseNearLowFilter"
RefinedMR_HB8_ATR1.5_DIST1.4_MOM0,8,1.5,1.4,0,176,9.668220785080463,True,ACCEPT,17650.5,128307.0,-110656.5,100.29,1.16,-18031.5,50.57,-8.83,10.33,15,161,0.48,1.2,32,1.76,LOW_IS_SAMPLE,0.4466,0.4667,4,MIXED,mean_reversion,"DistanceBelowSMAFilter,ReversalUpBarFilter,LowVolatilityRegimeFilter,AboveLongTermSMAFilter,CloseNearLowFilter","DistanceBelowSMAFilter,ReversalUpBarFilter,LowVolatilityRegimeFilter,AboveLongTermSMAFilter,CloseNearLowFilter"
RefinedMR_HB8_ATR1.25_DIST1.2_MOM0,8,1.25,1.2,0,211,11.590878327568054,True,ACCEPT,15135.5,143742.5,-128607.0,71.73,1.12,-30560.5,52.61,-7.82,9.1,25,186,0.64,1.15,33,2.32,LOW_IS_SAMPLE,0.5396,0.5294,4,MIXED,mean_reversion,"DistanceBelowSMAFilter,ReversalUpBarFilter,LowVolatilityRegimeFilter,AboveLongTermSMAFilter,CloseNearLowFilter","DistanceBelowSMAFilter,ReversalUpBarFilter,LowVolatilityRegimeFilter,AboveLongTermSMAFilter,CloseNearLowFilter"
RefinedMR_HB8_ATR1.25_DIST1.4_MOM0,8,1.25,1.4,0,176,9.668220785080463,True,ACCEPT,7749.5,132140.0,-124390.5,44.03,1.06,-18757.5,47.73,-8.59,10.08,15,161,0.32,1.12,32,1.68,LOW_IS_SAMPLE,0.3976,0.4,5,INCONSISTENT,mean_reversion,"DistanceBelowSMAFilter,ReversalUpBarFilter,LowVolatilityRegimeFilter,AboveLongTermSMAFilter,CloseNearLowFilter","DistanceBelowSMAFilter,ReversalUpBarFilter,LowVolatilityRegimeFilter,AboveLongTermSMAFilter,CloseNearLowFilter"
