strategy_name,filter_count,filters,filter_class_names,total_trades,trades_per_year,passes_trade_filter,net_pnl,profit_factor,average_trade,is_trades,oos_trades,is_pf,oos_pf,recent_12m_trades,recent_12m_pf,quality_flag,quality_score,pct_profitable_years,max_consecutive_losing_years,consistency_flag,filter_classes
ComboTrend_Pullback_RecoveryTrigger_Volatility_Momentum_TwoBarUp_TrendSlope,6,"PullbackFilter,RecoveryTriggerFilter,VolatilityFilter,MomentumFilter,TwoBarUpFilter,TrendSlopeFilter","PullbackFilter,RecoveryTriggerFilter,VolatilityFilter,MomentumFilter,TwoBarUpFilter,TrendSlopeFilter",442,24.28,True,-74257.0,0.6,-168.0,266,176,0.48,0.7,35,0.87,MARGINAL,0.4137,0.1579,7,INCONSISTENT,"[<class 'modules.filters.PullbackFilter'>, <class 'modules.filters.RecoveryTriggerFilter'>, <class 'modules.filters.VolatilityFilter'>, <class 'modules.filters.MomentumFilter'>, <class 'modules.filters.TwoBarUpFilter'>, <class 'modules.filters.TrendSlopeFilter'>]"
ComboTrend_Pullback_Volatility_Momentum_TwoBarUp_TrendSlope_CloseAboveFastSMA,6,"PullbackFilter,VolatilityFilter,MomentumFilter,TwoBarUpFilter,TrendSlopeFilter,CloseAboveFastSMAFilter","PullbackFilter,VolatilityFilter,MomentumFilter,TwoBarUpFilter,TrendSlopeFilter,CloseAboveFastSMAFilter",442,24.28,True,-74257.0,0.6,-168.0,266,176,0.48,0.7,35,0.87,MARGINAL,0.4137,0.1579,7,INCONSISTENT,"[<class 'modules.filters.PullbackFilter'>, <class 'modules.filters.VolatilityFilter'>, <class 'modules.filters.MomentumFilter'>, <class 'modules.filters.TwoBarUpFilter'>, <class 'modules.filters.TrendSlopeFilter'>, <class 'modules.filters.CloseAboveFastSMAFilter'>]"
ComboTrend_Pullback_RecoveryTrigger_Momentum_TwoBarUp_TrendSlope_HigherLow,6,"PullbackFilter,RecoveryTriggerFilter,MomentumFilter,TwoBarUpFilter,TrendSlopeFilter,HigherLowFilter","PullbackFilter,RecoveryTriggerFilter,MomentumFilter,TwoBarUpFilter,TrendSlopeFilter,HigherLowFilter",498,27.36,True,-74463.0,0.63,-149.52,291,207,0.47,0.79,38,0.96,MARGINAL,0.4029,0.2105,12,INCONSISTENT,"[<class 'modules.filters.PullbackFilter'>, <class 'modules.filters.RecoveryTriggerFilter'>, <class 'modules.filters.MomentumFilter'>, <class 'modules.filters.TwoBarUpFilter'>, <class 'modules.filters.TrendSlopeFilter'>, <class 'modules.filters.HigherLowFilter'>]"
ComboTrend_Pullback_Momentum_TwoBarUp_TrendSlope_CloseAboveFastSMA_HigherLow,6,"PullbackFilter,MomentumFilter,TwoBarUpFilter,TrendSlopeFilter,CloseAboveFastSMAFilter,HigherLowFilter","PullbackFilter,MomentumFilter,TwoBarUpFilter,TrendSlopeFilter,CloseAboveFastSMAFilter,HigherLowFilter",498,27.36,True,-74463.0,0.63,-149.52,291,207,0.47,0.79,38,0.96,MARGINAL,0.4029,0.2105,12,INCONSISTENT,"[<class 'modules.filters.PullbackFilter'>, <class 'modules.filters.MomentumFilter'>, <class 'modules.filters.TwoBarUpFilter'>, <class 'modules.filters.TrendSlopeFilter'>, <class 'modules.filters.CloseAboveFastSMAFilter'>, <class 'modules.filters.HigherLowFilter'>]"
ComboTrend_Pullback_RecoveryTrigger_Momentum_TwoBarUp_TrendSlope,5,"PullbackFilter,RecoveryTriggerFilter,MomentumFilter,TwoBarUpFilter,TrendSlopeFilter","PullbackFilter,RecoveryTriggerFilter,MomentumFilter,TwoBarUpFilter,TrendSlopeFilter",549,30.16,True,-75367.0,0.65,-137.28,323,226,0.5,0.79,41,0.89,MARGINAL,0.4063,0.2105,7,INCONSISTENT,"[<class 'modules.filters.PullbackFilter'>, <class 'modules.filters.RecoveryTriggerFilter'>, <class 'modules.filters.MomentumFilter'>, <class 'modules.filters.TwoBarUpFilter'>, <class 'modules.filters.TrendSlopeFilter'>]"
ComboTrend_Pullback_Momentum_TwoBarUp_TrendSlope_CloseAboveFastSMA,5,"PullbackFilter,MomentumFilter,TwoBarUpFilter,TrendSlopeFilter,CloseAboveFastSMAFilter","PullbackFilter,MomentumFilter,TwoBarUpFilter,TrendSlopeFilter,CloseAboveFastSMAFilter",549,30.16,True,-75367.0,0.65,-137.28,323,226,0.5,0.79,41,0.89,MARGINAL,0.4063,0.2105,7,INCONSISTENT,"[<class 'modules.filters.PullbackFilter'>, <class 'modules.filters.MomentumFilter'>, <class 'modules.filters.TwoBarUpFilter'>, <class 'modules.filters.TrendSlopeFilter'>, <class 'modules.filters.CloseAboveFastSMAFilter'>]"
ComboTrend_Pullback_RecoveryTrigger_Momentum_UpClose_TwoBarUp_TrendSlope,6,"PullbackFilter,RecoveryTriggerFilter,MomentumFilter,UpCloseFilter,TwoBarUpFilter,TrendSlopeFilter","PullbackFilter,RecoveryTriggerFilter,MomentumFilter,UpCloseFilter,TwoBarUpFilter,TrendSlopeFilter",549,30.16,True,-75367.0,0.65,-137.28,323,226,0.5,0.79,41,0.89,MARGINAL,0.4063,0.2105,7,INCONSISTENT,"[<class 'modules.filters.PullbackFilter'>, <class 'modules.filters.RecoveryTriggerFilter'>, <class 'modules.filters.MomentumFilter'>, <class 'modules.filters.UpCloseFilter'>, <class 'modules.filters.TwoBarUpFilter'>, <class 'modules.filters.TrendSlopeFilter'>]"
ComboTrend_Pullback_RecoveryTrigger_Momentum_TwoBarUp_TrendSlope_CloseAboveFastSMA,6,"PullbackFilter,RecoveryTriggerFilter,MomentumFilter,TwoBarUpFilter,TrendSlopeFilter,CloseAboveFastSMAFilter","PullbackFilter,RecoveryTriggerFilter,MomentumFilter,TwoBarUpFilter,TrendSlopeFilter,CloseAboveFastSMAFilter",549,30.16,True,-75367.0,0.65,-137.28,323,226,0.5,0.79,41,0.89,MARGINAL,0.4063,0.2105,7,INCONSISTENT,"[<class 'modules.filters.PullbackFilter'>, <class 'modules.filters.RecoveryTriggerFilter'>, <class 'modules.filters.MomentumFilter'>, <class 'modules.filters.TwoBarUpFilter'>, <class 'modules.filters.TrendSlopeFilter'>, <class 'modules.filters.CloseAboveFastSMAFilter'>]"
ComboTrend_Pullback_Momentum_UpClose_TwoBarUp_TrendSlope_CloseAboveFastSMA,6,"PullbackFilter,MomentumFilter,UpCloseFilter,TwoBarUpFilter,TrendSlopeFilter,CloseAboveFastSMAFilter","PullbackFilter,MomentumFilter,UpCloseFilter,TwoBarUpFilter,TrendSlopeFilter,CloseAboveFastSMAFilter",549,30.16,True,-75367.0,0.65,-137.28,323,226,0.5,0.79,41,0.89,MARGINAL,0.4063,0.2105,7,INCONSISTENT,"[<class 'modules.filters.PullbackFilter'>, <class 'modules.filters.MomentumFilter'>, <class 'modules.filters.UpCloseFilter'>, <class 'modules.filters.TwoBarUpFilter'>, <class 'modules.filters.TrendSlopeFilter'>, <class 'modules.filters.CloseAboveFastSMAFilter'>]"
ComboTrend_TrendDirection_Pullback_RecoveryTrigger_Momentum_TwoBarUp_TrendSlope,6,"TrendDirectionFilter,PullbackFilter,RecoveryTriggerFilter,MomentumFilter,TwoBarUpFilter,TrendSlopeFilter","TrendDirectionFilter,PullbackFilter,RecoveryTriggerFilter,MomentumFilter,TwoBarUpFilter,TrendSlopeFilter",428,23.51,True,-75444.0,0.58,-176.27,244,184,0.55,0.6,35,0.66,MARGINAL,0.4444,0.1579,12,INCONSISTENT,"[<class 'modules.filters.TrendDirectionFilter'>, <class 'modules.filters.PullbackFilter'>, <class 'modules.filters.RecoveryTriggerFilter'>, <class 'modules.filters.MomentumFilter'>, <class 'modules.filters.TwoBarUpFilter'>, <class 'modules.filters.TrendSlopeFilter'>]"
