strategy_name,filter_count,filters,filter_class_names,total_trades,trades_per_year,passes_trade_filter,net_pnl,profit_factor,average_trade,is_trades,oos_trades,is_pf,oos_pf,recent_12m_trades,recent_12m_pf,quality_flag,quality_score,pct_profitable_years,max_consecutive_losing_years,consistency_flag,filter_classes
ComboMR_DistanceBelowSMA_TwoBarDown_ReversalUpBar,3,"DistanceBelowSMAFilter,TwoBarDownFilter,ReversalUpBarFilter","DistanceBelowSMAFilter,TwoBarDownFilter,ReversalUpBarFilter",68,3.74,True,34448.62,1.51,506.6,37,31,1.24,1.84,9,3.09,ROBUST_BORDERLINE,0.6929,0.5263,3,MIXED,"[<class 'modules.filters.DistanceBelowSMAFilter'>, <class 'modules.filters.TwoBarDownFilter'>, <class 'modules.filters.ReversalUpBarFilter'>]"
ComboMR_BelowFastSMA_DistanceBelowSMA_TwoBarDown_ReversalUpBar,4,"BelowFastSMAFilter,DistanceBelowSMAFilter,TwoBarDownFilter,ReversalUpBarFilter","BelowFastSMAFilter,DistanceBelowSMAFilter,TwoBarDownFilter,ReversalUpBarFilter",68,3.74,True,34448.62,1.51,506.6,37,31,1.24,1.84,9,3.09,ROBUST_BORDERLINE,0.6929,0.5263,3,MIXED,"[<class 'modules.filters.BelowFastSMAFilter'>, <class 'modules.filters.DistanceBelowSMAFilter'>, <class 'modules.filters.TwoBarDownFilter'>, <class 'modules.filters.ReversalUpBarFilter'>]"
ComboMR_DistanceBelowSMA_DownClose_TwoBarDown_ReversalUpBar,4,"DistanceBelowSMAFilter,DownCloseFilter,TwoBarDownFilter,ReversalUpBarFilter","DistanceBelowSMAFilter,DownCloseFilter,TwoBarDownFilter,ReversalUpBarFilter",68,3.74,True,34448.62,1.51,506.6,37,31,1.24,1.84,9,3.09,ROBUST_BORDERLINE,0.6929,0.5263,3,MIXED,"[<class 'modules.filters.DistanceBelowSMAFilter'>, <class 'modules.filters.DownCloseFilter'>, <class 'modules.filters.TwoBarDownFilter'>, <class 'modules.filters.ReversalUpBarFilter'>]"
ComboMR_BelowFastSMA_DistanceBelowSMA_DownClose_TwoBarDown_ReversalUpBar,5,"BelowFastSMAFilter,DistanceBelowSMAFilter,DownCloseFilter,TwoBarDownFilter,ReversalUpBarFilter","BelowFastSMAFilter,DistanceBelowSMAFilter,DownCloseFilter,TwoBarDownFilter,ReversalUpBarFilter",68,3.74,True,34448.62,1.51,506.6,37,31,1.24,1.84,9,3.09,ROBUST_BORDERLINE,0.6929,0.5263,3,MIXED,"[<class 'modules.filters.BelowFastSMAFilter'>, <class 'modules.filters.DistanceBelowSMAFilter'>, <class 'modules.filters.DownCloseFilter'>, <class 'modules.filters.TwoBarDownFilter'>, <class 'modules.filters.ReversalUpBarFilter'>]"
ComboMR_DistanceBelowSMA_ThreeBarDown_ReversalUpBar,3,"DistanceBelowSMAFilter,ThreeBarDownFilter,ReversalUpBarFilter","DistanceBelowSMAFilter,ThreeBarDownFilter,ReversalUpBarFilter",48,2.64,False,31074.78,1.68,647.39,30,18,1.19,2.82,6,2.2,ROBUST_BORDERLINE,0.7099,0.5556,3,MIXED,"[<class 'modules.filters.DistanceBelowSMAFilter'>, <class 'modules.filters.ThreeBarDownFilter'>, <class 'modules.filters.ReversalUpBarFilter'>]"
ComboMR_BelowFastSMA_DistanceBelowSMA_ThreeBarDown_ReversalUpBar,4,"BelowFastSMAFilter,DistanceBelowSMAFilter,ThreeBarDownFilter,ReversalUpBarFilter","BelowFastSMAFilter,DistanceBelowSMAFilter,ThreeBarDownFilter,ReversalUpBarFilter",48,2.64,False,31074.78,1.68,647.39,30,18,1.19,2.82,6,2.2,ROBUST_BORDERLINE,0.7099,0.5556,3,MIXED,"[<class 'modules.filters.BelowFastSMAFilter'>, <class 'modules.filters.DistanceBelowSMAFilter'>, <class 'modules.filters.ThreeBarDownFilter'>, <class 'modules.filters.ReversalUpBarFilter'>]"
ComboMR_DistanceBelowSMA_DownClose_ThreeBarDown_ReversalUpBar,4,"DistanceBelowSMAFilter,DownCloseFilter,ThreeBarDownFilter,ReversalUpBarFilter","DistanceBelowSMAFilter,DownCloseFilter,ThreeBarDownFilter,ReversalUpBarFilter",48,2.64,False,31074.78,1.68,647.39,30,18,1.19,2.82,6,2.2,ROBUST_BORDERLINE,0.7099,0.5556,3,MIXED,"[<class 'modules.filters.DistanceBelowSMAFilter'>, <class 'modules.filters.DownCloseFilter'>, <class 'modules.filters.ThreeBarDownFilter'>, <class 'modules.filters.ReversalUpBarFilter'>]"
ComboMR_DistanceBelowSMA_TwoBarDown_ThreeBarDown_ReversalUpBar,4,"DistanceBelowSMAFilter,TwoBarDownFilter,ThreeBarDownFilter,ReversalUpBarFilter","DistanceBelowSMAFilter,TwoBarDownFilter,ThreeBarDownFilter,ReversalUpBarFilter",48,2.64,False,31074.78,1.68,647.39,30,18,1.19,2.82,6,2.2,ROBUST_BORDERLINE,0.7099,0.5556,3,MIXED,"[<class 'modules.filters.DistanceBelowSMAFilter'>, <class 'modules.filters.TwoBarDownFilter'>, <class 'modules.filters.ThreeBarDownFilter'>, <class 'modules.filters.ReversalUpBarFilter'>]"
ComboMR_BelowFastSMA_DistanceBelowSMA_DownClose_ThreeBarDown_ReversalUpBar,5,"BelowFastSMAFilter,DistanceBelowSMAFilter,DownCloseFilter,ThreeBarDownFilter,ReversalUpBarFilter","BelowFastSMAFilter,DistanceBelowSMAFilter,DownCloseFilter,ThreeBarDownFilter,ReversalUpBarFilter",48,2.64,False,31074.78,1.68,647.39,30,18,1.19,2.82,6,2.2,ROBUST_BORDERLINE,0.7099,0.5556,3,MIXED,"[<class 'modules.filters.BelowFastSMAFilter'>, <class 'modules.filters.DistanceBelowSMAFilter'>, <class 'modules.filters.DownCloseFilter'>, <class 'modules.filters.ThreeBarDownFilter'>, <class 'modules.filters.ReversalUpBarFilter'>]"
ComboMR_BelowFastSMA_DistanceBelowSMA_TwoBarDown_ThreeBarDown_ReversalUpBar,5,"BelowFastSMAFilter,DistanceBelowSMAFilter,TwoBarDownFilter,ThreeBarDownFilter,ReversalUpBarFilter","BelowFastSMAFilter,DistanceBelowSMAFilter,TwoBarDownFilter,ThreeBarDownFilter,ReversalUpBarFilter",48,2.64,False,31074.78,1.68,647.39,30,18,1.19,2.82,6,2.2,ROBUST_BORDERLINE,0.7099,0.5556,3,MIXED,"[<class 'modules.filters.BelowFastSMAFilter'>, <class 'modules.filters.DistanceBelowSMAFilter'>, <class 'modules.filters.TwoBarDownFilter'>, <class 'modules.filters.ThreeBarDownFilter'>, <class 'modules.filters.ReversalUpBarFilter'>]"
