strategy_name,filters,year,trades,net_pnl,profit_factor,rolling_3y_pnl
RefinedMR_HB12_ATR0.5_DIST1.2_MOM0,"DistanceBelowSMAFilter,TwoBarDownFilter,ReversalUpBarFilter",2008,4,-6338.19,0.25,
RefinedMR_HB12_ATR0.5_DIST1.2_MOM0,"DistanceBelowSMAFilter,TwoBarDownFilter,ReversalUpBarFilter",2009,1,-2689.75,0.0,
RefinedMR_HB12_ATR0.5_DIST1.2_MOM0,"DistanceBelowSMAFilter,TwoBarDownFilter,ReversalUpBarFilter",2010,9,33503.13,3.47,24475.19
RefinedMR_HB12_ATR0.5_DIST1.2_MOM0,"DistanceBelowSMAFilter,TwoBarDownFilter,ReversalUpBarFilter",2011,3,-10334.13,0.0,20479.25
RefinedMR_HB12_ATR0.5_DIST1.2_MOM0,"DistanceBelowSMAFilter,TwoBarDownFilter,ReversalUpBarFilter",2012,1,2338.0,2338.0,25507.0
RefinedMR_HB12_ATR0.5_DIST1.2_MOM0,"DistanceBelowSMAFilter,TwoBarDownFilter,ReversalUpBarFilter",2013,1,-3977.38,0.0,-11973.509999999998
RefinedMR_HB12_ATR0.5_DIST1.2_MOM0,"DistanceBelowSMAFilter,TwoBarDownFilter,ReversalUpBarFilter",2014,1,-3261.69,0.0,-4901.07
RefinedMR_HB12_ATR0.5_DIST1.2_MOM0,"DistanceBelowSMAFilter,TwoBarDownFilter,ReversalUpBarFilter",2015,3,-9877.31,0.0,-17116.379999999997
RefinedMR_HB12_ATR0.5_DIST1.2_MOM0,"DistanceBelowSMAFilter,TwoBarDownFilter,ReversalUpBarFilter",2016,3,-2356.25,0.64,-15495.249999999998
RefinedMR_HB12_ATR0.5_DIST1.2_MOM0,"DistanceBelowSMAFilter,TwoBarDownFilter,ReversalUpBarFilter",2017,1,-3338.0,0.0,-15571.56
RefinedMR_HB12_ATR0.5_DIST1.2_MOM0,"DistanceBelowSMAFilter,TwoBarDownFilter,ReversalUpBarFilter",2018,3,38640.75,14.91,32946.5
RefinedMR_HB12_ATR0.5_DIST1.2_MOM0,"DistanceBelowSMAFilter,TwoBarDownFilter,ReversalUpBarFilter",2019,3,14378.5,5.45,49681.25
RefinedMR_HB12_ATR0.5_DIST1.2_MOM0,"DistanceBelowSMAFilter,TwoBarDownFilter,ReversalUpBarFilter",2020,3,2652.44,1.44,55671.69
RefinedMR_HB12_ATR0.5_DIST1.2_MOM0,"DistanceBelowSMAFilter,TwoBarDownFilter,ReversalUpBarFilter",2022,3,-8278.0,0.0,8752.94
RefinedMR_HB12_ATR0.5_DIST1.2_MOM0,"DistanceBelowSMAFilter,TwoBarDownFilter,ReversalUpBarFilter",2023,3,2040.38,1.6,-3585.1799999999994
RefinedMR_HB12_ATR0.5_DIST1.2_MOM0,"DistanceBelowSMAFilter,TwoBarDownFilter,ReversalUpBarFilter",2024,4,-11857.06,0.0,-18094.68
RefinedMR_HB12_ATR0.5_DIST1.2_MOM0,"DistanceBelowSMAFilter,TwoBarDownFilter,ReversalUpBarFilter",2025,7,4350.38,1.37,-5466.299999999998
RefinedMR_HB12_ATR0.5_DIST1.2_MOM0,"DistanceBelowSMAFilter,TwoBarDownFilter,ReversalUpBarFilter",2026,1,7497.0,7497.0,-9.679999999998472
RefinedTrend_HB15_ATR1.0_VOL0.0_MOM14,"PullbackFilter,RecoveryTriggerFilter,MomentumFilter,TwoBarUpFilter,TrendSlopeFilter,HigherLowFilter",2008,8,23551.87,3.25,
RefinedTrend_HB15_ATR1.0_VOL0.0_MOM14,"PullbackFilter,RecoveryTriggerFilter,MomentumFilter,TwoBarUpFilter,TrendSlopeFilter,HigherLowFilter",2009,15,-38862.62,0.02,
RefinedTrend_HB15_ATR1.0_VOL0.0_MOM14,"PullbackFilter,RecoveryTriggerFilter,MomentumFilter,TwoBarUpFilter,TrendSlopeFilter,HigherLowFilter",2010,14,2190.37,1.09,-13120.380000000005
RefinedTrend_HB15_ATR1.0_VOL0.0_MOM14,"PullbackFilter,RecoveryTriggerFilter,MomentumFilter,TwoBarUpFilter,TrendSlopeFilter,HigherLowFilter",2011,20,5602.75,1.19,-31069.5
RefinedTrend_HB15_ATR1.0_VOL0.0_MOM14,"PullbackFilter,RecoveryTriggerFilter,MomentumFilter,TwoBarUpFilter,TrendSlopeFilter,HigherLowFilter",2012,20,-782.12,0.98,7010.999999999996
RefinedTrend_HB15_ATR1.0_VOL0.0_MOM14,"PullbackFilter,RecoveryTriggerFilter,MomentumFilter,TwoBarUpFilter,TrendSlopeFilter,HigherLowFilter",2013,15,-4180.25,0.84,640.3799999999965
RefinedTrend_HB15_ATR1.0_VOL0.0_MOM14,"PullbackFilter,RecoveryTriggerFilter,MomentumFilter,TwoBarUpFilter,TrendSlopeFilter,HigherLowFilter",2014,21,-15632.75,0.6,-20595.120000000003
RefinedTrend_HB15_ATR1.0_VOL0.0_MOM14,"PullbackFilter,RecoveryTriggerFilter,MomentumFilter,TwoBarUpFilter,TrendSlopeFilter,HigherLowFilter",2015,11,-9507.87,0.48,-29320.870000000003
RefinedTrend_HB15_ATR1.0_VOL0.0_MOM14,"PullbackFilter,RecoveryTriggerFilter,MomentumFilter,TwoBarUpFilter,TrendSlopeFilter,HigherLowFilter",2016,13,-9069.37,0.64,-34209.990000000005
RefinedTrend_HB15_ATR1.0_VOL0.0_MOM14,"PullbackFilter,RecoveryTriggerFilter,MomentumFilter,TwoBarUpFilter,TrendSlopeFilter,HigherLowFilter",2017,20,-381.88,0.99,-18959.120000000006
RefinedTrend_HB15_ATR1.0_VOL0.0_MOM14,"PullbackFilter,RecoveryTriggerFilter,MomentumFilter,TwoBarUpFilter,TrendSlopeFilter,HigherLowFilter",2018,15,-2753.87,0.87,-12205.120000000004
RefinedTrend_HB15_ATR1.0_VOL0.0_MOM14,"PullbackFilter,RecoveryTriggerFilter,MomentumFilter,TwoBarUpFilter,TrendSlopeFilter,HigherLowFilter",2019,14,6694.63,1.4,3558.8799999999965
RefinedTrend_HB15_ATR1.0_VOL0.0_MOM14,"PullbackFilter,RecoveryTriggerFilter,MomentumFilter,TwoBarUpFilter,TrendSlopeFilter,HigherLowFilter",2020,22,46342.75,3.93,50283.509999999995
RefinedTrend_HB15_ATR1.0_VOL0.0_MOM14,"PullbackFilter,RecoveryTriggerFilter,MomentumFilter,TwoBarUpFilter,TrendSlopeFilter,HigherLowFilter",2021,14,5760.0,1.31,58797.38
