strategy_name,filter_count,filters,filter_class_names,total_trades,trades_per_year,passes_trade_filter,net_pnl,profit_factor,average_trade,is_trades,oos_trades,is_pf,oos_pf,recent_12m_trades,recent_12m_pf,quality_flag,quality_score,pct_profitable_years,max_consecutive_losing_years,consistency_flag,filter_classes
ComboBreakout_Compression_PriorRangePosition_TightRange,3,"CompressionFilter,PriorRangePositionFilter,TightRangeFilter","CompressionFilter,PriorRangePositionFilter,TightRangeFilter",331,18.18,True,131553.0,1.24,397.44,173,158,0.98,1.39,24,2.05,REGIME_DEPENDENT,0.6564,0.6667,2,CONSISTENT,"[<class 'modules.filters.CompressionFilter'>, <class 'modules.filters.PriorRangePositionFilter'>, <class 'modules.filters.TightRangeFilter'>]"
ComboBreakout_Compression_BreakoutTrend_TightRange,3,"CompressionFilter,BreakoutTrendFilter,TightRangeFilter","CompressionFilter,BreakoutTrendFilter,TightRangeFilter",274,15.05,True,21421.5,1.05,78.18,141,133,0.97,1.1,19,1.84,MARGINAL_BORDERLINE,0.6324,0.5556,2,MIXED,"[<class 'modules.filters.CompressionFilter'>, <class 'modules.filters.BreakoutTrendFilter'>, <class 'modules.filters.TightRangeFilter'>]"
ComboBreakout_Compression_BreakoutTrend_PriorRangePosition_TightRange,4,"CompressionFilter,BreakoutTrendFilter,PriorRangePositionFilter,TightRangeFilter","CompressionFilter,BreakoutTrendFilter,PriorRangePositionFilter,TightRangeFilter",230,12.63,True,28220.0,1.09,122.7,117,113,0.91,1.21,16,2.3,REGIME_DEPENDENT,0.6202,0.4444,3,MIXED,"[<class 'modules.filters.CompressionFilter'>, <class 'modules.filters.BreakoutTrendFilter'>, <class 'modules.filters.PriorRangePositionFilter'>, <class 'modules.filters.TightRangeFilter'>]"
ComboBreakout_BreakoutTrend_BreakoutCloseStrength_TightRange,3,"BreakoutTrendFilter,BreakoutCloseStrengthFilter,TightRangeFilter","BreakoutTrendFilter,BreakoutCloseStrengthFilter,TightRangeFilter",430,23.62,True,-23021.5,0.96,-53.54,245,185,0.9,1.02,26,1.07,MARGINAL_BORDERLINE,0.5282,0.4211,4,MIXED,"[<class 'modules.filters.BreakoutTrendFilter'>, <class 'modules.filters.BreakoutCloseStrengthFilter'>, <class 'modules.filters.TightRangeFilter'>]"
ComboBreakout_RangeBreakout_BreakoutRetest_BreakoutCloseStrength,3,"RangeBreakoutFilter,BreakoutRetestFilter,BreakoutCloseStrengthFilter","RangeBreakoutFilter,BreakoutRetestFilter,BreakoutCloseStrengthFilter",436,23.95,True,-21714.5,0.96,-49.8,243,193,0.94,0.98,24,0.41,MARGINAL_BORDERLINE,0.5314,0.5263,2,MIXED,"[<class 'modules.filters.RangeBreakoutFilter'>, <class 'modules.filters.BreakoutRetestFilter'>, <class 'modules.filters.BreakoutCloseStrengthFilter'>]"
ComboBreakout_Compression_ExpansionBar_BreakoutCloseStrength,3,"CompressionFilter,ExpansionBarFilter,BreakoutCloseStrengthFilter","CompressionFilter,ExpansionBarFilter,BreakoutCloseStrengthFilter",113,6.21,True,34147.5,1.19,302.19,62,51,1.13,1.22,9,2.27,STABLE_BORDERLINE,0.6759,0.5263,2,MIXED,"[<class 'modules.filters.CompressionFilter'>, <class 'modules.filters.ExpansionBarFilter'>, <class 'modules.filters.BreakoutCloseStrengthFilter'>]"
ComboBreakout_ExpansionBar_BreakoutTrend_RisingBase,3,"ExpansionBarFilter,BreakoutTrendFilter,RisingBaseFilter","ExpansionBarFilter,BreakoutTrendFilter,RisingBaseFilter",292,16.04,True,80107.5,1.15,274.34,161,131,1.33,1.03,22,1.29,STABLE_BORDERLINE,0.604,0.5789,2,MIXED,"[<class 'modules.filters.ExpansionBarFilter'>, <class 'modules.filters.BreakoutTrendFilter'>, <class 'modules.filters.RisingBaseFilter'>]"
ComboBreakout_ExpansionBar_PriorRangePosition_RisingBase,3,"ExpansionBarFilter,PriorRangePositionFilter,RisingBaseFilter","ExpansionBarFilter,PriorRangePositionFilter,RisingBaseFilter",328,18.02,True,19161.5,1.04,58.42,192,136,1.06,1.01,20,0.87,STABLE_BORDERLINE,0.5719,0.5263,2,MIXED,"[<class 'modules.filters.ExpansionBarFilter'>, <class 'modules.filters.PriorRangePositionFilter'>, <class 'modules.filters.RisingBaseFilter'>]"
ComboBreakout_BreakoutCloseStrength_PriorRangePosition_TightRange,3,"BreakoutCloseStrengthFilter,PriorRangePositionFilter,TightRangeFilter","BreakoutCloseStrengthFilter,PriorRangePositionFilter,TightRangeFilter",429,23.56,True,-63945.5,0.89,-149.06,240,189,0.84,0.93,29,1.0,MARGINAL,0.5249,0.4737,3,MIXED,"[<class 'modules.filters.BreakoutCloseStrengthFilter'>, <class 'modules.filters.PriorRangePositionFilter'>, <class 'modules.filters.TightRangeFilter'>]"
ComboBreakout_BreakoutTrend_PriorRangePosition_RisingBase,3,"BreakoutTrendFilter,PriorRangePositionFilter,RisingBaseFilter","BreakoutTrendFilter,PriorRangePositionFilter,RisingBaseFilter",506,27.79,True,-79366.5,0.88,-156.85,266,240,0.91,0.85,44,0.48,MARGINAL,0.4852,0.3684,3,INCONSISTENT,"[<class 'modules.filters.BreakoutTrendFilter'>, <class 'modules.filters.PriorRangePositionFilter'>, <class 'modules.filters.RisingBaseFilter'>]"
