strategy_name,filter_count,filters,filter_class_names,total_trades,trades_per_year,passes_trade_filter,net_pnl,profit_factor,average_trade,is_trades,oos_trades,is_pf,oos_pf,recent_12m_trades,recent_12m_pf,quality_flag,quality_score,pct_profitable_years,max_consecutive_losing_years,consistency_flag,filter_classes
ComboMR_DownClose_ReversalUpBar_LowVolatilityRegime,3,"DownCloseFilter,ReversalUpBarFilter,LowVolatilityRegimeFilter","DownCloseFilter,ReversalUpBarFilter,LowVolatilityRegimeFilter",62,3.41,True,314226.5,2.57,5068.17,31,31,1.27,3.12,10,2.77,ROBUST,0.6946,0.2778,6,INCONSISTENT,"[<class 'modules.filters.DownCloseFilter'>, <class 'modules.filters.ReversalUpBarFilter'>, <class 'modules.filters.LowVolatilityRegimeFilter'>]"
ComboMR_DownClose_LowVolatilityRegime_StretchFromLongTermSMA,3,"DownCloseFilter,LowVolatilityRegimeFilter,StretchFromLongTermSMAFilter","DownCloseFilter,LowVolatilityRegimeFilter,StretchFromLongTermSMAFilter",282,15.49,True,507606.5,1.58,1800.02,164,118,1.23,1.84,13,1.23,ROBUST_BORDERLINE,0.6767,0.6842,1,CONSISTENT,"[<class 'modules.filters.DownCloseFilter'>, <class 'modules.filters.LowVolatilityRegimeFilter'>, <class 'modules.filters.StretchFromLongTermSMAFilter'>]"
ComboMR_BelowFastSMA_DownClose_LowVolatilityRegime,3,"BelowFastSMAFilter,DownCloseFilter,LowVolatilityRegimeFilter","BelowFastSMAFilter,DownCloseFilter,LowVolatilityRegimeFilter",573,31.47,True,215759.5,1.14,376.54,334,239,0.99,1.26,30,1.19,REGIME_DEPENDENT,0.5737,0.5789,3,MIXED,"[<class 'modules.filters.BelowFastSMAFilter'>, <class 'modules.filters.DownCloseFilter'>, <class 'modules.filters.LowVolatilityRegimeFilter'>]"
ComboMR_BelowFastSMA_DistanceBelowSMA_LowVolatilityRegime,3,"BelowFastSMAFilter,DistanceBelowSMAFilter,LowVolatilityRegimeFilter","BelowFastSMAFilter,DistanceBelowSMAFilter,LowVolatilityRegimeFilter",458,25.16,True,162232.5,1.15,354.22,241,217,0.97,1.3,31,1.82,REGIME_DEPENDENT,0.612,0.5263,3,MIXED,"[<class 'modules.filters.BelowFastSMAFilter'>, <class 'modules.filters.DistanceBelowSMAFilter'>, <class 'modules.filters.LowVolatilityRegimeFilter'>]"
ComboMR_ReversalUpBar_LowVolatilityRegime_StretchFromLongTermSMA,3,"ReversalUpBarFilter,LowVolatilityRegimeFilter,StretchFromLongTermSMAFilter","ReversalUpBarFilter,LowVolatilityRegimeFilter,StretchFromLongTermSMAFilter",242,13.29,True,115262.5,1.26,476.29,148,94,0.6,2.04,10,3.45,REGIME_DEPENDENT,0.6,0.4737,3,MIXED,"[<class 'modules.filters.ReversalUpBarFilter'>, <class 'modules.filters.LowVolatilityRegimeFilter'>, <class 'modules.filters.StretchFromLongTermSMAFilter'>]"
ComboMR_BelowFastSMA_DistanceBelowSMA_DownClose,3,"BelowFastSMAFilter,DistanceBelowSMAFilter,DownCloseFilter","BelowFastSMAFilter,DistanceBelowSMAFilter,DownCloseFilter",679,37.29,True,-59295.5,0.96,-87.33,356,323,0.97,0.94,44,0.74,MARGINAL_BORDERLINE,0.5447,0.4737,2,MIXED,"[<class 'modules.filters.BelowFastSMAFilter'>, <class 'modules.filters.DistanceBelowSMAFilter'>, <class 'modules.filters.DownCloseFilter'>]"
ComboMR_BelowFastSMA_DownClose_CloseNearLow,3,"BelowFastSMAFilter,DownCloseFilter,CloseNearLowFilter","BelowFastSMAFilter,DownCloseFilter,CloseNearLowFilter",694,38.12,True,-45224.5,0.96,-65.16,405,289,0.95,0.98,37,0.45,MARGINAL_BORDERLINE,0.5346,0.5263,2,MIXED,"[<class 'modules.filters.BelowFastSMAFilter'>, <class 'modules.filters.DownCloseFilter'>, <class 'modules.filters.CloseNearLowFilter'>]"
ComboMR_BelowFastSMA_ReversalUpBar_StretchFromLongTermSMA,3,"BelowFastSMAFilter,ReversalUpBarFilter,StretchFromLongTermSMAFilter","BelowFastSMAFilter,ReversalUpBarFilter,StretchFromLongTermSMAFilter",206,11.31,True,295520.0,1.5,1434.56,127,79,1.01,1.82,13,1.87,STABLE_BORDERLINE,0.6308,0.5789,3,MIXED,"[<class 'modules.filters.BelowFastSMAFilter'>, <class 'modules.filters.ReversalUpBarFilter'>, <class 'modules.filters.StretchFromLongTermSMAFilter'>]"
ComboMR_BelowFastSMA_DownClose_AboveLongTermSMA,3,"BelowFastSMAFilter,DownCloseFilter,AboveLongTermSMAFilter","BelowFastSMAFilter,DownCloseFilter,AboveLongTermSMAFilter",430,23.62,True,225786.5,1.2,525.08,236,194,1.04,1.32,32,1.05,STABLE_BORDERLINE,0.589,0.5789,2,MIXED,"[<class 'modules.filters.BelowFastSMAFilter'>, <class 'modules.filters.DownCloseFilter'>, <class 'modules.filters.AboveLongTermSMAFilter'>]"
ComboMR_BelowFastSMA_LowVolatilityRegime_AboveLongTermSMA,3,"BelowFastSMAFilter,LowVolatilityRegimeFilter,AboveLongTermSMAFilter","BelowFastSMAFilter,LowVolatilityRegimeFilter,AboveLongTermSMAFilter",382,20.98,True,337773.0,1.31,884.22,214,168,0.96,1.6,24,1.31,REGIME_DEPENDENT,0.5748,0.5263,3,MIXED,"[<class 'modules.filters.BelowFastSMAFilter'>, <class 'modules.filters.LowVolatilityRegimeFilter'>, <class 'modules.filters.AboveLongTermSMAFilter'>]"
