strategy_name,filters,year,trades,net_pnl,profit_factor,rolling_3y_pnl
RefinedMR_HB5_ATR0.4_DIST1.2_MOM0,"DownCloseFilter,LowVolatilityRegimeFilter,StretchFromLongTermSMAFilter",2008,9,-2948.5,0.8,
RefinedMR_HB5_ATR0.4_DIST1.2_MOM0,"DownCloseFilter,LowVolatilityRegimeFilter,StretchFromLongTermSMAFilter",2009,23,4093.5,1.1,
RefinedMR_HB5_ATR0.4_DIST1.2_MOM0,"DownCloseFilter,LowVolatilityRegimeFilter,StretchFromLongTermSMAFilter",2010,11,-6561.25,0.7,-5416.25
RefinedMR_HB5_ATR0.4_DIST1.2_MOM0,"DownCloseFilter,LowVolatilityRegimeFilter,StretchFromLongTermSMAFilter",2011,12,34655.25,3.21,32187.5
RefinedMR_HB5_ATR0.4_DIST1.2_MOM0,"DownCloseFilter,LowVolatilityRegimeFilter,StretchFromLongTermSMAFilter",2015,8,5323.5,1.41,33417.5
RefinedMR_HB5_ATR0.4_DIST1.2_MOM0,"DownCloseFilter,LowVolatilityRegimeFilter,StretchFromLongTermSMAFilter",2016,12,-22883.5,0.12,17095.25
RefinedMR_HB5_ATR0.4_DIST1.2_MOM0,"DownCloseFilter,LowVolatilityRegimeFilter,StretchFromLongTermSMAFilter",2018,8,-3634.5,0.78,-21194.5
RefinedMR_HB5_ATR0.4_DIST1.2_MOM0,"DownCloseFilter,LowVolatilityRegimeFilter,StretchFromLongTermSMAFilter",2019,4,5824.25,2.6,-20693.75
RefinedMR_HB5_ATR0.4_DIST1.2_MOM0,"DownCloseFilter,LowVolatilityRegimeFilter,StretchFromLongTermSMAFilter",2020,5,10555.0,3.83,12744.75
RefinedMR_HB5_ATR0.4_DIST1.2_MOM0,"DownCloseFilter,LowVolatilityRegimeFilter,StretchFromLongTermSMAFilter",2022,45,-17204.75,0.76,-825.5
RefinedMR_HB5_ATR0.4_DIST1.2_MOM0,"DownCloseFilter,LowVolatilityRegimeFilter,StretchFromLongTermSMAFilter",2023,8,17439.0,2.58,10789.25
RefinedMR_HB5_ATR0.4_DIST1.2_MOM0,"DownCloseFilter,LowVolatilityRegimeFilter,StretchFromLongTermSMAFilter",2025,4,16201.5,4.79,16435.75
RefinedBreakout_HB5_ATR0.5_COMP0.9_MOM0,"CompressionFilter,PriorRangePositionFilter,TightRangeFilter",2008,9,7692.81,1.83,
RefinedBreakout_HB5_ATR0.5_COMP0.9_MOM0,"CompressionFilter,PriorRangePositionFilter,TightRangeFilter",2009,8,11290.25,2.09,
RefinedBreakout_HB5_ATR0.5_COMP0.9_MOM0,"CompressionFilter,PriorRangePositionFilter,TightRangeFilter",2010,16,-31964.75,0.13,-12981.689999999999
RefinedBreakout_HB5_ATR0.5_COMP0.9_MOM0,"CompressionFilter,PriorRangePositionFilter,TightRangeFilter",2011,8,-1304.5,0.9,-21979.0
RefinedBreakout_HB5_ATR0.5_COMP0.9_MOM0,"CompressionFilter,PriorRangePositionFilter,TightRangeFilter",2012,14,-4883.06,0.79,-38152.31
RefinedBreakout_HB5_ATR0.5_COMP0.9_MOM0,"CompressionFilter,PriorRangePositionFilter,TightRangeFilter",2013,10,-4187.13,0.7,-10374.69
RefinedBreakout_HB5_ATR0.5_COMP0.9_MOM0,"CompressionFilter,PriorRangePositionFilter,TightRangeFilter",2014,13,-134.75,0.99,-9204.94
RefinedBreakout_HB5_ATR0.5_COMP0.9_MOM0,"CompressionFilter,PriorRangePositionFilter,TightRangeFilter",2015,12,-15011.06,0.24,-19332.94
RefinedBreakout_HB5_ATR0.5_COMP0.9_MOM0,"CompressionFilter,PriorRangePositionFilter,TightRangeFilter",2016,18,-11800.62,0.52,-26946.43
RefinedBreakout_HB5_ATR0.5_COMP0.9_MOM0,"CompressionFilter,PriorRangePositionFilter,TightRangeFilter",2017,12,-1545.75,0.91,-28357.43
RefinedBreakout_HB5_ATR0.5_COMP0.9_MOM0,"CompressionFilter,PriorRangePositionFilter,TightRangeFilter",2018,9,-1493.44,0.87,-14839.810000000003
RefinedBreakout_HB5_ATR0.5_COMP0.9_MOM0,"CompressionFilter,PriorRangePositionFilter,TightRangeFilter",2019,22,11527.25,1.47,8488.059999999998
RefinedBreakout_HB5_ATR0.5_COMP0.9_MOM0,"CompressionFilter,PriorRangePositionFilter,TightRangeFilter",2020,17,17814.38,1.95,27848.19
RefinedBreakout_HB5_ATR0.5_COMP0.9_MOM0,"CompressionFilter,PriorRangePositionFilter,TightRangeFilter",2021,12,12182.0,2.02,41523.63
RefinedBreakout_HB5_ATR0.5_COMP0.9_MOM0,"CompressionFilter,PriorRangePositionFilter,TightRangeFilter",2022,10,-7832.5,0.5,22163.879999999997
RefinedBreakout_HB5_ATR0.5_COMP0.9_MOM0,"CompressionFilter,PriorRangePositionFilter,TightRangeFilter",2023,16,-6338.25,0.71,-1988.75
RefinedBreakout_HB5_ATR0.5_COMP0.9_MOM0,"CompressionFilter,PriorRangePositionFilter,TightRangeFilter",2024,15,-4013.75,0.73,-18184.5
RefinedBreakout_HB5_ATR0.5_COMP0.9_MOM0,"CompressionFilter,PriorRangePositionFilter,TightRangeFilter",2025,13,6011.75,1.33,-4340.25
RefinedBreakout_HB5_ATR0.5_COMP0.9_MOM0,"CompressionFilter,PriorRangePositionFilter,TightRangeFilter",2026,2,-3103.94,0.0,-1105.94
