strategy_name,hold_bars,stop_distance_points,min_avg_range,momentum_lookback,total_trades,trades_per_year,passes_trade_filter,reject_reason,net_pnl,gross_profit,gross_loss,average_trade,profit_factor,max_drawdown,win_rate,average_mae_points,average_mfe_points,is_trades,oos_trades,is_pf,oos_pf,recent_12m_trades,recent_12m_pf,quality_flag,quality_score,pct_profitable_years,max_consecutive_losing_years,consistency_flag,strategy_type,combo_filters,combo_filter_class_names
RefinedBreakout_HB20_ATR0.5_COMP0.8_MOM0,20,0.5,0.8,0,212,11.645811400210558,True,ACCEPT,-2371.0,344477.5,-346848.5,-11.18,0.99,-60812.5,33.96,-5.12,7.45,85,127,0.98,1.0,26,0.79,MARGINAL_BORDERLINE,0.5554,0.5556,2,MIXED,breakout,"CompressionFilter,ExpansionBarFilter,BreakoutCloseStrengthFilter,BreakoutDistanceFilter,RisingBaseFilter","CompressionFilter,ExpansionBarFilter,BreakoutCloseStrengthFilter,BreakoutDistanceFilter,RisingBaseFilter"
RefinedBreakout_HB12_ATR1.5_COMP0.8_MOM0,12,1.5,0.8,0,201,11.041547601143028,True,ACCEPT,-3462.0,125223.0,-128685.0,-17.22,0.97,-22282.5,47.76,-7.76,8.23,84,117,0.82,1.05,24,1.18,MARGINAL_BORDERLINE,0.5275,0.5,2,MIXED,breakout,"CompressionFilter,ExpansionBarFilter,BreakoutCloseStrengthFilter,BreakoutDistanceFilter,RisingBaseFilter","CompressionFilter,ExpansionBarFilter,BreakoutCloseStrengthFilter,BreakoutDistanceFilter,RisingBaseFilter"
RefinedBreakout_HB20_ATR1.5_COMP0.8_MOM0,20,1.5,0.8,0,187,10.272484584147993,True,ACCEPT,-3519.0,137356.5,-140875.5,-18.82,0.98,-25536.0,47.06,-8.64,9.85,78,109,0.94,0.99,21,1.14,MARGINAL_BORDERLINE,0.5388,0.5,4,MIXED,breakout,"CompressionFilter,ExpansionBarFilter,BreakoutCloseStrengthFilter,BreakoutDistanceFilter,RisingBaseFilter","CompressionFilter,ExpansionBarFilter,BreakoutCloseStrengthFilter,BreakoutDistanceFilter,RisingBaseFilter"
RefinedBreakout_HB20_ATR1.25_COMP0.8_MOM0,20,1.25,0.8,0,187,10.272484584147993,True,ACCEPT,-4960.5,133731.5,-138692.0,-26.53,0.96,-20973.0,45.45,-8.07,9.74,78,109,0.84,1.02,21,1.15,MARGINAL_BORDERLINE,0.5155,0.4444,3,MIXED,breakout,"CompressionFilter,ExpansionBarFilter,BreakoutCloseStrengthFilter,BreakoutDistanceFilter,RisingBaseFilter","CompressionFilter,ExpansionBarFilter,BreakoutCloseStrengthFilter,BreakoutDistanceFilter,RisingBaseFilter"
RefinedBreakout_HB12_ATR1.25_COMP0.8_MOM0,12,1.25,0.8,0,201,11.041547601143028,True,ACCEPT,-5551.0,124714.5,-130265.5,-27.62,0.96,-21539.0,47.26,-7.4,8.22,84,117,0.83,1.02,24,1.11,MARGINAL_BORDERLINE,0.5256,0.5,2,MIXED,breakout,"CompressionFilter,ExpansionBarFilter,BreakoutCloseStrengthFilter,BreakoutDistanceFilter,RisingBaseFilter","CompressionFilter,ExpansionBarFilter,BreakoutCloseStrengthFilter,BreakoutDistanceFilter,RisingBaseFilter"
RefinedBreakout_HB16_ATR1.5_COMP0.8_MOM0,16,1.5,0.8,0,193,10.602083020003008,True,ACCEPT,-6028.5,126411.0,-132439.5,-31.24,0.95,-25330.5,50.26,-8.31,9.02,81,112,0.85,1.01,22,1.22,MARGINAL_BORDERLINE,0.5283,0.5,3,MIXED,breakout,"CompressionFilter,ExpansionBarFilter,BreakoutCloseStrengthFilter,BreakoutDistanceFilter,RisingBaseFilter","CompressionFilter,ExpansionBarFilter,BreakoutCloseStrengthFilter,BreakoutDistanceFilter,RisingBaseFilter"
RefinedBreakout_HB16_ATR1.25_COMP0.8_MOM0,16,1.25,0.8,0,193,10.602083020003008,True,ACCEPT,-6831.0,123544.0,-130375.0,-35.39,0.95,-23191.5,49.22,-7.84,8.97,81,112,0.78,1.04,22,1.28,MARGINAL_BORDERLINE,0.4746,0.3889,6,INCONSISTENT,breakout,"CompressionFilter,ExpansionBarFilter,BreakoutCloseStrengthFilter,BreakoutDistanceFilter,RisingBaseFilter","CompressionFilter,ExpansionBarFilter,BreakoutCloseStrengthFilter,BreakoutDistanceFilter,RisingBaseFilter"
RefinedBreakout_HB12_ATR2.0_COMP0.8_MOM0,12,2.0,0.8,0,201,11.041547601143028,True,ACCEPT,-8208.0,83482.0,-91690.0,-40.84,0.91,-16277.0,47.76,-8.25,8.23,84,117,0.78,0.97,24,1.12,MARGINAL_BORDERLINE,0.5155,0.5,2,MIXED,breakout,"CompressionFilter,ExpansionBarFilter,BreakoutCloseStrengthFilter,BreakoutDistanceFilter,RisingBaseFilter","CompressionFilter,ExpansionBarFilter,BreakoutCloseStrengthFilter,BreakoutDistanceFilter,RisingBaseFilter"
RefinedBreakout_HB8_ATR1.5_COMP0.8_MOM0,8,1.5,0.8,0,211,11.590878327568054,True,ACCEPT,-8344.5,106824.0,-115168.5,-39.55,0.93,-22074.0,46.45,-6.65,7.0,89,122,0.91,0.94,25,1.23,MARGINAL,0.5549,0.5,3,MIXED,breakout,"CompressionFilter,ExpansionBarFilter,BreakoutCloseStrengthFilter,BreakoutDistanceFilter,RisingBaseFilter","CompressionFilter,ExpansionBarFilter,BreakoutCloseStrengthFilter,BreakoutDistanceFilter,RisingBaseFilter"
RefinedBreakout_HB20_ATR1.0_COMP0.9_MOM0,20,1.0,0.9,0,849,46.63817867348473,True,ACCEPT,-9302.5,663160.5,-672463.0,-10.96,0.99,-68567.0,42.29,-6.96,8.39,453,396,0.8,1.1,57,0.86,MARGINAL_BORDERLINE,0.4686,0.4211,5,INCONSISTENT,breakout,"CompressionFilter,ExpansionBarFilter,BreakoutCloseStrengthFilter,BreakoutDistanceFilter,RisingBaseFilter","CompressionFilter,ExpansionBarFilter,BreakoutCloseStrengthFilter,BreakoutDistanceFilter,RisingBaseFilter"
RefinedBreakout_HB8_ATR1.25_COMP0.8_MOM0,8,1.25,0.8,0,211,11.590878327568054,True,ACCEPT,-10070.5,108855.5,-118926.0,-47.73,0.92,-24142.0,45.97,-6.52,7.0,89,122,0.88,0.93,25,1.22,MARGINAL,0.5463,0.5,3,MIXED,breakout,"CompressionFilter,ExpansionBarFilter,BreakoutCloseStrengthFilter,BreakoutDistanceFilter,RisingBaseFilter","CompressionFilter,ExpansionBarFilter,BreakoutCloseStrengthFilter,BreakoutDistanceFilter,RisingBaseFilter"
RefinedBreakout_HB20_ATR2.0_COMP0.8_MOM0,20,2.0,0.8,0,187,10.272484584147993,True,ACCEPT,-10296.0,92655.0,-102951.0,-55.06,0.9,-22899.0,48.13,-9.35,9.94,78,109,0.87,0.91,21,1.13,MARGINAL,0.5232,0.4444,4,MIXED,breakout,"CompressionFilter,ExpansionBarFilter,BreakoutCloseStrengthFilter,BreakoutDistanceFilter,RisingBaseFilter","CompressionFilter,ExpansionBarFilter,BreakoutCloseStrengthFilter,BreakoutDistanceFilter,RisingBaseFilter"
RefinedBreakout_HB8_ATR2.0_COMP0.8_MOM0,8,2.0,0.8,0,211,11.590878327568054,True,ACCEPT,-10638.0,71216.0,-81854.0,-50.42,0.87,-19162.0,46.45,-7.03,7.0,89,122,0.89,0.86,25,1.1,MARGINAL,0.5374,0.5,3,MIXED,breakout,"CompressionFilter,ExpansionBarFilter,BreakoutCloseStrengthFilter,BreakoutDistanceFilter,RisingBaseFilter","CompressionFilter,ExpansionBarFilter,BreakoutCloseStrengthFilter,BreakoutDistanceFilter,RisingBaseFilter"
RefinedBreakout_HB16_ATR2.0_COMP0.8_MOM0,16,2.0,0.8,0,193,10.602083020003008,True,ACCEPT,-10919.0,84274.0,-95193.0,-56.58,0.89,-23012.0,50.26,-8.94,9.02,81,112,0.77,0.94,22,1.25,MARGINAL,0.5055,0.4444,3,MIXED,breakout,"CompressionFilter,ExpansionBarFilter,BreakoutCloseStrengthFilter,BreakoutDistanceFilter,RisingBaseFilter","CompressionFilter,ExpansionBarFilter,BreakoutCloseStrengthFilter,BreakoutDistanceFilter,RisingBaseFilter"
RefinedBreakout_HB20_ATR1.25_COMP0.9_MOM0,20,1.25,0.9,0,835,45.8691156564897,True,ACCEPT,-11340.0,550607.0,-561947.0,-13.58,0.98,-54370.5,44.07,-7.41,8.69,451,384,0.8,1.09,56,0.68,MARGINAL,0.4585,0.4737,5,INCONSISTENT,breakout,"CompressionFilter,ExpansionBarFilter,BreakoutCloseStrengthFilter,BreakoutDistanceFilter,RisingBaseFilter","CompressionFilter,ExpansionBarFilter,BreakoutCloseStrengthFilter,BreakoutDistanceFilter,RisingBaseFilter"
RefinedBreakout_HB12_ATR0.75_COMP0.8_MOM0,12,0.75,0.8,0,210,11.535945254925553,True,ACCEPT,-11534.5,230838.0,-242372.5,-54.93,0.95,-41942.0,41.9,-6.2,7.39,86,124,0.98,0.94,24,0.91,MARGINAL_BORDERLINE,0.5236,0.4444,4,MIXED,breakout,"CompressionFilter,ExpansionBarFilter,BreakoutCloseStrengthFilter,BreakoutDistanceFilter,RisingBaseFilter","CompressionFilter,ExpansionBarFilter,BreakoutCloseStrengthFilter,BreakoutDistanceFilter,RisingBaseFilter"
RefinedBreakout_HB20_ATR0.75_COMP0.8_MOM0,20,0.75,0.8,0,198,10.87674838321552,True,ACCEPT,-13362.5,228651.0,-242013.5,-67.49,0.94,-51550.0,38.89,-6.62,8.45,80,118,1.02,0.91,22,1.39,MARGINAL_BORDERLINE,0.5615,0.5,3,MIXED,breakout,"CompressionFilter,ExpansionBarFilter,BreakoutCloseStrengthFilter,BreakoutDistanceFilter,RisingBaseFilter","CompressionFilter,ExpansionBarFilter,BreakoutCloseStrengthFilter,BreakoutDistanceFilter,RisingBaseFilter"
