strategy_name,hold_bars,stop_distance_points,min_avg_range,momentum_lookback,total_trades,trades_per_year,passes_trade_filter,reject_reason,net_pnl,gross_profit,gross_loss,average_trade,profit_factor,max_drawdown,win_rate,average_mae_points,average_mfe_points,is_trades,oos_trades,is_pf,oos_pf,recent_12m_trades,recent_12m_pf,quality_flag,quality_score,pct_profitable_years,max_consecutive_losing_years,consistency_flag,strategy_type,combo_filters,combo_filter_class_names
RefinedTrend_HB20_ATR1.25_VOL0.0_MOM20,20,1.25,0.0,20,721,39.606745375244394,True,ACCEPT,105473.5,707217.5,-601744.0,146.29,1.18,-86390.5,44.24,-9.13,11.49,403,318,0.66,1.52,53,2.04,REGIME_DEPENDENT,0.5437,0.5263,4,MIXED,trend,"PullbackFilter,RecoveryTriggerFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter","PullbackFilter,RecoveryTriggerFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter"
RefinedTrend_HB24_ATR1.25_VOL0.0_MOM20,24,1.25,0.0,20,709,38.947548503534364,True,ACCEPT,104339.0,715749.0,-611410.0,147.16,1.17,-83506.0,44.29,-9.62,12.31,393,316,0.68,1.5,53,2.02,REGIME_DEPENDENT,0.5534,0.6316,4,MIXED,trend,"PullbackFilter,RecoveryTriggerFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter","PullbackFilter,RecoveryTriggerFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter"
RefinedTrend_HB30_ATR1.25_VOL0.0_MOM20,30,1.25,0.0,20,691,37.958753195969315,True,ACCEPT,91980.5,737704.0,-645723.5,133.11,1.14,-69395.5,44.43,-10.11,13.25,382,309,0.75,1.41,51,1.77,REGIME_DEPENDENT,0.5406,0.5263,4,MIXED,trend,"PullbackFilter,RecoveryTriggerFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter","PullbackFilter,RecoveryTriggerFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter"
RefinedTrend_HB24_ATR1.25_VOL0.0_MOM28,24,1.25,0.0,28,703,38.61795006767935,True,ACCEPT,84151.0,656084.0,-571933.0,119.7,1.15,-82762.5,43.95,-9.62,11.86,396,307,0.68,1.47,59,1.88,REGIME_DEPENDENT,0.5204,0.4737,5,INCONSISTENT,trend,"PullbackFilter,RecoveryTriggerFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter","PullbackFilter,RecoveryTriggerFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter"
RefinedTrend_HB30_ATR1.25_VOL0.0_MOM28,30,1.25,0.0,28,682,37.464355542186794,True,ACCEPT,83707.0,715025.0,-631318.0,122.74,1.13,-68380.5,43.26,-10.13,12.78,379,303,0.75,1.39,59,1.67,REGIME_DEPENDENT,0.5178,0.4211,5,INCONSISTENT,trend,"PullbackFilter,RecoveryTriggerFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter","PullbackFilter,RecoveryTriggerFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter"
RefinedTrend_HB24_ATR1.25_VOL0.0_MOM0,24,1.25,0.0,0,723,39.716611520529405,True,ACCEPT,76802.0,820935.5,-744133.5,106.23,1.1,-67712.5,45.09,-9.89,12.22,395,328,0.82,1.26,59,1.41,REGIME_DEPENDENT,0.5294,0.5263,4,MIXED,trend,"PullbackFilter,RecoveryTriggerFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter","PullbackFilter,RecoveryTriggerFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter"
RefinedTrend_HB24_ATR1.25_VOL0.0_MOM16,24,1.25,0.0,16,723,39.716611520529405,True,ACCEPT,76802.0,820935.5,-744133.5,106.23,1.1,-67712.5,45.09,-9.89,12.22,395,328,0.82,1.26,59,1.41,REGIME_DEPENDENT,0.5294,0.5263,4,MIXED,trend,"PullbackFilter,RecoveryTriggerFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter","PullbackFilter,RecoveryTriggerFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter"
RefinedTrend_HB20_ATR1.25_VOL0.0_MOM28,20,1.25,0.0,28,713,39.16728079410438,True,ACCEPT,70895.0,635051.0,-564156.0,99.43,1.13,-85345.0,44.6,-9.28,11.21,402,311,0.66,1.44,59,1.77,REGIME_DEPENDENT,0.5078,0.5263,5,INCONSISTENT,trend,"PullbackFilter,RecoveryTriggerFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter","PullbackFilter,RecoveryTriggerFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter"
RefinedTrend_HB30_ATR2.0_VOL0.0_MOM0,30,2.0,0.0,0,663,36.42062716197924,True,ACCEPT,68337.0,513359.5,-445022.5,103.07,1.15,-41164.5,50.23,-11.84,14.03,374,289,0.93,1.29,50,1.37,REGIME_DEPENDENT,0.5545,0.5263,4,MIXED,trend,"PullbackFilter,RecoveryTriggerFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter","PullbackFilter,RecoveryTriggerFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter"
RefinedTrend_HB30_ATR2.0_VOL0.0_MOM16,30,2.0,0.0,16,663,36.42062716197924,True,ACCEPT,68337.0,513359.5,-445022.5,103.07,1.15,-41164.5,50.23,-11.84,14.03,374,289,0.93,1.29,50,1.37,REGIME_DEPENDENT,0.5545,0.5263,4,MIXED,trend,"PullbackFilter,RecoveryTriggerFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter","PullbackFilter,RecoveryTriggerFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter"
