module,path,lines,functions,classes
cloud.download_run,cloud/download_run.py,563,22,0
cloud.launch_gcp_run,cloud/launch_gcp_run.py,3013,70,7
dashboard,dashboard.py,1134,7,0
dashboard_utils,dashboard_utils.py,1182,56,4
generate_returns,generate_returns.py,216,5,0
master_strategy_engine,master_strategy_engine.py,1288,32,0
modules,modules/__init__.py,0,0,0
modules.bootcamp_report,modules/bootcamp_report.py,130,6,0
modules.bootcamp_scoring,modules/bootcamp_scoring.py,179,7,0
modules.cfd_mapping,modules/cfd_mapping.py,234,4,0
modules.config_loader,modules/config_loader.py,76,4,0
modules.consistency,modules/consistency.py,66,1,0
modules.cross_dataset_evaluator,modules/cross_dataset_evaluator.py,259,2,0
modules.data_loader,modules/data_loader.py,96,2,0
modules.engine,modules/engine.py,871,17,3
modules.exit_validation_report,modules/exit_validation_report.py,170,7,0
modules.feature_builder,modules/feature_builder.py,69,1,0
modules.filter_combinator,modules/filter_combinator.py,51,2,0
modules.filters,modules/filters.py,1664,163,60
modules.heatmap,modules/heatmap.py,54,3,1
modules.master_leaderboard,modules/master_leaderboard.py,183,2,0
modules.optimizer,modules/optimizer.py,231,9,2
modules.plateau_analyzer,modules/plateau_analyzer.py,123,4,2
modules.portfolio_evaluator,modules/portfolio_evaluator.py,491,13,0
modules.portfolio_selector,modules/portfolio_selector.py,2294,34,0
modules.progress,modules/progress.py,155,22,1
modules.prop_firm_simulator,modules/prop_firm_simulator.py,1201,14,5
modules.refiner,modules/refiner.py,504,14,2
modules.strategies,modules/strategies.py,275,12,7
modules.strategy_types,modules/strategy_types/__init__.py,14,0,0
modules.strategy_types.base_strategy_type,modules/strategy_types/base_strategy_type.py,145,20,1
modules.strategy_types.breakout_strategy_type,modules/strategy_types/breakout_strategy_type.py,551,28,3
modules.strategy_types.breakout_subtypes,modules/strategy_types/breakout_subtypes.py,71,3,3
modules.strategy_types.mean_reversion_strategy_type,modules/strategy_types/mean_reversion_strategy_type.py,565,28,3
modules.strategy_types.mean_reversion_subtypes,modules/strategy_types/mean_reversion_subtypes.py,72,3,3
modules.strategy_types.short_strategy_types,modules/strategy_types/short_strategy_types.py,104,6,3
modules.strategy_types.strategy_factory,modules/strategy_types/strategy_factory.py,75,2,0
modules.strategy_types.sweep_worker_pool,modules/strategy_types/sweep_worker_pool.py,44,2,0
modules.strategy_types.trend_strategy_type,modules/strategy_types/trend_strategy_type.py,540,28,3
modules.strategy_types.trend_subtypes,modules/strategy_types/trend_subtypes.py,72,3,3
modules.ultimate_leaderboard,modules/ultimate_leaderboard.py,255,7,0
modules.vectorized_signals,modules/vectorized_signals.py,42,1,0
modules.vectorized_trades,modules/vectorized_trades.py,376,2,0
paths,paths.py,26,0,0
run_cloud_job,run_cloud_job.py,480,20,1
run_cloud_parallel,run_cloud_parallel.py,143,4,0
run_cloud_sweep,run_cloud_sweep.py,70,4,0
run_cluster_sweep,run_cluster_sweep.py,390,7,0
run_evaluator,run_evaluator.py,68,0,0
run_high_stakes,run_high_stakes.py,31,0,0
run_local_sweep,run_local_sweep.py,198,4,0
run_portfolio_all_programs,run_portfolio_all_programs.py,152,2,0
run_spot_resilient,run_spot_resilient.py,634,19,0
scripts.audit_modules,scripts/audit_modules.py,112,4,0
scripts.convert_tds_to_engine,scripts/convert_tds_to_engine.py,322,6,0
scripts.generate_sweep_configs,scripts/generate_sweep_configs.py,158,2,0
scripts.run_console_job,scripts/run_console_job.py,103,4,0
tests,tests/__init__.py,0,0,0
tests.test_bootcamp_report,tests/test_bootcamp_report.py,86,3,0
tests.test_bootcamp_scoring,tests/test_bootcamp_scoring.py,113,5,0
tests.test_cloud_launcher,tests/test_cloud_launcher.py,1214,69,2
tests.test_cross_dataset_evaluator,tests/test_cross_dataset_evaluator.py,171,5,0
tests.test_dashboard_utils,tests/test_dashboard_utils.py,342,22,0
tests.test_data_converter,tests/test_data_converter.py,255,22,8
tests.test_engine_parity,tests/test_engine_parity.py,659,34,2
tests.test_exit_architecture,tests/test_exit_architecture.py,365,15,1
tests.test_exit_validation_report,tests/test_exit_validation_report.py,84,1,0
tests.test_generate_returns,tests/test_generate_returns.py,106,10,0
tests.test_master_leaderboard,tests/test_master_leaderboard.py,147,4,0
tests.test_parallel_vm,tests/test_parallel_vm.py,476,39,0
tests.test_portfolio_selector,tests/test_portfolio_selector.py,990,35,17
tests.test_prop_firm_configs,tests/test_prop_firm_configs.py,133,8,0
tests.test_short_strategies,tests/test_short_strategies.py,52,4,0
tests.test_smoke,tests/test_smoke.py,1244,48,6
tests.test_subtypes,tests/test_subtypes.py,55,4,0
tests.test_ultimate_leaderboard,tests/test_ultimate_leaderboard.py,144,7,0
tests.test_vectorized_filters,tests/test_vectorized_filters.py,306,8,1
tests.test_vectorized_mc,tests/test_vectorized_mc.py,187,10,0
